WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,AirTemperature,StationPressure,VaporPressure,Rainfall,Rainfall24Hr,WindSpeed,WindDirection,LandVisibility,DewPoint
48376,TAK,ตาก,ตาก,16.87833,99.14333,1017.66,09-27-2019,10:00:00,80,27.7,1003.16,29.71,0.00,0.00,0.0,000,6.00,23.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1017.02,09-27-2019,10:00:00,78,27.3,1000.49,28.43,0.00,0.00,0.0,000,8.00,23.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1016.47,09-27-2019,10:00:00,61,30.4,1011.25,26.68,0.00,0.00,5.6,090,10.00,22.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1015.36,09-27-2019,10:00:00,55,31.3,1002.24,25.14,0.00,0.00,5.6,020,10.00,21.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1016.62,09-27-2019,10:00:00,94,27.0,1007.21,33.34,5.70,5.70,1.9,340,6.00,25.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1016.64,09-27-2019,10:00:00,53,30.2,994.98,22.67,0.00,0.00,11.1,060,6.00,19.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1016.58,09-27-2019,10:00:00,54,30.3,999.10,23.10,0.00,0.00,11.1,120,10.00,19.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1015.95,09-27-2019,10:00:00,57,30.5,1000.16,24.74,0.00,0.00,11.1,020,13.00,20.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1015.83,09-27-2019,10:00:00,63,30.0,996.97,26.74,0.00,0.00,5.6,050,10.00,22.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1016.30,09-27-2019,10:00:00,67,28.0,964.99,25.24,0.00,0.00,0.0,000,9.00,21.3
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1015.88,09-27-2019,10:00:00,61,31.4,1011.94,28.04,0.00,0.00,3.7,110,3.00,23.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1016.92,09-27-2019,10:00:00,83,23.0,921.35,23.21,0.00,0.00,7.4,050,6.00,19.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1016.50,09-27-2019,10:00:00,59,28.8,1000.46,23.32,0.00,0.00,5.6,090,10.00,20.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1016.22,09-27-2019,10:00:00,67,31.4,1012.21,30.57,0.00,0.00,5.6,060,5.00,24.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1016.66,09-27-2019,10:00:00,55,30.8,1006.02,24.24,0.00,0.00,9.3,060,10.00,20.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1016.53,09-27-2019,10:00:00,58,31.1,1014.61,26.38,0.00,0.00,3.7,050,14.00,22.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1016.25,09-27-2019,10:00:00,50,30.0,995.40,21.09,0.00,0.00,13.0,070,7.00,18.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1016.00,09-27-2019,10:00:00,58,28.9,998.30,23.24,0.00,0.00,14.8,050,10.00,19.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1015.76,09-27-2019,10:00:00,60,29.6,999.60,24.96,0.00,0.00,7.4,090,10.00,21.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1015.49,09-27-2019,10:00:00,52,30.2,1001.49,22.17,0.00,0.00,7.4,030,10.00,19.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1015.73,09-27-2019,10:00:00,60,30.3,1000.93,25.70,0.00,0.00,7.4,350,10.00,21.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1016.67,09-27-2019,10:00:00,66,29.3,1001.97,26.78,0.00,0.00,13.0,050,10.00,22.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1015.55,09-27-2019,10:00:00,64,31.5,1012.55,29.63,0.00,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,23.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1015.35,09-27-2019,10:00:00,47,31.8,1007.46,22.12,0.00,0.00,11.1,020,10.00,19.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1015.78,09-27-2019,10:00:00,58,31.2,1014.68,26.56,0.00,0.00,18.5,030,9.00,22.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1012.11,09-27-2019,10:00:00,77,28.0,997.40,29.19,0.00,0.00,3.7,110,9.00,23.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1013.81,09-27-2019,10:00:00,60,24.9,880.16,18.91,0.00,0.00,7.4,030,8.00,16.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1016.03,09-27-2019,10:00:00,56,30.1,1010.16,23.78,0.00,0.00,9.3,050,9.00,20.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1015.82,09-27-2019,10:00:00,63,32.0,1015.02,30.08,0.00,1.80,3.7,010,8.00,24.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1015.22,09-27-2019,10:00:00,70,30.0,1014.77,29.75,0.00,0.00,22.2,120,10.00,24.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1015.56,09-27-2019,10:00:00,72,30.5,1004.29,31.31,0.00,0.00,0.0,000,6.00,24.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1015.67,09-27-2019,10:00:00,55,32.0,1014.66,26.18,0.00,0.00,7.4,150,8.00,21.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1015.57,09-27-2019,10:00:00,55,31.4,1013.75,25.06,0.00,0.00,7.4,050,8.00,21.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1015.51,09-27-2019,10:00:00,63,31.4,1014.75,28.87,0.00,0.00,0.0,000,9.00,23.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1015.23,09-27-2019,10:00:00,62,31.9,1014.53,29.31,0.00,0.00,3.7,350,10.00,23.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1014.71,09-27-2019,10:00:00,53,32.9,1014.01,26.53,0.00,0.00,7.4,130,12.00,22.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1016.47,09-27-2019,10:00:00,60,29.6,995.31,24.96,0.00,0.00,3.7,060,9.00,21.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1016.05,09-27-2019,10:00:00,67,29.4,999.31,27.50,0.00,0.00,5.6,040,8.00,22.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1016.67,09-27-2019,10:00:00,66,29.4,1000.21,26.97,0.00,0.00,5.6,090,12.00,22.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1016.13,09-27-2019,10:00:00,65,28.9,994.22,25.80,0.00,0.00,3.7,030,6.00,21.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1015.65,09-27-2019,10:00:00,62,28.2,972.22,23.81,0.00,0.00,16.7,070,9.00,20.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1016.27,09-27-2019,10:00:00,59,29.0,995.66,23.66,0.00,0.00,5.6,190,10.00,20.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1018.07,09-27-2019,10:00:00,73,28.8,997.15,29.08,0.00,0.00,20.4,050,8.00,23.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1014.99,09-27-2019,10:00:00,72,31.0,1014.56,32.34,0.00,13.00,5.6,350,8.00,25.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1015.12,09-27-2019,10:00:00,63,30.5,1013.71,27.68,0.00,0.00,3.7,090,11.00,22.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1015.21,09-27-2019,10:00:00,63,30.5,1010.29,27.68,0.00,0.00,5.6,060,8.00,22.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1015.59,09-27-2019,10:00:00,64,31.5,1012.32,29.35,0.00,0.00,5.6,050,7.00,23.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1015.69,09-27-2019,10:00:00,72,30.5,1014.59,31.31,0.00,2.50,7.4,120,10.00,24.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1014.99,09-27-2019,10:00:00,61,31.7,1014.69,28.63,0.00,0.01,9.3,060,10.00,23.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1014.87,09-27-2019,10:00:00,62,32.9,1014.19,30.78,0.00,0.00,5.6,080,10.00,24.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1015.58,09-27-2019,10:00:00,61,32.3,1015.09,29.26,0.00,0.00,0.0,000,10.00,23.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1015.24,09-27-2019,10:00:00,65,31.7,1013.84,30.32,0.00,0.00,5.6,280,10.00,24.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1015.20,09-27-2019,10:00:00,77,29.8,1013.53,32.46,0.00,0.00,24.1,060,8.00,25.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1016.76,09-27-2019,10:00:00,70,30.8,1008.78,31.06,0.00,0.00,7.4,210,10.00,24.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1015.22,09-27-2019,10:00:00,73,29.8,1014.94,30.47,0.00,0.00,11.1,060,10.00,24.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1014.62,09-27-2019,10:00:00,69,31.0,1011.51,30.90,0.00,0.00,7.4,240,10.00,24.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1014.65,09-27-2019,10:00:00,66,31.5,1007.76,30.49,0.00,11.20,9.3,060,8.00,24.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1015.50,09-27-2019,10:00:00,70,30.3,1009.91,30.06,0.00,0.20,11.1,040,10.00,24.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1015.52,09-27-2019,10:00:00,66,31.0,1006.25,29.48,0.00,0.00,0.0,000,8.00,23.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1015.61,09-27-2019,10:00:00,77,30.2,1014.35,33.00,0.00,0.00,7.4,320,8.00,25.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1015.35,09-27-2019,10:00:00,84,28.5,1014.91,32.67,0.00,3.10,0.0,000,8.00,25.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1016.12,09-27-2019,10:00:00,82,27.8,1003.79,30.72,0.01,9.90,11.1,350,8.00,24.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1015.27,09-27-2019,10:00:00,76,29.7,1014.56,31.68,0.00,6.80,0.0,000,6.00,25.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.19,09-27-2019,10:00:00,62,32.5,1005.80,30.24,0.00,0.01,7.4,040,6.00,24.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1014.47,09-27-2019,10:00:00,63,31.7,1013.95,29.47,0.00,0.00,0.0,000,12.00,23.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1014.51,09-27-2019,10:00:00,61,31.6,1009.40,28.15,0.00,0.00,3.7,340,12.00,23.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1015.09,09-27-2019,10:00:00,69,30.8,1014.68,30.49,0.00,0.00,7.4,040,8.00,24.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1015.08,09-27-2019,10:00:00,83,29.8,1012.31,34.80,0.00,8.90,7.4,040,8.00,26.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1015.93,09-27-2019,10:00:00,75,29.5,1015.14,30.72,0.00,0.00,7.4,060,6.00,24.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1014.35,09-27-2019,10:00:00,77,29.8,1013.89,32.17,0.00,0.01,3.7,190,8.00,25.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1014.85,09-27-2019,10:00:00,76,30.5,1014.17,33.34,0.00,0.00,9.3,040,7.00,25.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1014.66,09-27-2019,10:00:00,76,30.2,1013.13,32.42,0.00,0.20,7.4,060,8.00,25.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1014.55,09-27-2019,10:00:00,69,31.0,1013.64,30.90,0.00,0.00,5.6,120,10.00,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1015.00,09-27-2019,10:00:00,83,29.6,1014.31,34.37,0.70,0.70,5.6,060,9.00,26.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1014.90,09-27-2019,10:00:00,78,30.2,1014.11,33.29,0.00,1.30,5.6,090,9.00,25.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1014.43,09-27-2019,10:00:00,75,30.4,1013.79,32.55,0.00,2.60,0.0,000,10.00,25.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1014.54,09-27-2019,10:00:00,81,29.8,1014.14,33.92,0.00,0.00,0.0,000,10.00,26.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1016.51,09-27-2019,10:00:00,81,29.5,1012.30,33.58,0.00,0.60,0.0,000,6.00,26.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1014.42,09-27-2019,10:00:00,73,28.6,1012.81,28.70,0.00,0.00,0.0,000,10.00,23.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1013.96,09-27-2019,10:00:00,69,31.0,1010.51,30.90,0.00,0.00,3.7,210,12.00,24.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1014.28,09-27-2019,10:00:00,73,30.0,1012.93,31.15,0.00,0.00,7.4,120,10.00,24.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1013.61,09-27-2019,10:00:00,66,31.0,1012.73,29.48,0.00,0.00,5.6,060,10.00,23.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1014.39,09-27-2019,10:00:00,70,30.4,1010.84,30.26,0.00,0.00,13.0,070,10.00,24.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1013.43,09-27-2019,10:00:00,66,31.0,1013.00,29.48,0.00,3.20,5.6,030,10.00,23.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1013.28,09-27-2019,10:00:00,67,30.7,1012.30,29.73,0.00,0.00,3.7,070,10.00,23.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1014.09,09-27-2019,10:00:00,78,30.2,1013.28,33.59,0.00,0.00,11.1,080,10.00,26.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1014.06,09-27-2019,10:00:00,68,31.1,1012.26,30.82,0.00,0.00,5.6,070,9.00,24.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1014.56,09-27-2019,10:00:00,74,29.8,1013.81,31.03,0.00,0.30,5.6,250,10.00,24.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1014.16,09-27-2019,10:00:00,67,30.6,1010.18,29.25,0.00,0.40,9.3,990,10.00,23.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1014.08,09-27-2019,10:00:00,66,31.0,1013.40,29.76,0.00,10.90,9.3,060,10.00,24.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1014.10,09-27-2019,10:00:00,77,29.6,1012.98,32.05,0.00,0.40,7.4,020,10.00,25.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1014.19,09-27-2019,10:00:00,72,30.2,1011.28,30.99,0.00,11.80,3.7,040,9.00,24.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1013.63,09-27-2019,10:00:00,76,30.5,1012.94,33.34,0.00,0.80,0.0,000,10.00,25.9
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1015.62,09-27-2019,10:00:00,70,29.7,1011.50,29.16,0.00,0.00,7.4,080,10.00,23.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1013.54,09-27-2019,10:00:00,71,29.6,1012.96,29.24,0.00,2.50,9.3,160,10.00,23.7
