WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,AirTemperature,StationPressure,VaporPressure,Rainfall,Rainfall24Hr,WindSpeed,WindDirection,LandVisibility,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1018.21,09-27-2019,10:00:00,90,24.0,986.74,26.75,4.80,29.50,0.0,000,5.00,22.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1017.27,09-27-2019,10:00:00,97,16.6,853.26,18.27,0.00,0.00,5.6,120,8.00,16.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1019.00,09-27-2019,10:00:00,77,25.3,974.81,24.69,0.00,0.01,1.9,030,10.00,20.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1019.00,09-27-2019,10:00:00,87,23.9,972.68,25.84,0.00,3.40,0.0,000,8.00,21.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1020.16,09-27-2019,10:00:00,100,22.4,981.62,27.07,1.90,2.20,0.0,000,4.00,22.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1019.61,09-27-2019,10:00:00,93,22.8,973.55,25.76,1.80,4.10,0.0,000,6.00,21.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1020.15,09-27-2019,10:00:00,90,24.0,992.89,26.75,7.70,16.20,0.0,000,6.00,22.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1017.52,09-27-2019,10:00:00,93,24.0,995.37,27.76,11.70,11.70,7.4,330,4.00,22.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1017.69,09-27-2019,10:00:00,89,25.5,993.27,29.11,0.00,8.80,0.0,000,8.00,23.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1019.05,09-27-2019,10:00:00,88,23.4,983.83,25.27,2.70,12.00,0.0,000,8.00,21.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1018.46,09-27-2019,10:00:00,73,27.0,990.69,26.06,0.00,0.00,0.0,000,8.00,21.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1018.32,09-27-2019,10:00:00,95,24.4,984.19,28.97,0.00,0.10,5.6,360,8.00,23.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1017.56,09-27-2019,10:00:00,75,27.2,998.91,27.19,0.00,0.00,3.7,350,4.00,22.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,1019.11,09-27-2019,10:00:00,91,24.5,995.87,28.11,4.20,4.50,0.0,000,8.00,23.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1019.10,09-27-2019,10:00:00,91,24.1,988.63,27.17,4.60,7.50,11.1,030,9.00,22.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1018.17,09-27-2019,10:00:00,85,25.4,982.19,27.63,0.00,0.00,0.0,000,6.00,22.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1017.25,09-27-2019,10:00:00,78,27.2,987.32,28.24,0.00,0.00,5.6,090,8.00,23.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1016.52,09-27-2019,10:00:00,68,30.0,1009.22,28.91,0.00,0.00,9.3,330,8.00,23.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1017.48,09-27-2019,10:00:00,56,30.4,997.61,24.30,0.00,0.00,9.3,090,6.00,20.6
48353,LOEI,เลย,เลย,17.45000,101.73333,1017.23,09-27-2019,10:00:00,62,29.5,988.56,25.57,0.00,0.00,0.0,000,5.00,21.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1017.33,09-27-2019,10:00:00,52,30.3,997.19,22.34,0.00,0.00,9.3,030,8.00,19.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1016.95,09-27-2019,10:00:00,51,29.8,995.22,21.25,0.00,0.00,3.7,080,6.00,18.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1016.79,09-27-2019,10:00:00,54,29.5,997.29,22.24,0.00,0.00,9.3,060,8.00,19.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1017.05,09-27-2019,10:00:00,39,30.2,1000.33,16.62,0.00,0.00,5.6,140,10.00,14.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1016.95,09-27-2019,10:00:00,52,29.0,999.50,20.68,0.00,0.00,5.6,090,8.00,18.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1016.17,09-27-2019,10:00:00,55,29.8,990.42,23.00,0.00,0.00,0.0,000,8.00,19.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1017.03,09-27-2019,10:00:00,75,30.3,1011.25,32.34,0.00,0.00,5.6,360,6.00,25.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1016.80,09-27-2019,10:00:00,76,30.0,1010.61,32.30,0.00,0.00,0.0,000,8.00,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1017.09,09-27-2019,10:00:00,54,31.0,1000.71,24.33,0.00,0.00,0.0,000,12.00,20.7
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1014.75,09-27-2019,10:00:00,70,29.3,992.44,28.67,0.00,0.00,0.0,000,10.00,23.3
