WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,LandVisibility,Rainfall,WindDirection,VaporPressure,StationPressure,RelativeHumidity,AirTemperature,WindSpeed,DewPoint
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,15.60,08-02-2019,10:00:00,1009.12,.10,0.00,290,20.85,873.43,98,18.5,18.5,18.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.50,08-02-2019,10:00:00,1006.42,10.00,0.00,210,28.78,1000.57,74,28.5,11.1,23.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.20,08-02-2019,10:00:00,1007.68,8.00,0.20,230,28.18,1006.88,71,28.9,9.3,23.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.01,08-02-2019,10:00:00,1007.75,10.00,0.01,230,27.96,1007.31,68,29.5,20.4,22.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,37.30,08-02-2019,10:00:00,1009.54,6.00,0.20,000,27.56,998.28,69,29.0,0.0,22.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.90,08-02-2019,10:00:00,1007.53,10.00,0.01,250,26.97,1006.53,66,29.4,7.4,22.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.40,08-02-2019,10:00:00,1007.36,8.00,0.00,200,27.26,1005.55,70,28.4,11.1,22.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,08-02-2019,10:00:00,1007.48,9.00,0.00,230,24.83,1006.72,64,28.5,14.8,21.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.80,08-02-2019,10:00:00,1008.47,10.00,0.01,250,27.61,1007.77,72,28.3,18.5,22.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,14.90,08-02-2019,10:00:00,1007.62,9.00,0.00,270,30.72,1006.92,75,29.5,3.7,24.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.20,08-02-2019,10:00:00,1005.86,10.00,0.00,270,26.99,984.92,65,29.7,13.0,22.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.20,08-02-2019,10:00:00,1006.15,10.00,0.00,200,25.44,989.54,65,28.7,9.3,21.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.30,08-02-2019,10:00:00,1006.59,9.00,0.00,180,27.03,990.27,68,29.0,5.6,22.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.10,08-02-2019,10:00:00,1006.03,10.00,0.01,270,24.89,984.41,59,30.0,16.7,21.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1.60,08-02-2019,10:00:00,1006.60,14.00,0.01,230,23.38,963.25,70,26.0,33.3,20.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.01,08-02-2019,10:00:00,1005.99,10.00,0.00,240,25.39,985.72,57,31.0,14.8,21.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.20,08-02-2019,10:00:00,1007.24,9.00,0.00,250,27.44,986.52,71,28.5,22.2,22.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.40,08-02-2019,10:00:00,1008.13,9.00,1.40,300,28.74,1007.70,76,27.9,14.8,23.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,12.50,08-02-2019,10:00:00,1007.19,11.00,0.00,240,30.54,1005.78,78,28.7,7.4,24.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,9.20,08-02-2019,10:00:00,1007.43,8.00,0.00,000,30.12,1002.50,84,27.2,0.0,24.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-02-2019,10:00:00,1008.12,12.00,0.01,300,26.68,1004.84,66,29.1,9.3,22.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-02-2019,10:00:00,1007.96,10.00,0.00,280,27.96,1006.86,68,29.5,5.6,22.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-02-2019,10:00:00,1007.83,10.00,0.01,150,28.97,1007.53,74,28.6,5.6,23.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.80,08-02-2019,10:00:00,1008.68,10.00,0.00,260,28.54,1007.99,72,28.8,5.6,23.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.70,08-02-2019,10:00:00,1007.76,10.00,0.20,260,32.84,1007.27,85,28.3,9.3,25.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1.00,08-02-2019,10:00:00,1008.02,10.00,0.80,260,28.54,1006.62,72,28.8,27.8,23.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-02-2019,10:00:00,1008.08,10.00,0.00,270,29.33,1006.42,67,30.5,5.6,23.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,2.70,08-02-2019,10:00:00,1009.51,10.00,0.00,270,28.78,1001.53,74,28.5,11.1,23.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.20,08-02-2019,10:00:00,1007.52,8.00,0.00,000,32.13,1007.23,78,29.5,0.0,25.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-02-2019,10:00:00,1007.81,10.00,0.00,300,28.12,1004.70,69,29.3,9.3,23.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-02-2019,10:00:00,1008.21,10.00,0.00,260,28.37,1001.31,71,29.0,13.0,23.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,14.50,08-02-2019,10:00:00,1007.61,6.00,0.00,230,29.52,1002.02,80,27.6,5.6,23.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,3.00,08-02-2019,10:00:00,1008.89,10.00,0.01,320,28.47,999.59,76,27.9,22.2,23.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.00,08-02-2019,10:00:00,1008.99,12.00,1.00,240,29.41,1007.72,87,26.1,7.4,23.8
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.70,08-02-2019,10:00:00,1008.39,11.00,0.70,170,28.67,1007.95,80,27.0,5.6,23.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,11.50,08-02-2019,10:00:00,1008.87,8.00,5.30,000,30.84,996.55,92,26.0,0.0,24.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,2.10,08-02-2019,10:00:00,1008.34,10.00,0.10,300,29.57,1007.63,77,28.2,3.7,23.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,4.50,08-02-2019,10:00:00,1008.25,10.00,4.50,260,29.57,1005.82,77,28.2,11.1,23.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.60,08-02-2019,10:00:00,1008.61,7.00,0.60,320,30.47,1008.09,73,29.8,20.4,24.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-02-2019,10:00:00,1008.10,10.00,0.00,260,29.63,1002.97,75,28.8,3.7,23.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.60,08-02-2019,10:00:00,1007.98,7.00,4.10,000,33.37,1007.57,88,28.0,0.0,25.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,20.30,08-02-2019,10:00:00,1008.00,8.00,18.80,000,32.20,1005.21,96,26.0,0.0,25.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,6.50,08-02-2019,10:00:00,1009.45,8.00,2.10,000,29.27,1008.66,84,26.6,0.0,23.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,34.10,08-02-2019,10:00:00,1008.77,7.00,14.40,320,31.94,1008.31,90,27.0,11.1,25.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.40,08-02-2019,10:00:00,1010.40,6.00,3.60,290,29.11,1009.71,89,25.5,3.7,23.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,18.60,08-02-2019,10:00:00,1010.39,7.00,8.60,300,28.67,1008.85,88,25.4,11.1,23.3
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.20,08-02-2019,10:00:00,1009.44,10.00,0.00,210,32.13,1008.53,78,29.5,7.4,25.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-02-2019,10:00:00,1009.62,10.00,0.00,280,30.46,1008.94,70,30.5,5.6,24.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-02-2019,10:00:00,1009.92,10.00,0.00,260,31.52,1009.14,66,32.0,11.1,24.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,6.10,08-02-2019,10:00:00,1009.74,10.00,0.40,200,29.68,1009.11,72,29.4,3.7,23.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1.10,08-02-2019,10:00:00,1010.00,10.00,0.00,220,33.67,1009.60,71,31.9,14.8,26.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-02-2019,10:00:00,1012.31,10.00,0.00,180,30.00,1008.14,65,31.4,13.0,24.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1.40,08-02-2019,10:00:00,1010.70,10.00,0.01,000,28.29,1009.10,70,29.1,0.0,23.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,9.90,08-02-2019,10:00:00,1010.53,8.00,9.00,000,32.55,1007.07,81,29.0,0.0,25.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,6.50,08-02-2019,10:00:00,1010.36,10.00,0.00,320,28.78,1009.02,66,30.5,5.6,23.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,2.20,08-02-2019,10:00:00,1010.25,10.00,0.50,210,33.59,1009.37,78,30.2,11.1,26.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,2.70,08-02-2019,10:00:00,1010.52,10.00,0.00,000,33.12,1006.97,86,28.3,0.0,25.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-02-2019,10:00:00,1010.50,10.00,0.00,220,31.56,1010.07,68,31.6,9.3,24.9
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.00,08-02-2019,10:00:00,1010.40,10.00,0.00,190,30.37,1009.42,66,31.3,13.0,24.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-02-2019,10:00:00,1010.98,10.00,0.00,180,33.42,1010.18,70,32.2,14.8,25.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1.50,08-02-2019,10:00:00,1010.73,9.00,0.00,180,32.01,1008.93,75,30.0,5.6,25.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.70,08-02-2019,10:00:00,1010.29,10.00,0.00,190,28.68,1009.55,63,31.3,5.6,23.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,2.00,08-02-2019,10:00:00,1010.39,10.00,0.00,210,30.06,1006.43,70,30.3,9.3,24.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,5.40,08-02-2019,10:00:00,1011.01,10.00,0.00,000,31.35,1010.33,73,30.1,0.0,24.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.20,08-02-2019,10:00:00,1010.33,10.00,0.00,230,32.26,1009.23,71,31.1,14.8,25.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-02-2019,10:00:00,1010.54,12.00,0.00,240,32.05,1007.65,74,30.3,9.3,25.2
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-02-2019,10:00:00,1010.32,10.00,0.00,230,31.93,1009.64,78,29.4,5.6,25.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,3.40,08-02-2019,10:00:00,1010.96,9.00,0.00,200,28.09,1006.86,66,30.0,7.4,23.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.10,08-02-2019,10:00:00,1011.43,12.00,0.00,000,28.09,1010.85,63,31.0,0.0,23.0
