WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,WindDirection,Rainfall,DewPoint,StationPressure,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,AirTemperature,LandVisibility
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,43,07-11-2019,16:00:00,24.56,230,0.00,20.8,990.52,0.00,7.4,1006.78,35.3,11.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,46,07-11-2019,16:00:00,27.07,000,0.00,22.4,991.56,0.00,0.0,1007.52,36.0,14.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,46,07-11-2019,16:00:00,26.11,240,0.00,21.8,985.51,0.00,14.8,1006.79,35.1,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,56,07-11-2019,16:00:00,25.12,240,0.00,21.2,965.13,0.00,14.8,1007.85,31.0,14.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,46,07-11-2019,16:00:00,26.95,120,0.00,22.3,986.89,0.00,9.3,1006.87,35.8,12.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,54,07-11-2019,16:00:00,28.84,250,0.00,23.4,988.18,0.00,5.6,1008.54,34.2,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,63,07-11-2019,16:00:00,29.39,150,0.00,23.8,1008.33,0.00,18.5,1008.76,31.8,12.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,54,07-11-2019,16:00:00,29.04,000,0.00,23.6,1006.64,0.00,0.0,1008.02,34.3,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,56,07-11-2019,16:00:00,30.29,280,0.00,24.3,1003.35,0.00,3.7,1008.17,34.2,10.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,44,07-11-2019,16:00:00,25.70,200,0.00,21.5,1004.61,0.00,7.4,1007.81,35.6,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,50,07-11-2019,16:00:00,28.64,000,0.00,23.3,1006.90,0.00,0.0,1007.98,35.5,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,59,07-11-2019,16:00:00,28.69,210,0.00,23.4,1008.43,0.00,5.6,1008.72,32.3,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,57,07-11-2019,16:00:00,29.70,220,0.00,23.9,1007.49,0.00,7.4,1008.16,33.5,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,53,07-11-2019,16:00:00,27.31,120,0.00,22.5,1007.91,0.00,1.9,1008.39,33.3,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,51,07-11-2019,16:00:00,27.70,270,0.00,22.8,1006.82,0.00,14.8,1008.20,34.2,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,62,07-11-2019,16:00:00,28.20,180,0.00,23.1,1007.38,0.00,18.5,1009.04,31.2,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,43,07-11-2019,16:00:00,22.92,230,0.00,19.7,1002.08,0.00,5.6,1009.93,34.0,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,53,07-11-2019,16:00:00,26.45,000,0.00,22.0,1008.35,0.00,0.0,1008.63,33.0,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,64,07-11-2019,16:00:00,29.24,000,0.00,23.7,1005.88,0.00,0.0,1008.98,31.3,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,63,07-11-2019,16:00:00,29.07,210,0.00,23.6,1002.59,0.00,13.0,1009.44,31.5,12.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,53,07-11-2019,16:00:00,30.35,270,0.00,24.3,1002.89,0.00,3.7,1008.35,35.2,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,63,07-11-2019,16:00:00,29.07,240,0.00,23.6,999.62,0.00,11.1,1008.81,31.5,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,55,07-11-2019,16:00:00,29.83,150,0.00,24.0,1008.10,0.00,11.1,1009.34,34.4,15.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,56,07-11-2019,16:00:00,31.76,150,0.00,25.0,1008.10,0.00,18.5,1008.52,35.3,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,51,07-11-2019,16:00:00,28.67,000,0.00,23.3,996.67,0.00,0.0,1008.62,35.1,9.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,66,07-11-2019,16:00:00,30.49,150,0.00,24.4,1008.37,0.00,11.1,1009.07,31.5,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,48,07-11-2019,16:00:00,26.01,180,0.00,21.7,1006.78,0.00,14.8,1009.16,34.2,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,65,07-11-2019,16:00:00,30.00,250,0.00,24.1,1008.85,0.00,14.8,1009.36,31.4,10.00
