WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility,AirTemperature,Rainfall,Rainfall24Hr,VaporPressure,DewPoint,RelativeHumidity,WindSpeed
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-24-2019,16:00:00,1004.14,240,987.53,9.00,28.0,0.60,10.40,32.80,25.6,87,3.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-24-2019,16:00:00,1004.71,270,988.37,9.00,28.0,0.50,15.50,32.52,25.4,86,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-24-2019,16:00:00,1003.90,310,982.50,10.00,32.5,0.00,0.40,27.41,22.6,56,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-24-2019,16:00:00,1004.76,240,961.86,10.00,28.7,0.00,0.00,32.79,25.6,83,25.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-24-2019,16:00:00,1004.09,140,983.75,10.00,29.4,4.20,4.80,32.22,25.3,79,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-24-2019,16:00:00,1005.66,250,984.77,8.00,25.5,1.00,7.80,32.62,25.5,100,3.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-24-2019,16:00:00,1005.95,260,1005.52,10.00,30.1,0.00,0.10,31.64,25.0,74,14.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-24-2019,16:00:00,1004.78,250,1003.39,11.00,31.5,0.00,24.60,32.22,25.3,70,3.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-24-2019,16:00:00,1005.66,230,1000.78,8.00,30.0,0.00,8.10,34.64,26.5,82,3.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-24-2019,16:00:00,1005.70,200,1002.46,12.00,31.5,0.01,0.01,29.63,23.9,64,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-24-2019,16:00:00,1005.35,000,1004.26,10.00,30.9,0.01,0.01,29.28,23.7,66,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-24-2019,16:00:00,1005.72,220,1005.42,8.00,31.3,0.01,0.01,30.65,24.5,67,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-24-2019,16:00:00,1005.54,210,1004.87,10.00,31.7,0.00,0.00,32.06,25.2,69,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-24-2019,16:00:00,1005.43,120,1004.95,10.00,31.8,0.00,0.00,32.56,25.5,69,5.6
