WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,DewPoint,StationPressure,VaporPressure,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,Rainfall,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,15.00,07-20-2019,10:00:00,30.0,24.1,976.11,30.03,000,0.00,1006.61,71,0.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,07-20-2019,10:00:00,21.6,19.1,844.85,22.05,260,1.70,1004.32,86,0.00,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,15.00,07-20-2019,10:00:00,31.2,23.7,962.45,29.32,060,0.00,1005.22,65,0.00,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,07-20-2019,10:00:00,30.5,23.6,960.31,29.06,000,0.00,1005.03,67,0.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,07-20-2019,10:00:00,33.0,23.7,969.81,29.25,000,0.00,1006.55,58,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,07-20-2019,10:00:00,33.0,22.9,961.51,27.84,200,0.00,1005.46,55,0.00,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,07-20-2019,10:00:00,33.4,24.8,981.00,31.24,180,0.00,1007.09,61,0.00,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,15.00,07-20-2019,10:00:00,32.4,22.3,984.86,26.94,300,0.00,1006.17,55,0.00,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,07-20-2019,10:00:00,30.5,23.7,983.64,29.33,000,0.00,1007.42,67,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,12.00,07-20-2019,10:00:00,33.0,22.9,972.22,27.84,150,0.00,1005.92,55,0.00,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,07-20-2019,10:00:00,33.5,22.3,978.94,26.87,000,0.00,1005.80,52,0.00,0.0
