WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,WindSpeed,MinimumTemperature,LandVisibility,VaporPressure,DewPoint,Rainfall24Hr,RelativeHumidity
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.24,07-26-2019,07:00:00,25.9,0.00,020,1009.95,5.6,25.0,8.00,32.01,25.2,2.00,96
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.47,07-26-2019,07:00:00,25.4,0.40,000,1010.18,0.0,24.0,7.00,31.06,24.7,24.20,96
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.76,07-26-2019,07:00:00,26.2,0.00,000,1010.03,0.0,25.4,10.00,26.98,22.3,0.00,79
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,993.10,07-26-2019,07:00:00,25.1,0.30,000,1009.97,0.0,24.1,6.00,30.23,24.2,0.60,95
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,993.94,07-26-2019,07:00:00,25.5,0.20,000,1010.51,0.0,24.0,7.00,30.44,24.3,0.90,93
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,987.64,07-26-2019,07:00:00,25.5,0.00,000,1009.66,0.0,25.2,10.00,27.29,22.5,0.90,84
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.31,07-26-2019,07:00:00,24.5,0.01,240,1010.03,7.4,23.2,10.00,25.10,21.2,0.01,82
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,989.19,07-26-2019,07:00:00,25.5,0.00,120,1009.91,3.7,25.2,10.00,28.59,23.3,0.00,88
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,990.04,07-26-2019,07:00:00,25.4,0.00,190,1011.05,9.3,24.5,8.00,30.52,24.4,0.40,94
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.77,07-26-2019,07:00:00,26.6,0.00,000,1010.21,0.0,26.1,10.00,29.00,23.5,0.00,83
