WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MinimumTemperature,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,DewPoint,StationPressure,VaporPressure,Rainfall,AirTemperature,WindDirection
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-10-2019,07:00:00,10.00,23.8,1010.14,96,0.40,23.3,996.77,28.53,0.00,24.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-10-2019,07:00:00,10.00,24.3,1011.90,96,0.00,24.5,1002.47,30.69,0.00,25.2,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.0,10-10-2019,07:00:00,8.00,25.4,1012.10,90,0.00,23.9,990.22,29.74,0.00,25.7,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,3.7,10-10-2019,07:00:00,10.00,24.5,1012.85,83,0.00,23.3,995.21,28.64,0.00,26.4,110
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,5.6,10-10-2019,07:00:00,10.00,23.7,1011.59,83,0.00,22.0,995.58,26.43,0.00,25.0,020
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,10-10-2019,07:00:00,7.00,24.0,1011.56,92,0.01,23.5,992.47,29.00,0.00,25.0,010
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-10-2019,07:00:00,.20,20.7,1012.66,92,0.50,20.5,960.52,24.11,0.00,21.9,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,10-10-2019,07:00:00,4.00,24.7,1011.39,96,2.40,24.8,1007.40,31.25,0.00,25.5,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-10-2019,07:00:00,.10,19.5,1013.09,97,0.00,20.5,917.27,24.15,0.00,21.0,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-10-2019,07:00:00,{'@attributes': {'Unit': 'km'}},23.4,1012.64,94,0.00,24.2,996.47,30.15,0.00,25.2,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,10-10-2019,07:00:00,4.00,24.2,1011.83,97,0.20,24.6,1007.75,30.85,0.00,25.0,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-10-2019,07:00:00,6.00,23.3,1012.68,97,52.80,23.5,1001.84,28.96,0.00,24.1,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-10-2019,07:00:00,10.00,25.0,1012.23,92,0.00,23.5,1010.28,29.00,0.00,25.0,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.4,10-10-2019,07:00:00,10.00,24.6,1011.80,82,0.00,23.0,990.79,28.01,0.00,26.2,030
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,5.6,10-10-2019,07:00:00,10.00,23.8,1011.72,92,0.00,23.8,993.86,29.44,0.00,25.1,020
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,10-10-2019,07:00:00,8.00,24.7,1011.66,88,0.00,23.3,995.35,28.59,0.00,25.5,020
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,10-10-2019,07:00:00,10.00,24.4,1012.15,91,0.00,23.6,997.96,29.10,0.00,25.2,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-10-2019,07:00:00,8.00,24.0,1012.71,92,2.80,23.6,997.70,29.18,0.00,25.1,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,10-10-2019,07:00:00,8.00,24.0,1012.19,97,0.60,24.8,997.36,31.22,0.00,25.2,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-10-2019,07:00:00,7.00,24.0,1011.30,97,30.70,24.8,1008.25,31.22,0.00,25.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-10-2019,07:00:00,7.00,24.3,1011.76,96,14.40,24.3,1003.72,30.32,0.00,25.0,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,10-10-2019,07:00:00,8.00,24.0,1011.83,94,0.00,24.2,1010.70,30.15,0.00,25.2,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-10-2019,07:00:00,8.00,24.8,1012.31,88,0.00,23.3,997.47,28.59,0.00,25.5,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.9,10-10-2019,07:00:00,8.00,17.6,1013.58,99,38.80,18.5,877.38,21.33,0.00,18.7,030
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,10-10-2019,07:00:00,5.00,23.9,1011.68,98,18.90,24.7,1005.74,31.12,0.00,25.0,140
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,10-10-2019,07:00:00,9.00,25.2,1011.53,95,0.00,24.9,1010.72,31.55,0.00,25.8,360
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.0,10-10-2019,07:00:00,10.00,26.7,1011.16,89,0.00,25.0,1010.71,31.66,0.00,27.0,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-10-2019,07:00:00,5.00,24.8,1012.61,96,2.70,24.5,1001.17,30.69,0.00,25.2,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-10-2019,07:00:00,7.00,25.2,1012.09,93,0.00,24.7,1011.07,31.11,0.00,26.0,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,10-10-2019,07:00:00,7.00,24.5,1011.99,97,20.60,24.0,1010.14,29.85,0.00,24.6,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-10-2019,07:00:00,8.00,24.4,1011.69,96,0.00,24.5,1010.91,30.69,0.00,25.2,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,10-10-2019,07:00:00,7.00,25.5,1011.42,91,0.00,24.7,1010.72,31.13,0.00,26.3,010
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,10-10-2019,07:00:00,7.00,24.7,1011.34,91,10.30,23.9,1010.63,29.64,0.00,25.5,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-10-2019,07:00:00,6.00,24.1,1011.98,96,0.00,24.4,990.60,30.50,0.00,25.1,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,10-10-2019,07:00:00,6.00,23.5,1012.04,96,0.00,24.5,995.15,30.69,0.00,25.2,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-10-2019,07:00:00,7.00,23.2,1012.62,98,5.60,24.3,995.96,30.38,0.00,24.6,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-10-2019,07:00:00,4.00,23.0,1012.04,98,8.50,23.4,989.84,28.77,0.00,23.7,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,10-10-2019,07:00:00,9.00,21.2,1012.50,98,0.40,21.7,968.31,25.93,0.00,22.0,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,10-10-2019,07:00:00,6.00,23.5,1011.80,91,50.30,23.0,990.99,28.03,0.00,24.6,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,5.6,10-10-2019,07:00:00,7.00,23.5,1013.45,100,0.00,25.0,992.36,31.66,0.00,25.0,040
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-10-2019,07:00:00,9.00,25.5,1011.14,92,36.60,24.8,1010.70,31.22,0.10,26.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-10-2019,07:00:00,6.00,23.8,1011.04,96,5.20,23.3,1009.61,28.53,0.00,24.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-10-2019,07:00:00,7.00,24.7,1011.27,98,0.00,24.9,1006.28,31.49,0.00,25.2,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,10-10-2019,07:00:00,9.00,23.0,1011.88,91,63.80,23.9,1008.55,29.64,0.00,25.5,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-10-2019,07:00:00,10.00,24.0,1011.78,99,0.00,24.3,1010.66,30.46,0.00,24.5,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,10-10-2019,07:00:00,10.00,26.0,1011.36,92,13.20,25.1,1011.06,31.79,0.00,26.5,000
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,10-10-2019,07:00:00,10.00,25.7,1010.77,89,4.80,24.4,1010.08,30.59,0.00,26.3,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,10-10-2019,07:00:00,8.00,26.0,1011.33,91,0.70,24.5,1010.84,30.76,0.00,26.1,310
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,5.6,10-10-2019,07:00:00,10.00,25.7,1012.14,94,0.01,24.9,1010.72,31.46,0.00,25.9,040
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,11.1,10-10-2019,07:00:00,7.00,26.0,1011.65,86,0.00,24.5,1009.97,30.75,0.00,27.1,310
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-10-2019,07:00:00,10.00,23.7,1013.39,97,0.01,23.4,1005.25,28.78,0.00,24.0,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,10-10-2019,07:00:00,2.00,26.0,1011.13,92,0.00,25.6,1010.85,32.77,0.00,27.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,10-10-2019,07:00:00,10.00,24.5,1011.06,94,0.00,25.7,1007.91,33.02,0.00,26.7,350
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,10-10-2019,07:00:00,4.00,26.5,1010.98,92,0.00,25.1,1004.00,31.79,0.00,26.5,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-10-2019,07:00:00,8.00,25.5,1011.94,93,0.00,24.8,1006.29,31.38,0.00,26.0,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.0,10-10-2019,07:00:00,3.00,25.7,1010.85,89,0.00,24.5,1001.49,30.70,0.00,26.5,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,10-10-2019,07:00:00,5.00,25.5,1012.21,94,0.01,24.7,1010.93,31.08,0.01,25.7,350
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,10-10-2019,07:00:00,8.00,26.2,1010.93,94,0.00,25.7,1010.49,32.94,0.00,26.8,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,10-10-2019,07:00:00,7.00,22.8,1011.64,96,0.00,22.8,999.18,27.66,0.00,23.5,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,10-10-2019,07:00:00,8.00,25.3,1011.02,92,0.00,24.6,1010.30,30.84,0.00,26.0,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,10-10-2019,07:00:00,5.00,24.6,1011.29,94,0.00,24.2,1008.83,30.15,0.00,25.2,030
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,10-10-2019,07:00:00,8.00,24.8,1011.09,92,0.00,24.0,1010.56,29.91,0.00,25.5,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,10-10-2019,07:00:00,9.00,24.8,1010.98,95,0.50,24.1,1005.77,30.05,0.00,25.0,030
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,10-10-2019,07:00:00,7.00,24.9,1011.28,95,11.80,24.8,1010.86,31.36,0.00,25.7,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-10-2019,07:00:00,8.00,24.5,1011.30,92,0.00,24.0,1008.50,29.91,0.00,25.5,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,10-10-2019,07:00:00,8.00,24.0,1011.71,91,0.00,23.1,1010.91,28.21,0.00,24.7,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,10-10-2019,07:00:00,7.00,23.8,1011.28,93,1.80,23.5,1010.81,28.98,0.00,24.7,090
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,10-10-2019,07:00:00,7.00,24.7,1011.07,97,19.50,24.4,1010.38,30.58,0.00,25.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,10-10-2019,07:00:00,8.00,24.8,1011.22,95,0.40,23.9,1009.68,29.69,0.00,24.8,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,10-10-2019,07:00:00,10.00,24.5,1011.72,92,0.00,23.3,1010.79,28.55,0.00,24.6,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,10-10-2019,07:00:00,10.00,24.7,1011.24,96,0.50,25.3,1010.55,32.20,0.00,26.0,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,10-10-2019,07:00:00,.70,24.0,1011.49,98,0.00,23.7,1010.69,29.30,0.00,24.0,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,10-10-2019,07:00:00,12.00,23.7,1011.16,98,0.00,23.9,1010.51,29.66,0.00,24.2,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-10-2019,07:00:00,12.00,23.9,1011.75,97,0.10,23.9,1011.34,29.67,0.00,24.5,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-10-2019,07:00:00,3.00,23.6,1013.26,97,1.40,23.4,1008.99,28.69,0.00,23.8,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-10-2019,07:00:00,5.00,23.6,1011.70,98,5.80,23.4,1010.07,28.77,0.00,23.7,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-10-2019,07:00:00,8.00,23.5,1011.82,97,0.00,24.1,1008.30,29.93,0.00,24.5,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,10-10-2019,07:00:00,8.00,23.8,1011.36,98,0.00,23.5,1009.98,28.95,0.00,23.8,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,10-10-2019,07:00:00,10.00,23.2,1011.14,98,7.60,23.8,1010.25,29.48,0.00,24.1,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,10-10-2019,07:00:00,10.00,23.0,1011.80,98,25.00,22.8,1008.18,27.74,0.00,23.1,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,10-10-2019,07:00:00,10.00,24.6,1011.03,96,64.40,24.8,1010.59,31.25,0.00,25.5,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,10-10-2019,07:00:00,10.00,22.3,1010.78,94,5.70,24.7,1009.78,31.08,0.70,25.7,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,10-10-2019,07:00:00,10.00,24.0,1011.45,95,56.00,24.1,1010.62,30.05,0.20,25.0,090
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,10-10-2019,07:00:00,1.00,23.1,1012.10,99,12.10,23.5,1010.26,29.03,0.00,23.7,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,7.4,10-10-2019,07:00:00,12.00,24.3,1011.14,86,0.00,22.9,1010.38,27.89,0.00,25.4,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,10-10-2019,07:00:00,6.00,22.4,1011.56,99,0.80,23.4,1007.50,28.85,0.00,23.6,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-10-2019,07:00:00,10.00,21.8,1011.15,94,24.60,22.7,1010.45,27.50,0.00,23.7,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,10-10-2019,07:00:00,10.00,23.5,1010.92,97,12.00,23.6,1009.78,29.04,0.00,24.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,10-10-2019,07:00:00,.50,21.9,1011.45,98,26.50,23.5,1008.49,28.95,0.00,23.8,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,10-10-2019,07:00:00,10.00,23.6,1010.87,96,8.40,23.8,1010.17,29.41,0.00,24.5,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,10-10-2019,07:00:00,.70,23.5,1011.76,98,2.10,23.6,1007.58,29.12,0.00,23.9,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,10-10-2019,07:00:00,8.00,.0,1010.92,91,0.00,22.5,1010.33,27.25,0.00,24.0,000
