WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,LandVisibility,RelativeHumidity,WindSpeed,VaporPressure,StationPressure,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.40,08-06-2019,04:00:00,19.60,1002.86,23.7,6.00,94,0.0,29.25,971.94,24.7,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.60,08-06-2019,04:00:00,25.70,1002.22,17.7,.20,98,3.7,20.20,841.33,18.0,110
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-06-2019,04:00:00,13.50,1005.01,22.9,10.00,91,0.0,27.94,961.31,24.4,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-06-2019,04:00:00,5.60,1004.37,22.9,10.00,95,0.0,27.92,958.70,23.8,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,13.50,08-06-2019,04:00:00,27.80,1002.97,23.5,4.00,100,5.6,28.94,965.21,23.5,170
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-06-2019,04:00:00,2.50,1005.14,23.3,10.00,96,5.6,28.53,959.91,24.0,110
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,9.20,08-06-2019,04:00:00,17.30,1005.97,23.6,5.00,97,0.0,29.13,979.11,24.2,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-06-2019,04:00:00,7.40,1004.67,24.1,10.00,97,0.0,29.93,982.83,24.5,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-06-2019,04:00:00,22.80,1003.79,23.2,6.00,94,0.0,28.36,979.60,24.2,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,08-06-2019,04:00:00,18.50,1004.35,23.3,10.00,95,0.0,28.62,969.72,24.2,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,4.50,08-06-2019,04:00:00,54.50,1005.00,23.8,10.00,97,0.0,29.49,977.35,24.4,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1.50,08-06-2019,04:00:00,23.30,1004.42,23.4,10.00,97,0.0,28.78,970.71,24.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.70,08-06-2019,04:00:00,8.30,1004.44,24.4,3.00,97,0.0,30.48,985.88,24.8,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.01,08-06-2019,04:00:00,5.10,1005.07,24.3,10.00,98,0.0,30.38,982.16,24.6,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.60,08-06-2019,04:00:00,6.40,1005.20,23.5,6.00,95,0.0,28.97,975.18,24.4,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.80,08-06-2019,04:00:00,38.20,1002.92,23.9,4.00,98,0.0,29.66,967.34,24.2,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.80,08-06-2019,04:00:00,26.60,1005.42,24.3,5.00,96,0.0,30.32,998.08,25.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-06-2019,04:00:00,3.00,1004.88,25.3,10.00,96,5.6,32.20,984.98,26.0,240
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-06-2019,04:00:00,1.70,1004.73,23.9,10.00,93,0.0,29.70,976.00,25.1,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-06-2019,04:00:00,1.30,1004.84,24.7,10.00,94,0.0,31.08,984.64,25.7,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-06-2019,04:00:00,48.00,1005.29,23.6,10.00,92,0.0,29.18,983.48,25.1,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-06-2019,04:00:00,29.40,1004.54,24.8,10.00,96,3.7,31.25,985.02,25.5,180
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-06-2019,04:00:00,0.01,1005.55,23.7,10.00,94,0.0,29.25,988.71,24.7,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.10,08-06-2019,04:00:00,1.50,1005.33,23.4,10.00,95,0.0,28.79,987.81,24.3,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,5.00,08-06-2019,04:00:00,5.50,1003.75,23.9,10.00,92,0.0,29.72,977.94,25.4,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.90,08-06-2019,04:00:00,17.40,1004.77,24.8,8.00,99,0.0,31.39,998.96,25.0,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,16.50,08-06-2019,04:00:00,25.40,1003.90,24.8,7.00,97,0.0,31.33,997.69,25.4,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-06-2019,04:00:00,0.50,1006.03,24.0,8.00,94,0.0,29.79,989.51,25.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.50,08-06-2019,04:00:00,28.90,1004.04,22.5,7.00,96,0.0,27.33,981.52,23.3,000
