WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,LandVisibility,RelativeHumidity,WindSpeed,VaporPressure,StationPressure,AirTemperature,WindDirection
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.80,08-06-2019,04:00:00,7.30,1005.29,23.8,8.00,96,0.0,29.41,990.82,24.5,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.10,08-06-2019,04:00:00,15.40,1004.43,23.8,6.00,99,0.0,29.56,987.93,24.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,2.20,08-06-2019,04:00:00,3.20,1005.30,24.4,7.00,92,0.0,30.65,1000.07,25.9,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.00,08-06-2019,04:00:00,6.10,1004.27,24.4,10.00,95,0.0,30.60,991.04,25.3,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.60,08-06-2019,04:00:00,5.30,1005.07,25.4,10.00,96,0.0,32.40,995.74,26.1,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-06-2019,04:00:00,0.01,1006.43,23.3,10.00,85,0.0,28.62,984.69,26.1,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-06-2019,04:00:00,0.00,1002.52,23.8,10.00,88,0.0,29.50,985.04,26.0,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.40,08-06-2019,04:00:00,45.40,1005.21,22.8,7.00,96,0.0,27.66,989.23,23.5,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,08-06-2019,04:00:00,0.40,1004.33,23.7,8.00,85,0.0,29.35,985.47,26.5,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,3.30,08-06-2019,04:00:00,17.50,1005.52,20.5,5.00,91,0.0,24.03,953.76,22.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-06-2019,04:00:00,0.10,1005.02,24.2,7.00,93,9.3,30.17,1001.05,25.5,130
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.80,08-06-2019,04:00:00,24.00,1005.42,19.5,2.50,97,5.6,22.68,910.02,20.0,230
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.30,08-06-2019,04:00:00,2.80,1004.93,25.1,5.00,97,0.0,31.90,988.91,25.7,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.50,08-06-2019,04:00:00,3.00,1005.21,25.6,8.00,99,5.6,32.92,1001.17,25.8,230
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-06-2019,04:00:00,0.40,1006.30,24.6,7.00,94,0.0,30.90,995.58,25.6,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-06-2019,04:00:00,0.00,1005.90,24.0,9.00,92,5.6,29.91,1003.96,25.5,190
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-06-2019,04:00:00,0.00,1004.99,22.8,10.00,80,7.4,27.77,984.14,26.5,260
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-06-2019,04:00:00,0.00,1004.94,24.6,10.00,93,0.0,31.00,987.25,25.8,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-06-2019,04:00:00,0.00,1004.95,24.8,10.00,93,5.6,31.38,988.77,26.0,210
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-06-2019,04:00:00,0.00,1005.23,23.5,10.00,81,7.4,28.94,991.23,27.0,240
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-06-2019,04:00:00,0.00,1006.24,24.6,8.00,92,0.0,30.84,991.37,26.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-06-2019,04:00:00,0.00,1005.35,24.3,10.00,88,9.3,30.43,990.68,26.5,240
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.50,08-06-2019,04:00:00,1.00,1005.17,24.6,10.00,93,0.0,31.00,1002.14,25.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-06-2019,04:00:00,0.00,1005.31,24.1,7.00,87,0.0,29.97,997.36,26.4,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.20,08-06-2019,04:00:00,6.70,1006.23,24.8,6.00,94,7.4,31.27,1005.12,25.8,190
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-06-2019,04:00:00,0.00,1005.16,24.5,8.00,88,0.0,30.81,990.49,26.7,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,3.00,08-06-2019,04:00:00,28.00,1006.60,19.7,.05,99,9.3,22.99,871.84,19.9,200
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.90,08-06-2019,04:00:00,1.00,1005.77,25.5,10.00,97,7.4,32.68,999.88,26.1,190
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,6.50,08-06-2019,04:00:00,8.20,1006.29,25.3,8.00,96,0.0,32.20,1005.49,26.0,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,32.80,08-06-2019,04:00:00,58.80,1006.85,23.3,3.00,97,0.0,28.61,995.43,23.9,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1.50,08-06-2019,04:00:00,2.10,1006.07,25.0,8.00,96,0.0,31.63,1005.06,25.7,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.70,08-06-2019,04:00:00,5.70,1006.00,24.9,7.00,94,5.6,31.46,1004.17,25.9,170
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-06-2019,04:00:00,0.10,1005.50,24.6,3.00,92,0.0,30.84,1004.73,26.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,4.80,08-06-2019,04:00:00,16.60,1006.31,25.3,7.00,96,7.4,32.20,1005.60,26.0,290
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,2.50,08-06-2019,04:00:00,5.40,1005.77,25.2,6.00,94,3.7,32.04,1005.07,26.2,080
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-06-2019,04:00:00,0.00,1005.40,23.4,10.00,81,5.6,28.86,984.29,27.1,220
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-06-2019,04:00:00,0.30,1005.34,23.3,7.00,83,0.0,28.64,988.62,26.4,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-06-2019,04:00:00,1.00,1006.13,23.7,7.00,86,0.0,29.33,989.68,26.2,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-06-2019,04:00:00,0.00,1005.59,22.8,10.00,80,0.0,27.77,983.73,26.5,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.20,08-06-2019,04:00:00,0.20,1006.33,22.5,8.00,88,18.5,27.27,962.78,24.6,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-06-2019,04:00:00,0.00,1005.47,22.7,10.00,79,3.7,27.60,984.92,26.7,220
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-06-2019,04:00:00,0.00,1006.83,23.8,8.00,87,9.3,29.41,985.96,26.1,230
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,8.50,08-06-2019,04:00:00,14.50,1005.53,23.5,8.00,92,5.6,29.00,1005.09,25.0,010
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1.00,08-06-2019,04:00:00,1.00,1005.97,24.8,6.00,96,0.0,31.25,1004.55,25.5,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-06-2019,04:00:00,0.00,1005.98,24.9,7.00,96,0.0,31.44,1001.03,25.6,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.50,08-06-2019,04:00:00,4.80,1005.93,24.5,10.00,94,0.0,30.71,1002.63,25.5,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1.90,08-06-2019,04:00:00,2.70,1005.19,25.0,10.00,97,0.0,31.71,1004.08,25.6,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.70,08-06-2019,04:00:00,23.00,1005.83,25.1,9.00,90,0.0,31.94,1005.53,27.0,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-06-2019,04:00:00,23.30,1005.82,24.4,10.00,89,0.0,30.59,1005.33,26.3,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.40,08-06-2019,04:00:00,6.80,1006.01,24.6,9.00,92,13.0,30.84,1004.60,26.0,230
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,08-06-2019,04:00:00,20.40,1007.90,24.5,10.00,93,0.0,30.81,999.85,25.7,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-06-2019,04:00:00,6.70,1005.00,26.8,10.00,96,0.0,35.23,1004.72,27.5,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-06-2019,04:00:00,0.50,1005.11,22.9,10.00,67,0.0,27.88,1002.01,29.6,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-06-2019,04:00:00,0.60,1005.93,24.2,10.00,78,5.6,30.15,999.03,28.5,210
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-06-2019,04:00:00,0.01,1005.69,24.1,8.00,89,0.0,30.03,1000.08,26.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,12.10,08-06-2019,04:00:00,18.30,1006.64,24.3,4.00,97,0.0,30.40,1005.37,24.9,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-06-2019,04:00:00,1.50,1005.73,24.3,11.00,83,0.0,30.42,1005.30,27.5,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1.00,08-06-2019,04:00:00,9.20,1005.97,24.1,10.00,97,0.0,30.03,993.63,24.7,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.20,08-06-2019,04:00:00,2.70,1006.06,25.7,9.00,93,0.0,33.06,1005.35,27.0,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-06-2019,04:00:00,2.60,1006.04,24.2,10.00,78,14.8,30.15,1003.62,28.5,230
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-06-2019,04:00:00,7.40,1005.96,25.5,10.00,81,14.8,32.55,1005.44,29.0,270
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-06-2019,04:00:00,4.80,1005.92,25.0,10.00,85,0.0,31.64,1000.79,27.7,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-06-2019,04:00:00,66.10,1006.06,25.7,7.00,94,0.0,32.94,1005.65,26.8,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-06-2019,04:00:00,38.30,1006.56,24.9,8.00,95,0.0,31.55,1003.78,25.8,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-06-2019,04:00:00,13.80,1004.41,23.7,10.00,87,0.0,29.23,1003.62,26.0,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.60,08-06-2019,04:00:00,53.20,1006.31,24.7,4.00,98,5.6,31.12,1005.85,25.0,080
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,08-06-2019,04:00:00,10.60,1006.44,24.2,7.00,95,0.0,30.23,1005.75,25.1,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-06-2019,04:00:00,9.60,1006.58,23.6,7.00,93,0.0,29.16,1005.05,24.8,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-06-2019,04:00:00,36.10,1007.13,24.8,10.00,87,5.6,31.22,1006.22,27.2,220
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-06-2019,04:00:00,12.30,1006.91,24.2,10.00,81,9.3,30.26,1006.22,27.7,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-06-2019,04:00:00,17.80,1007.06,24.4,7.00,98,3.7,30.56,1006.25,24.7,180
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-06-2019,04:00:00,2.60,1006.15,23.4,10.00,81,3.7,28.86,1005.52,27.1,300
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-06-2019,04:00:00,0.00,1006.51,24.1,10.00,84,7.4,30.02,1006.10,27.0,210
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-06-2019,04:00:00,2.50,1008.67,23.0,5.00,76,9.3,28.10,1004.46,27.7,220
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-06-2019,04:00:00,0.00,1007.14,24.8,6.00,98,0.0,31.31,1005.52,25.1,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-06-2019,04:00:00,0.00,1008.12,23.5,10.00,92,0.0,29.00,1004.62,25.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-06-2019,04:00:00,0.00,1007.05,24.7,8.00,91,0.0,31.13,1005.69,26.3,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-06-2019,04:00:00,2.70,1007.41,23.9,10.00,74,9.3,29.74,1006.53,29.0,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-06-2019,04:00:00,0.00,1007.16,24.0,10.00,89,0.0,29.76,1003.59,26.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-06-2019,04:00:00,0.00,1007.08,23.7,10.00,71,0.0,29.33,1006.65,29.5,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-06-2019,04:00:00,0.00,1007.14,21.5,10.00,62,18.5,25.57,1006.15,29.5,240
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-06-2019,04:00:00,6.20,1007.19,24.8,10.00,78,11.1,31.33,1006.38,29.1,250
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-06-2019,04:00:00,6.10,1007.16,25.3,10.00,93,0.0,32.26,1005.34,26.6,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-06-2019,04:00:00,0.00,1007.62,24.0,8.00,83,0.0,29.85,1006.87,27.2,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-06-2019,04:00:00,0.00,1007.74,24.6,8.00,95,0.0,30.98,1003.73,25.5,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-06-2019,04:00:00,0.00,1007.79,25.0,8.00,93,0.0,31.76,1007.11,26.2,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-06-2019,04:00:00,0.00,1007.34,24.1,10.00,84,0.0,30.02,1006.22,27.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-06-2019,04:00:00,0.00,1007.73,24.7,10.00,94,0.0,31.08,1004.79,25.7,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-06-2019,04:00:00,0.00,1005.65,23.5,9.00,83,0.0,28.92,1005.06,26.7,000
