WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,WindSpeed,WindDirection,RelativeHumidity,DewPoint,Rainfall,LandVisibility,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.12,09-15-2019,22:00:00,1007.98,26.8,0.0,000,78,22.7,0.00,10.00,1.90,27.52
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,846.93,09-15-2019,22:00:00,1007.77,19.9,3.7,150,82,16.8,0.00,8.00,0.00,19.07
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,964.51,09-15-2019,22:00:00,1008.08,26.3,3.7,250,82,22.9,0.00,10.00,10.50,27.93
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,962.53,09-15-2019,22:00:00,1008.05,26.0,0.0,000,86,23.5,0.00,12.00,10.20,28.97
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,971.10,09-15-2019,22:00:00,1008.70,26.5,0.0,000,88,24.3,0.00,6.00,42.20,30.43
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,963.59,09-15-2019,22:00:00,1008.68,26.0,0.0,000,92,24.6,0.00,8.00,0.00,30.84
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,982.16,09-15-2019,22:00:00,1008.84,27.2,0.0,000,94,26.2,0.00,10.00,0.00,34.03
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.48,09-15-2019,22:00:00,1008.24,26.6,5.6,090,90,24.7,0.00,12.00,4.70,31.16
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.30,09-15-2019,22:00:00,1008.49,25.6,0.0,000,91,24.0,0.00,8.00,0.00,29.82
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,974.19,09-15-2019,22:00:00,1008.64,27.0,0.0,000,83,24.0,1.20,10.00,1.20,29.75
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.71,09-15-2019,22:00:00,1009.32,26.0,0.0,000,88,23.8,0.00,10.00,0.00,29.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.87,09-15-2019,22:00:00,1007.66,24.3,0.0,000,90,22.5,28.20,10.00,28.20,27.26
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.87,09-15-2019,22:00:00,1008.50,25.0,0.0,000,96,24.3,0.00,10.00,17.80,30.32
