WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,StationPressure,LandVisibility,VaporPressure,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1015.55,09-23-2019,10:00:00,0.00,88,000,24.3,0.00,984.42,10.00,30.43,26.5,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1014.92,09-23-2019,10:00:00,0.00,71,120,12.7,0.00,852.04,8.00,14.70,18.1,37.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1016.38,09-23-2019,10:00:00,0.00,59,040,19.7,0.00,972.75,15.00,22.89,28.4,13.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1016.34,09-23-2019,10:00:00,0.00,63,130,20.4,0.00,970.75,15.00,23.97,28.0,5.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1017.00,09-23-2019,10:00:00,0.00,71,000,20.6,0.00,979.08,12.00,24.29,26.4,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1016.63,09-23-2019,10:00:00,0.00,65,240,21.0,0.00,971.50,12.00,24.82,28.2,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1017.26,09-23-2019,10:00:00,0.00,78,000,22.3,0.00,990.30,10.00,26.99,26.5,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1015.65,09-23-2019,10:00:00,0.00,77,000,24.5,15.80,993.89,8.00,30.65,28.9,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1015.30,09-23-2019,10:00:00,0.00,80,000,23.3,0.50,991.06,8.00,28.59,27.1,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1016.60,09-23-2019,10:00:00,0.00,73,010,21.4,1.00,981.84,10.00,25.54,26.7,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1016.24,09-23-2019,10:00:00,0.00,79,000,23.7,14.00,988.58,10.00,29.25,27.6,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1016.07,09-23-2019,10:00:00,0.00,81,000,22.9,0.00,982.24,10.00,27.85,26.4,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1015.50,09-23-2019,10:00:00,0.00,59,000,22.1,0.00,997.12,5.00,26.65,31.1,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,1017.06,09-23-2019,10:00:00,0.00,86,000,22.2,3.40,993.88,10.00,26.68,24.7,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1016.80,09-23-2019,10:00:00,0.00,80,000,22.8,0.20,986.65,10.00,27.77,26.5,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1015.98,09-23-2019,10:00:00,0.00,77,000,23.0,0.20,980.31,8.00,28.08,27.4,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1015.86,09-23-2019,10:00:00,0.00,60,120,20.3,0.00,986.14,8.00,23.74,28.9,7.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1015.18,09-23-2019,10:00:00,0.00,56,000,20.8,0.00,1007.90,9.00,24.48,30.5,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1016.20,09-23-2019,10:00:00,0.00,56,080,20.2,0.00,996.33,8.00,23.60,30.0,9.3
48353,LOEI,เลย,เลย,17.45000,101.73333,1015.97,09-23-2019,10:00:00,0.00,53,120,19.3,0.00,987.38,7.00,22.42,29.9,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1016.50,09-23-2019,10:00:00,0.00,51,080,17.9,0.00,996.30,15.00,20.52,29.2,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1016.20,09-23-2019,10:00:00,0.00,55,110,19.1,0.00,994.45,7.00,22.07,29.1,9.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1015.99,09-23-2019,10:00:00,0.00,55,110,19.0,0.00,996.47,15.00,21.91,29.0,11.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1016.09,09-23-2019,10:00:00,0.00,45,080,17.7,0.00,999.43,10.00,20.19,31.1,7.4
