WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,MaximumTemperature,WindDirection,LandVisibility,StationPressure,VaporPressure,AirTemperature,DewPoint,Rainfall24Hr,RelativeHumidity,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-05-2019,19:00:00,999.56,31.3,000,10.00,969.02,34.64,27.5,26.5,9.80,94,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,5.6,08-05-2019,19:00:00,999.75,19.6,110,.10,839.50,21.28,18.5,18.5,51.90,100,2.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-05-2019,19:00:00,1001.57,26.9,000,10.00,958.18,28.77,25.6,23.4,55.30,88,0.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-05-2019,19:00:00,1001.60,26.8,000,10.00,956.28,29.80,25.3,24.0,48.80,92,0.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-05-2019,19:00:00,1003.63,27.5,000,6.00,966.04,30.58,25.0,24.4,30.30,97,0.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,11.1,08-05-2019,19:00:00,1001.99,27.2,160,10.00,957.09,28.75,25.3,23.4,11.20,89,0.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,08-05-2019,19:00:00,1003.19,27.5,210,8.00,976.61,29.35,26.5,23.7,48.00,85,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-05-2019,19:00:00,1002.39,29.0,000,12.00,980.75,30.16,26.5,24.2,15.80,87,0.60
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-05-2019,19:00:00,1001.99,26.0,000,6.00,977.91,29.00,25.0,23.5,23.80,92,2.70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-05-2019,19:00:00,1001.65,27.0,000,8.00,967.32,29.50,26.0,23.8,19.40,88,0.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-05-2019,19:00:00,1002.53,29.0,000,10.00,975.12,28.54,26.2,23.3,54.10,84,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-05-2019,19:00:00,1001.43,28.5,000,10.00,968.06,28.54,26.2,23.3,22.90,84,0.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,7.4,08-05-2019,19:00:00,1002.11,29.8,270,10.00,983.72,31.11,27.0,24.7,8.50,87,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-05-2019,19:00:00,1002.85,28.0,000,10.00,980.13,31.24,26.5,24.8,15.60,90,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-05-2019,19:00:00,1003.21,27.1,000,7.00,973.39,29.93,25.8,24.1,24.00,90,0.01
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-05-2019,19:00:00,1002.92,26.5,000,6.00,967.49,30.44,25.5,24.3,40.20,93,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-05-2019,19:00:00,1002.00,30.4,000,14.00,972.59,32.32,27.9,25.3,3.20,86,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-05-2019,19:00:00,1003.31,30.2,000,8.00,996.06,33.70,28.3,26.0,11.20,88,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,08-05-2019,19:00:00,1002.93,31.4,000,15.00,983.27,32.38,29.2,25.4,0.00,80,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-05-2019,19:00:00,1002.56,30.0,000,12.00,974.18,30.40,28.2,24.3,2.90,80,0.20
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,08-05-2019,19:00:00,1003.09,32.5,000,10.00,982.98,31.16,26.6,24.7,1.50,90,0.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-05-2019,19:00:00,1003.41,33.8,000,12.00,981.71,32.20,26.0,25.3,48.00,96,42.50
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,08-05-2019,19:00:00,1002.75,32.0,000,10.00,983.28,32.37,25.8,25.4,29.40,97,29.40
