WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,LandVisibility,StationPressure,MaximumTemperature,WindSpeed,DewPoint,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.80,09-25-2019,19:00:00,29.4,12.00,982.14,34.2,0.0,24.5,0.00,1012.89,000,0.00,75
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.12,09-25-2019,19:00:00,17.3,8.00,851.28,21.0,16.7,14.1,0.00,1014.50,120,0.00,82
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.97,09-25-2019,19:00:00,26.8,10.00,971.30,30.9,0.0,19.7,0.00,1015.10,000,0.00,65
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,26.88,09-25-2019,19:00:00,26.0,12.00,969.37,30.5,0.0,22.3,0.00,1015.21,000,0.00,80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.45,09-25-2019,19:00:00,25.6,8.00,977.36,32.9,0.0,22.0,0.00,1015.31,000,0.00,81
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.87,09-25-2019,19:00:00,24.8,8.00,970.37,31.5,0.0,22.9,0.00,1015.97,000,0.00,89
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.68,09-25-2019,19:00:00,29.2,8.00,988.06,32.9,0.0,24.5,0.00,1014.71,000,0.00,76
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.37,09-25-2019,19:00:00,27.9,6.00,992.43,33.4,0.0,24.3,0.00,1014.23,000,0.00,81
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.03,09-25-2019,19:00:00,26.5,8.00,990.09,35.4,0.0,23.0,0.00,1014.35,000,0.00,81
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.47,09-25-2019,19:00:00,29.3,9.00,979.82,32.0,0.0,21.4,0.50,1014.21,000,0.00,63
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.14,09-25-2019,19:00:00,28.4,10.00,980.28,32.7,0.0,23.6,0.50,1007.63,000,0.00,75
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.54,09-25-2019,19:00:00,28.8,10.00,980.21,32.1,0.0,23.3,0.00,1013.70,000,0.00,72
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.01,09-25-2019,19:00:00,29.0,5.00,995.36,34.2,1.9,24.1,0.00,1013.84,090,0.00,75
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.74,09-25-2019,19:00:00,29.0,10.00,991.64,33.0,0.0,23.9,0.00,1014.43,000,0.00,74
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.94,09-25-2019,19:00:00,27.0,10.00,984.69,32.0,0.0,23.5,0.00,1014.74,000,0.00,81
