WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,DewPoint,WindSpeed,MeanSeaLevelPressure,Rainfall,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,08-04-2019,22:00:00,25.5,30.44,000,8.90,93,24.3,0.0,1000.47,0.10,969.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,.10,08-04-2019,22:00:00,18.4,21.14,270,39.70,100,18.4,18.5,998.65,3.50,838.53
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,8.00,08-04-2019,22:00:00,24.0,28.27,220,30.60,95,23.1,3.7,999.38,3.00,955.86
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,4.00,08-04-2019,22:00:00,23.5,27.66,140,40.60,96,22.8,3.7,999.46,5.60,953.96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,4.00,08-04-2019,22:00:00,22.8,27.74,000,77.60,100,22.8,0.0,1001.71,4.00,963.92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.00,08-04-2019,22:00:00,23.3,27.83,110,58.60,97,22.8,11.1,1000.44,2.20,955.32
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.00,08-04-2019,22:00:00,23.5,27.66,180,82.60,96,22.8,9.3,1002.14,10.40,975.32
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,8.00,08-04-2019,22:00:00,24.1,29.22,090,5.60,97,23.7,5.6,1001.97,2.10,980.17
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-04-2019,22:00:00,24.5,28.89,000,5.40,94,23.5,0.0,1002.05,0.80,977.93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,8.00,08-04-2019,22:00:00,24.4,29.23,000,15.60,96,23.7,0.0,1001.16,0.40,966.67
