WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,RelativeHumidity,AirTemperature,StationPressure,WindSpeed,DewPoint,VaporPressure,Rainfall24Hr,Rainfall,LandVisibility
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-15-2019,10:00:00,1009.72,000,73,29.0,982.36,0.0,23.6,29.19,0.60,0.00,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-15-2019,10:00:00,1009.86,000,74,27.8,976.39,0.0,22.6,27.49,28.50,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-15-2019,10:00:00,1009.25,010,81,29.1,990.86,1.9,25.6,32.75,0.10,0.00,4.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-15-2019,10:00:00,1009.64,080,63,31.3,987.12,3.7,23.5,28.96,0.00,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-15-2019,10:00:00,1009.69,060,67,29.7,980.06,5.6,22.8,27.80,0.00,0.00,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-15-2019,10:00:00,1009.40,000,72,30.8,974.35,0.0,25.1,31.93,6.20,0.00,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-15-2019,10:00:00,1009.56,000,84,27.0,979.84,0.0,24.1,30.02,0.00,0.00,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-15-2019,10:00:00,1009.01,000,67,31.4,1001.80,0.0,24.6,30.86,0.00,0.00,11.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-15-2019,10:00:00,1009.42,080,70,31.3,989.77,7.4,25.2,32.10,0.00,0.00,15.00
48353,LOEI,เลย,เลย,17.45000,101.73333,09-15-2019,10:00:00,1010.01,000,83,26.6,981.27,0.0,23.5,29.00,3.50,3.50,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-15-2019,10:00:00,1009.35,070,61,31.0,989.41,5.6,22.7,27.54,16.90,0.00,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-15-2019,10:00:00,1009.56,080,60,31.1,988.08,7.4,22.5,27.19,0.00,0.00,13.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-15-2019,10:00:00,1009.11,100,60,31.0,989.85,5.6,22.2,26.73,0.00,0.00,15.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-15-2019,10:00:00,1009.60,000,57,32.0,993.09,0.0,22.5,27.27,0.00,0.00,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-15-2019,10:00:00,1009.90,000,60,31.0,992.68,0.0,22.2,26.73,0.00,0.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-15-2019,10:00:00,1008.43,160,66,31.0,982.97,7.4,23.8,29.48,5.00,0.00,15.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-15-2019,10:00:00,1009.05,330,77,31.5,1003.34,5.6,27.1,35.81,0.50,0.00,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-15-2019,10:00:00,1009.19,000,71,32.2,1003.09,0.0,26.4,34.32,0.60,0.00,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-15-2019,10:00:00,1010.38,180,72,29.0,994.00,3.7,23.5,28.91,0.00,0.00,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-15-2019,10:00:00,1007.13,270,75,29.5,985.00,5.6,24.5,30.72,8.20,0.00,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-15-2019,10:00:00,1009.75,260,77,30.0,995.47,11.1,25.5,32.59,11.00,0.00,7.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-15-2019,10:00:00,1009.78,120,69,31.0,993.57,7.4,24.6,30.90,0.20,0.00,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-15-2019,10:00:00,1009.28,220,76,30.6,1004.10,5.6,25.8,33.26,10.90,0.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-15-2019,10:00:00,1007.42,000,67,30.8,994.38,0.0,23.9,29.65,4.00,0.00,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-15-2019,10:00:00,1009.16,020,75,31.1,999.95,3.7,26.1,33.73,0.00,0.00,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-15-2019,10:00:00,1009.00,060,67,30.5,987.53,9.3,23.7,29.33,0.00,0.00,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-15-2019,10:00:00,1008.80,240,65,31.5,991.53,13.0,24.0,29.92,0.00,0.00,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-15-2019,10:00:00,1008.58,120,67,30.2,992.89,5.6,23.4,28.75,3.20,0.00,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-15-2019,10:00:00,1008.10,030,68,31.1,989.46,11.1,24.4,30.53,0.00,0.00,12.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-15-2019,10:00:00,1010.51,000,81,25.8,959.13,0.0,22.4,27.05,28.60,0.00,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-15-2019,10:00:00,1008.73,290,73,31.0,1004.81,3.7,25.5,32.63,0.90,0.00,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-15-2019,10:00:00,1009.28,050,89,23.5,914.58,9.3,21.5,25.68,2.60,1.80,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-15-2019,10:00:00,1009.12,100,74,29.0,993.21,7.4,23.9,29.74,8.90,0.00,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-15-2019,10:00:00,1009.12,220,72,31.2,1005.13,3.7,25.6,32.76,0.00,0.00,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-15-2019,10:00:00,1009.61,000,69,31.5,999.07,0.0,25.1,31.93,4.90,0.00,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-15-2019,10:00:00,1009.36,330,73,30.3,1007.45,5.6,24.9,31.48,7.40,0.00,12.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-15-2019,10:00:00,1009.04,050,59,31.5,988.44,7.4,22.4,27.13,0.00,0.00,12.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-15-2019,10:00:00,1008.74,060,70,29.5,991.20,16.7,23.6,29.05,0.00,0.00,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-15-2019,10:00:00,1008.71,060,70,30.6,992.72,5.6,24.6,30.94,0.00,0.00,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-15-2019,10:00:00,1009.21,130,81,28.5,995.22,9.3,24.9,31.54,1.10,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-15-2019,10:00:00,1009.87,000,84,28.0,995.05,0.0,25.0,31.67,0.80,0.00,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-15-2019,10:00:00,1009.74,170,80,30.5,995.20,5.6,26.6,34.82,0.00,0.00,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-15-2019,10:00:00,1008.61,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",78,30.0,1005.62,0.0,25.8,33.17,3.60,0.00,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-15-2019,10:00:00,1008.42,000,66,30.3,1000.55,0.0,23.3,28.67,9.20,0.00,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-15-2019,10:00:00,1009.12,010,70,31.5,1008.02,7.4,25.4,32.52,0.00,0.00,9.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-15-2019,10:00:00,1009.10,000,77,30.2,994.54,0.0,25.7,33.00,0.00,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-15-2019,10:00:00,1007.25,060,74,24.6,874.35,5.6,19.6,22.85,14.20,0.00,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-15-2019,10:00:00,1008.79,000,76,30.4,1002.96,0.0,25.6,32.84,0.00,0.00,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-15-2019,10:00:00,1008.53,080,68,32.2,1007.74,3.7,25.4,32.53,0.50,0.00,12.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-15-2019,10:00:00,1008.44,230,74,30.3,1008.00,11.1,25.2,32.05,2.30,0.00,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-15-2019,10:00:00,1009.47,000,78,29.5,998.24,0.0,25.2,32.13,22.80,0.00,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-15-2019,10:00:00,1008.95,350,72,31.1,1007.95,3.7,25.5,32.55,0.00,0.00,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-15-2019,10:00:00,1009.08,000,71,31.0,1007.27,0.0,25.0,31.76,3.50,0.00,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-15-2019,10:00:00,1008.69,000,75,30.7,1007.93,0.0,25.8,33.17,1.00,0.00,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-15-2019,10:00:00,1008.82,060,73,29.6,1008.12,5.6,24.1,30.08,10.00,0.00,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-15-2019,10:00:00,1008.57,000,79,29.5,1007.87,0.0,25.4,32.42,26.90,0.00,8.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-15-2019,10:00:00,1009.18,080,68,30.5,988.23,5.6,24.0,29.89,0.00,0.00,12.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-15-2019,10:00:00,1008.97,000,77,29.7,992.37,0.0,25.3,32.26,0.00,0.00,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-15-2019,10:00:00,1009.47,050,80,29.2,993.12,3.7,25.4,32.38,11.40,0.00,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-15-2019,10:00:00,1008.74,000,78,29.5,987.03,0.0,25.2,32.13,3.00,0.00,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-15-2019,10:00:00,1008.87,040,78,28.5,965.76,5.6,24.2,30.15,14.70,0.00,15.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-15-2019,10:00:00,1008.74,350,76,30.2,988.36,5.6,25.4,32.42,0.00,0.00,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-15-2019,10:00:00,1010.60,070,80,29.8,989.91,9.3,26.0,33.62,3.20,0.00,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-15-2019,10:00:00,1008.45,340,70,30.4,1008.02,9.3,24.2,30.26,6.00,0.00,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-15-2019,10:00:00,1008.39,000,79,29.6,1006.98,0.0,25.5,32.63,13.50,0.00,10.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-15-2019,10:00:00,1008.29,000,81,29.5,1003.39,0.0,26.0,33.58,9.20,0.00,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-15-2019,10:00:00,1008.89,310,73,30.5,1005.63,7.4,25.1,31.88,20.90,0.00,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-15-2019,10:00:00,1008.34,240,80,30.5,1007.24,7.4,26.6,34.82,36.60,0.30,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-15-2019,10:00:00,1008.40,000,73,31.0,1008.11,0.0,25.7,32.93,2.70,0.00,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-15-2019,10:00:00,1008.21,000,72,31.0,1007.53,0.0,25.4,32.34,13.30,0.00,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-15-2019,10:00:00,1008.28,120,72,30.2,1007.80,3.7,24.5,30.70,31.80,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-15-2019,10:00:00,1008.72,360,74,30.6,1007.32,5.6,25.5,32.67,4.60,0.00,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-15-2019,10:00:00,1009.06,000,89,29.0,1007.39,0.0,26.9,35.46,7.00,0.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-15-2019,10:00:00,1010.82,000,83,28.5,1002.83,0.0,25.2,32.10,13.50,0.00,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-15-2019,10:00:00,1008.22,330,77,30.0,1007.93,5.6,25.5,32.59,4.30,0.00,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-15-2019,10:00:00,1008.45,320,78,30.5,1005.34,5.6,26.3,34.22,61.00,0.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-15-2019,10:00:00,1008.90,240,81,28.5,1001.98,5.6,24.9,31.54,3.40,0.00,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-15-2019,10:00:00,1008.64,000,81,29.1,1003.07,0.0,25.4,32.46,3.40,0.00,10.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-15-2019,10:00:00,1010.76,000,79,28.8,1001.47,0.0,24.8,31.29,35.50,0.00,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-15-2019,10:00:00,1008.22,000,72,30.3,1006.97,0.0,24.7,31.19,2.50,0.00,15.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-15-2019,10:00:00,1008.58,000,90,27.2,1008.14,0.0,25.5,32.61,2.50,2.30,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-15-2019,10:00:00,1009.11,000,81,27.5,996.85,0.0,23.9,29.60,40.50,0.00,9.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-15-2019,10:00:00,1008.74,260,76,29.3,1008.03,9.3,24.6,30.88,11.00,0.00,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-15-2019,10:00:00,1008.66,230,79,29.2,1006.24,7.4,25.1,31.81,40.40,1.90,8.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-15-2019,10:00:00,1008.65,300,88,27.0,1008.13,14.8,24.8,31.38,11.90,8.10,4.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-15-2019,10:00:00,1008.34,240,79,29.2,1003.22,3.7,25.1,31.81,9.30,4.50,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-15-2019,10:00:00,1009.15,000,87,27.6,1008.73,0.0,25.2,32.00,10.30,0.00,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-15-2019,10:00:00,1009.00,280,93,26.2,1006.22,7.4,25.0,31.76,29.70,0.20,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-15-2019,10:00:00,1008.25,260,74,28.0,1007.46,5.6,22.9,27.85,0.00,0.00,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-15-2019,10:00:00,1007.90,300,98,25.0,1007.44,5.6,24.7,31.12,103.60,58.80,3.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-15-2019,10:00:00,1010.80,000,97,23.8,1010.11,0.0,23.4,28.69,35.70,11.30,6.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-15-2019,10:00:00,1010.07,000,92,25.2,1008.52,0.0,23.7,29.36,20.80,1.00,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-15-2019,10:00:00,1011.30,220,84,27.0,1010.38,7.4,24.1,30.02,91.40,0.30,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-15-2019,10:00:00,1010.39,270,78,27.5,1009.70,7.4,23.4,28.80,20.10,0.00,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-15-2019,10:00:00,1011.13,250,87,27.0,1010.33,1.9,24.7,31.11,14.00,0.01,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-15-2019,10:00:00,1010.56,000,79,27.8,1009.92,0.0,23.7,29.36,5.20,0.40,9.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-15-2019,10:00:00,1009.22,000,74,28.8,1008.81,0.0,23.7,29.35,22.00,0.01,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-15-2019,10:00:00,1012.71,000,86,27.8,1008.49,0.0,25.2,32.12,17.10,0.00,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-15-2019,10:00:00,1011.36,000,82,27.8,1009.75,0.0,24.5,30.72,10.20,0.00,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-15-2019,10:00:00,1011.09,000,76,27.4,1007.61,0.0,22.8,27.82,14.10,0.00,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-15-2019,10:00:00,1011.06,250,76,28.4,1009.70,7.4,23.8,29.41,2.00,0.00,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-15-2019,10:00:00,1011.73,240,83,27.0,1010.84,18.5,23.8,29.48,26.00,0.20,8.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-15-2019,10:00:00,1011.36,290,81,27.5,1007.79,7.4,23.9,29.60,15.20,0.00,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-15-2019,10:00:00,1010.92,300,72,29.1,1010.49,13.0,23.6,29.11,20.80,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-15-2019,10:00:00,1010.63,260,72,29.0,1009.64,11.1,23.5,28.91,24.10,0.00,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-15-2019,10:00:00,1011.61,280,87,28.5,1010.79,20.4,26.1,33.82,47.80,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-15-2019,10:00:00,1011.45,000,82,27.5,1009.63,0.0,24.2,30.15,16.00,0.00,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-15-2019,10:00:00,1011.35,270,70,29.1,1010.60,7.4,23.0,28.02,1.50,0.00,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-15-2019,10:00:00,1011.33,990,77,28.2,1007.34,7.4,23.9,29.57,0.01,0.00,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-15-2019,10:00:00,1012.33,270,78,29.0,1011.65,7.4,24.7,31.13,13.10,0.10,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-15-2019,10:00:00,1011.27,160,75,29.4,1010.16,5.6,24.5,30.80,14.20,0.00,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-15-2019,10:00:00,1011.67,000,81,28.3,1008.75,0.0,24.7,31.14,7.60,0.00,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-15-2019,10:00:00,1010.99,000,76,29.5,1010.30,0.0,24.8,31.28,5.90,0.00,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-15-2019,10:00:00,1011.56,220,72,29.5,1007.45,5.6,23.9,29.60,9.50,0.00,9.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-15-2019,10:00:00,1011.19,000,74,28.0,1010.60,0.0,23.0,28.12,7.10,0.00,10.00
