WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,RelativeHumidity,AirTemperature,StationPressure,WindSpeed,DewPoint,VaporPressure,Rainfall24Hr,Rainfall,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-15-2019,10:00:00,1009.30,000,73,28.8,978.60,0.0,23.6,29.08,4.20,0.00,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-15-2019,10:00:00,1008.85,130,92,21.2,848.47,16.7,19.8,23.06,0.00,0.00,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-15-2019,10:00:00,1009.93,330,70,29.0,966.66,1.9,22.9,27.83,10.50,0.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-15-2019,10:00:00,1009.78,000,77,28.2,964.51,0.0,23.9,29.57,10.20,0.00,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-15-2019,10:00:00,1009.86,000,81,29.0,972.52,0.0,25.5,32.55,42.20,0.00,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-15-2019,10:00:00,1009.78,050,79,28.5,965.00,1.9,24.5,30.70,9.00,0.00,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-15-2019,10:00:00,1010.31,000,68,29.7,983.82,0.0,23.1,28.34,0.00,0.00,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-15-2019,10:00:00,1009.34,090,76,29.7,987.77,1.9,25.0,31.68,7.20,0.00,11.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-15-2019,10:00:00,1009.61,000,78,28.1,985.60,0.0,23.9,29.65,0.00,0.00,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-15-2019,10:00:00,1010.02,230,72,28.3,975.66,3.7,22.7,27.61,0.30,0.00,10.00
