WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,MeanSeaLevelPressure,AirTemperature,VaporPressure,Rainfall24Hr,MinimumTemperature,Rainfall,LandVisibility,WindDirection,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-17-2019,07:00:00,21.2,95,1009.95,22.1,25.13,0.00,21.7,0.00,8.00,000,978.54
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,09-17-2019,07:00:00,16.5,85,1007.86,19.0,18.75,0.00,19.0,0.00,8.00,000,846.56
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,09-17-2019,07:00:00,21.9,90,1009.53,23.6,26.33,0.00,22.9,0.00,12.00,000,965.51
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-17-2019,07:00:00,21.4,93,1009.67,22.6,25.44,0.00,21.5,0.00,15.00,000,963.58
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-17-2019,07:00:00,23.4,100,1009.89,23.4,28.76,0.01,22.7,0.00,10.00,000,971.87
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,09-17-2019,07:00:00,22.7,95,1009.35,23.6,27.58,0.00,23.3,0.00,12.00,000,963.87
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-17-2019,07:00:00,23.4,94,1009.81,24.4,28.71,0.00,24.2,0.00,5.00,000,982.86
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,09-17-2019,07:00:00,22.4,96,1008.75,23.0,27.07,0.00,22.8,0.00,10.00,000,986.71
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-17-2019,07:00:00,22.8,93,1010.32,24.0,27.76,0.00,22.5,0.00,5.00,000,985.96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,09-17-2019,07:00:00,20.9,87,1009.71,23.2,24.71,0.00,23.0,0.00,10.00,000,974.78
