WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,WindSpeed,DewPoint,LandVisibility,Rainfall24Hr,Rainfall,AirTemperature,StationPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.50,07-25-2019,01:00:00,27.68,0.0,22.8,7.00,26.00,0.00,24.1,977.35,000,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.30,07-25-2019,01:00:00,20.62,31.5,18.0,5.00,23.20,2.10,18.0,843.92,280,100
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.48,07-25-2019,01:00:00,28.63,0.0,23.3,10.00,19.30,2.40,24.5,962.72,000,93
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.40,07-25-2019,01:00:00,28.27,0.0,23.1,10.00,20.00,2.20,24.0,960.66,000,95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.68,07-25-2019,01:00:00,28.42,0.0,23.2,6.00,18.00,2.20,23.5,969.75,000,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1006.47,07-25-2019,01:00:00,28.63,0.0,23.3,10.00,2.90,0.00,24.5,961.25,000,93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.62,07-25-2019,01:00:00,28.81,3.7,23.4,6.00,7.70,0.30,24.6,980.75,160,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.52,07-25-2019,01:00:00,27.30,1.9,22.5,12.00,1.10,0.00,25.8,985.72,210,82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.10,07-25-2019,01:00:00,28.53,0.0,23.3,6.00,11.50,0.20,24.0,984.77,000,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.73,07-25-2019,01:00:00,29.79,0.0,24.0,10.00,17.70,0.00,25.0,973.08,000,94
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.85,07-25-2019,01:00:00,29.82,0.0,24.0,10.00,29.20,0.00,25.6,981.21,000,91
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.42,07-25-2019,01:00:00,27.96,0.0,22.9,10.00,6.90,0.00,25.0,973.72,000,88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.18,07-25-2019,01:00:00,30.63,7.4,24.4,12.00,16.50,0.00,25.6,988.62,240,93
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.09,07-25-2019,01:00:00,30.32,0.0,24.3,10.00,21.20,0.00,25.0,984.17,000,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.38,07-25-2019,01:00:00,29.13,0.0,23.6,7.00,4.80,0.00,24.2,977.27,000,97
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.10,07-25-2019,01:00:00,29.52,0.0,23.8,6.00,13.20,0.00,25.0,971.46,000,93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.12,07-25-2019,01:00:00,28.67,0.0,23.3,12.00,1.70,0.00,25.4,976.34,000,88
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.84,07-25-2019,01:00:00,31.99,0.0,25.2,8.00,4.30,0.01,26.6,1000.52,000,92
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.39,07-25-2019,01:00:00,32.25,0.0,25.3,11.00,0.50,0.00,27.3,986.54,000,89
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.50,07-25-2019,01:00:00,23.22,9.3,19.9,12.00,2.50,0.00,27.7,977.97,280,63
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.57,07-25-2019,01:00:00,30.78,0.0,24.5,10.00,5.20,0.00,27.4,986.45,000,84
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.94,07-25-2019,01:00:00,27.74,11.1,22.8,10.00,9.60,0.00,25.9,986.13,220,83
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.66,07-25-2019,01:00:00,29.03,5.6,23.5,10.00,23.80,0.80,25.6,987.11,210,88
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.19,07-25-2019,01:00:00,29.42,0.0,23.8,4.00,60.20,22.10,24.8,990.32,000,94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.34,07-25-2019,01:00:00,29.51,0.0,23.8,8.00,47.20,14.40,24.7,989.80,000,95
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1005.67,07-25-2019,01:00:00,30.43,0.0,24.3,10.00,5.00,0.00,26.5,979.91,000,88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.39,07-25-2019,01:00:00,28.00,3.7,22.9,10.00,2.90,0.00,27.5,1001.61,240,76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.62,07-25-2019,01:00:00,29.19,5.6,23.6,12.00,3.70,0.00,28.0,1001.45,250,77
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.43,07-25-2019,01:00:00,29.08,0.0,23.6,8.00,4.00,0.40,26.5,991.95,000,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.82,07-25-2019,01:00:00,27.25,3.7,22.5,6.00,33.10,3.70,24.0,985.26,260,91
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.70,07-25-2019,01:00:00,28.01,9.3,23.0,10.00,2.20,0.50,26.2,994.25,260,82
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.79,07-25-2019,01:00:00,27.77,3.7,22.8,7.00,2.80,0.00,26.5,991.37,210,80
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.99,07-25-2019,01:00:00,32.03,0.0,25.2,10.00,1.20,0.00,27.9,1002.77,000,85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.53,07-25-2019,01:00:00,30.02,0.0,24.1,10.00,3.10,0.00,27.0,993.35,000,84
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.02,07-25-2019,01:00:00,27.90,0.0,22.9,10.00,2.90,0.00,27.3,998.70,000,77
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.47,07-25-2019,01:00:00,29.68,7.4,23.9,8.00,4.10,0.00,26.1,985.71,200,88
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.74,07-25-2019,01:00:00,31.79,5.6,25.1,10.00,0.70,0.50,26.5,990.20,230,92
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.96,07-25-2019,01:00:00,28.53,0.0,23.3,10.00,3.30,1.20,24.0,990.97,000,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1006.73,07-25-2019,01:00:00,30.81,7.4,24.5,7.00,5.30,0.01,26.7,987.84,190,88
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.19,07-25-2019,01:00:00,25.60,0.0,21.5,5.00,10.60,0.00,23.0,957.41,000,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.46,07-25-2019,01:00:00,29.88,0.0,24.0,7.00,0.10,0.00,27.5,1003.51,000,81
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.00,07-25-2019,01:00:00,23.26,13.0,19.9,.20,13.40,1.20,20.4,913.39,240,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.41,07-25-2019,01:00:00,30.60,7.4,24.4,5.00,2.10,1.50,25.3,991.33,210,95
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.18,07-25-2019,01:00:00,27.89,7.4,22.9,10.00,0.01,0.00,28.6,1004.17,280,71
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.25,07-25-2019,01:00:00,28.29,0.0,23.1,5.00,1.20,0.00,26.5,998.54,000,82
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.80,07-25-2019,01:00:00,25.74,3.7,21.6,7.00,3.60,0.00,27.4,1006.87,180,71
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.02,07-25-2019,01:00:00,28.18,5.6,23.1,10.00,0.80,0.00,26.0,987.07,220,84
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.55,07-25-2019,01:00:00,29.51,9.3,23.8,8.00,8.60,2.30,24.7,989.74,210,95
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.56,07-25-2019,01:00:00,29.93,7.4,24.1,7.00,14.10,2.30,24.5,991.25,220,97
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.33,07-25-2019,01:00:00,27.58,3.7,22.7,10.00,51.00,27.40,23.6,995.11,190,95
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.81,07-25-2019,01:00:00,27.50,0.0,22.7,6.00,27.80,10.40,23.7,994.78,000,94
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1010.11,07-25-2019,01:00:00,28.78,0.0,23.4,3.00,17.50,4.00,24.0,995.25,000,97
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.95,07-25-2019,01:00:00,24.94,0.0,21.1,10.00,0.01,0.00,29.0,1004.95,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",62
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.28,07-25-2019,01:00:00,29.50,0.0,23.8,7.00,0.20,0.00,26.0,1000.29,000,88
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.31,07-25-2019,01:00:00,30.28,0.0,24.2,7.00,14.60,0.00,25.7,1008.20,000,92
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1008.05,07-25-2019,01:00:00,28.64,0.0,23.3,8.00,15.20,1.10,24.8,993.24,000,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.55,07-25-2019,01:00:00,22.57,3.7,19.4,.10,15.80,1.00,19.6,874.27,280,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.99,07-25-2019,01:00:00,28.83,0.0,23.4,10.00,7.40,0.00,25.2,1003.06,000,90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.38,07-25-2019,01:00:00,35.56,1.9,27.0,8.00,1.10,0.10,27.1,1008.58,090,99
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.97,07-25-2019,01:00:00,31.46,7.4,24.9,9.00,2.20,0.01,28.6,1008.53,230,80
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1010.91,07-25-2019,01:00:00,29.41,0.0,23.8,3.00,20.50,2.70,24.5,999.47,000,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.34,07-25-2019,01:00:00,29.11,0.0,23.6,10.00,1.60,0.00,28.1,1008.33,000,77
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1009.12,07-25-2019,01:00:00,29.97,7.4,24.1,7.00,0.20,0.00,26.4,1007.29,160,87
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.30,07-25-2019,01:00:00,28.88,0.0,23.5,4.00,2.50,0.00,27.4,1008.53,000,79
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.71,07-25-2019,01:00:00,32.45,5.6,25.4,10.00,24.00,0.20,27.4,1009.01,250,89
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.58,07-25-2019,01:00:00,31.79,0.0,25.1,6.00,3.20,0.40,26.5,1008.87,000,92
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.91,07-25-2019,01:00:00,30.17,1.9,24.2,8.00,2.40,0.50,25.5,987.61,210,93
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1009.22,07-25-2019,01:00:00,27.66,0.0,22.8,6.00,17.50,3.50,23.5,992.27,000,96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1009.65,07-25-2019,01:00:00,27.76,0.0,22.8,6.00,24.30,2.80,24.0,993.02,000,93
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.08,07-25-2019,01:00:00,29.50,0.0,23.8,10.00,1.40,0.20,26.0,987.11,000,88
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.46,07-25-2019,01:00:00,26.93,7.4,22.3,10.00,7.90,0.00,24.7,965.80,250,87
