WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,DewPoint,StationPressure,WindDirection,Rainfall24Hr,Rainfall,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.0,08-18-2019,13:00:00,0.0,30.57,76,1008.86,24.4,978.19,000,0.70,0.00,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.3,08-18-2019,13:00:00,13.0,21.85,86,1005.13,18.9,845.39,270,0.00,0.00,9.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.9,08-18-2019,13:00:00,11.1,29.56,66,1006.47,23.9,963.62,160,2.10,0.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,30.1,08-18-2019,13:00:00,0.0,29.11,68,1006.47,23.6,961.63,000,4.00,0.00,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.4,08-18-2019,13:00:00,0.0,30.80,75,1007.62,24.5,970.41,000,1.60,0.00,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.6,08-18-2019,13:00:00,0.0,30.98,67,1006.88,24.6,962.67,000,0.00,0.00,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.9,08-18-2019,13:00:00,3.7,30.64,86,1008.12,24.4,981.44,010,25.50,25.50,7.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,32.4,08-18-2019,13:00:00,5.6,27.77,57,1008.15,22.8,986.79,240,0.40,0.00,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.8,08-18-2019,13:00:00,0.0,29.90,76,1009.22,24.0,985.26,000,1.30,1.00,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.8,08-18-2019,13:00:00,3.7,28.26,64,1008.27,23.1,974.25,160,1.60,0.00,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.6,08-18-2019,13:00:00,3.7,28.17,57,1007.90,23.0,980.91,170,2.80,0.00,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.2,08-18-2019,13:00:00,7.4,28.48,63,1008.15,23.2,975.10,250,0.10,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,32.4,08-18-2019,13:00:00,7.4,30.61,63,1007.58,24.4,989.42,210,6.00,0.00,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,33.3,08-18-2019,13:00:00,11.1,28.72,56,1007.06,23.4,984.74,220,0.00,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,32.7,08-18-2019,13:00:00,0.0,28.93,58,1007.04,23.5,977.77,000,2.00,0.00,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.5,08-18-2019,13:00:00,0.0,29.92,65,1007.54,24.0,972.63,000,4.00,0.00,8.00
