WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,Rainfall24Hr,Rainfall,VaporPressure,WindDirection,WindSpeed,StationPressure,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.0,07-11-2019,07:00:00,1009.28,23.6,24.5,4.00,0.00,29.15,000,0.0,978.14,10.00,95
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.0,07-11-2019,07:00:00,1004.32,18.1,18.8,0.00,0.00,20.82,270,3.7,843.49,8.00,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.4,07-11-2019,07:00:00,1007.98,23.2,24.8,3.80,0.00,28.38,270,3.7,964.21,10.00,91
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.6,07-11-2019,07:00:00,1007.99,23.4,24.1,4.60,0.00,28.70,000,0.0,962.20,15.00,96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.5,07-11-2019,07:00:00,1008.82,23.3,24.0,8.80,0.00,28.53,000,0.0,970.91,8.00,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.5,07-11-2019,07:00:00,1008.59,22.5,25.5,0.40,0.00,27.29,160,3.7,963.43,8.00,84
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.2,07-11-2019,07:00:00,1009.32,22.9,25.7,0.60,0.00,27.90,000,0.0,982.50,10.00,85
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.7,07-11-2019,07:00:00,1009.32,22.3,25.1,0.00,0.00,26.86,090,3.7,987.42,12.00,84
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.0,07-11-2019,07:00:00,1010.34,23.4,24.0,6.10,0.40,28.78,000,0.0,985.97,6.00,97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.2,07-11-2019,07:00:00,1008.82,21.9,25.8,0.30,0.00,26.28,000,0.0,974.22,10.00,79
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.6,07-11-2019,07:00:00,1009.90,22.8,26.5,0.00,0.00,27.77,000,0.0,982.31,10.00,80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.2,07-11-2019,07:00:00,1008.62,23.0,26.2,0.80,0.00,28.01,000,0.0,975.02,10.00,82
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.5,07-11-2019,07:00:00,1009.26,23.2,25.8,2.50,0.00,28.34,000,0.0,990.67,8.00,85
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.9,07-11-2019,07:00:00,1008.93,23.1,25.5,0.70,0.00,28.33,000,0.0,986.00,10.00,87
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.6,07-11-2019,07:00:00,1009.39,23.0,24.5,0.00,0.00,28.11,000,0.0,979.26,9.00,91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.8,07-11-2019,07:00:00,1009.13,22.3,24.4,0.00,0.00,26.93,000,0.0,973.35,7.00,88
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.7,07-11-2019,07:00:00,1008.48,23.5,25.6,0.00,0.00,29.03,000,0.0,978.66,12.00,88
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.9,07-11-2019,07:00:00,1009.17,23.1,26.0,0.00,0.00,28.18,000,0.0,1001.82,9.00,84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.0,07-11-2019,07:00:00,1008.34,26.0,27.8,1.80,0.00,33.53,000,0.0,988.49,12.00,90
48353,LOEI,เลย,เลย,17.45000,101.73333,26.1,07-11-2019,07:00:00,1008.78,22.8,26.5,0.00,0.00,27.77,000,0.0,980.07,10.00,80
