WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,Rainfall24Hr,Rainfall,VaporPressure,WindDirection,WindSpeed,StationPressure,LandVisibility,RelativeHumidity
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.5,07-11-2019,07:00:00,1008.65,23.9,28.1,0.00,0.00,29.65,220,1.9,988.53,15.00,78
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.1,07-11-2019,07:00:00,1009.14,24.1,27.0,0.00,0.00,30.02,000,0.0,987.38,10.00,84
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.5,07-11-2019,07:00:00,1008.81,24.7,27.1,0.00,0.00,31.02,000,0.0,989.30,12.00,87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.5,07-11-2019,07:00:00,1009.98,24.5,26.2,0.50,0.00,30.67,000,0.0,993.15,12.00,90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.9,07-11-2019,07:00:00,1010.04,24.6,26.0,0.00,0.00,30.84,000,0.0,992.54,11.00,92
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.7,07-11-2019,07:00:00,1007.41,23.6,27.0,0.00,0.00,29.21,000,0.0,981.64,15.00,82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.2,07-11-2019,07:00:00,1009.76,22.4,28.0,0.00,0.00,27.06,000,0.0,1003.97,10.00,72
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.9,07-11-2019,07:00:00,1009.41,23.2,27.2,0.00,0.00,28.51,000,0.0,1003.21,12.00,79
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.5,07-11-2019,07:00:00,1009.74,23.4,26.3,0.00,0.00,28.72,000,0.0,993.22,10.00,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.4,07-11-2019,07:00:00,1008.60,23.2,24.2,3.10,1.20,28.36,000,0.0,986.04,8.00,94
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.0,07-11-2019,07:00:00,1009.80,22.2,27.4,0.00,0.00,26.77,260,11.1,995.40,7.00,73
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.0,07-11-2019,07:00:00,1009.35,22.8,26.5,0.00,0.00,27.77,000,0.0,992.90,7.00,80
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.8,07-11-2019,07:00:00,1009.37,25.7,27.0,0.01,0.00,33.06,130,5.6,1004.13,10.00,93
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.7,07-11-2019,07:00:00,1008.37,22.2,26.1,0.00,0.00,26.80,000,0.0,995.11,12.00,79
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.3,07-11-2019,07:00:00,1009.37,23.4,26.0,0.00,0.00,28.70,000,0.0,999.99,12.00,85
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.5,07-11-2019,07:00:00,1008.99,23.1,27.5,0.00,0.00,28.26,220,5.6,987.31,8.00,77
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.0,07-11-2019,07:00:00,1007.07,24.1,27.0,0.00,0.00,30.02,000,0.0,989.57,12.00,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.6,07-11-2019,07:00:00,1008.92,24.3,26.5,0.00,0.00,30.43,000,0.0,993.03,10.00,88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.8,07-11-2019,07:00:00,1008.18,23.9,28.0,1.80,0.00,29.74,200,5.6,989.34,10.00,79
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.5,07-11-2019,07:00:00,1013.03,21.0,22.2,1.30,0.00,24.81,000,0.0,960.92,7.00,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.3,07-11-2019,07:00:00,1009.28,24.9,26.9,0.10,0.00,31.46,000,0.0,1005.31,7.00,89
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.7,07-11-2019,07:00:00,1010.61,19.8,20.6,6.60,0.20,23.10,220,16.7,914.91,3.00,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.0,07-11-2019,07:00:00,1009.51,24.9,27.2,1.60,0.00,31.49,000,0.0,993.49,8.00,87
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.6,07-11-2019,07:00:00,1009.56,24.4,27.0,0.01,0.00,30.56,000,0.0,1005.52,10.00,86
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.8,07-11-2019,07:00:00,1010.98,24.0,25.5,0.00,0.00,29.91,300,5.6,1000.21,9.00,92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.3,07-11-2019,07:00:00,1010.24,23.9,26.2,0.00,0.00,29.60,000,0.0,1008.30,9.00,87
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.6,07-11-2019,07:00:00,1009.86,22.7,27.0,0.00,0.00,27.62,230,11.1,988.95,10.00,77
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.0,07-11-2019,07:00:00,1009.27,24.1,27.0,14.40,0.00,30.02,200,11.1,991.57,10.00,84
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.8,07-11-2019,07:00:00,1009.10,26.4,27.5,8.00,0.00,34.36,240,5.6,992.94,10.00,94
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.7,07-11-2019,07:00:00,1009.98,23.9,27.4,0.00,0.00,29.69,210,3.7,995.92,10.00,81
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.5,07-11-2019,07:00:00,1010.66,24.3,26.5,0.00,0.00,30.43,000,0.0,995.76,8.00,88
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.8,07-11-2019,07:00:00,1010.44,24.4,27.0,0.00,0.00,30.56,270,11.1,995.72,10.00,86
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.6,07-11-2019,07:00:00,1009.15,23.2,26.9,0.00,0.00,28.49,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1006.12,10.00,80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.4,07-11-2019,07:00:00,1009.75,24.1,26.4,0.60,0.00,29.97,000,0.0,1001.76,10.00,87
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.8,07-11-2019,07:00:00,1010.21,24.1,26.0,0.00,0.00,30.03,180,7.4,1009.09,8.00,89
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.9,07-11-2019,07:00:00,1008.18,24.1,26.6,0.00,0.00,30.07,000,0.0,993.46,9.00,86
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},18.0,07-11-2019,07:00:00,1011.09,18.5,19.0,0.60,0.00,21.30,250,5.6,875.35,7.00,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.0,07-11-2019,07:00:00,1010.29,24.5,26.1,0.00,0.00,30.76,000,0.0,1004.37,8.00,91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.2,07-11-2019,07:00:00,1010.36,25.1,27.5,0.01,0.00,31.80,240,3.7,1009.56,10.00,87
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.9,07-11-2019,07:00:00,1010.51,24.5,27.5,0.00,0.00,30.70,000,0.0,1010.06,10.00,84
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.6,07-11-2019,07:00:00,1011.49,23.1,23.8,0.30,0.00,28.18,000,0.0,1000.02,5.00,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.0,07-11-2019,07:00:00,1010.49,23.3,27.4,0.00,0.00,28.61,210,3.7,1009.47,10.00,78
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.8,07-11-2019,07:00:00,1010.31,24.3,26.5,0.00,0.00,30.43,000,0.0,1008.48,8.00,88
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.6,07-11-2019,07:00:00,1010.16,24.0,26.3,0.00,0.00,29.78,000,0.0,1009.39,8.00,87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.2,07-11-2019,07:00:00,1010.83,22.3,27.5,0.00,0.00,26.95,300,5.6,1010.12,9.00,73
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.9,07-11-2019,07:00:00,1010.61,25.3,27.0,0.00,0.00,32.21,000,0.0,1009.90,7.00,90
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.4,07-11-2019,07:00:00,1009.98,23.4,26.8,0.00,0.00,28.84,230,7.4,988.76,10.00,82
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.6,07-11-2019,07:00:00,1010.32,24.0,26.3,0.00,0.00,29.78,000,0.0,993.52,8.00,87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.5,07-11-2019,07:00:00,1010.70,23.7,26.2,0.00,0.00,29.33,180,3.7,994.17,10.00,86
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.5,07-11-2019,07:00:00,1010.01,23.7,25.9,0.00,0.00,29.31,000,0.0,988.02,10.00,88
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.8,07-11-2019,07:00:00,1010.36,20.6,26.2,0.00,0.00,24.20,220,7.4,966.87,12.00,71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.3,07-11-2019,07:00:00,1010.38,23.1,26.0,0.00,0.00,28.18,210,5.6,989.69,10.00,84
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.5,07-11-2019,07:00:00,1011.67,24.2,26.8,0.00,0.00,30.18,210,14.8,990.74,8.00,86
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.7,07-11-2019,07:00:00,1011.05,23.5,26.7,0.00,0.00,28.92,260,3.7,1010.62,10.00,83
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.0,07-11-2019,07:00:00,1010.02,24.5,25.2,0.00,0.00,30.69,000,0.0,1008.59,8.00,96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.2,07-11-2019,07:00:00,1010.76,25.3,25.7,0.00,0.00,32.18,000,0.0,1005.79,7.00,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.7,07-11-2019,07:00:00,1010.54,23.0,26.2,0.00,0.00,28.01,000,0.0,1007.22,12.00,82
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.5,07-11-2019,07:00:00,1010.90,23.4,25.2,0.00,0.00,28.83,000,0.0,1009.78,10.00,90
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.2,07-11-2019,07:00:00,1010.96,23.5,26.7,0.00,0.00,28.92,310,3.7,1010.66,10.00,83
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,26.4,07-11-2019,07:00:00,1011.05,23.7,26.5,0.00,0.00,29.35,000,0.0,1010.36,10.00,85
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.2,07-11-2019,07:00:00,1011.16,23.0,26.2,0.00,0.00,28.01,270,1.9,1010.66,10.00,82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.4,07-11-2019,07:00:00,1011.10,22.9,27.7,0.00,0.00,27.83,260,7.4,1009.68,10.00,75
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.8,07-11-2019,07:00:00,1010.63,22.3,29.4,0.00,0.00,26.97,250,18.5,1008.95,10.00,66
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.0,07-11-2019,07:00:00,1012.52,24.6,25.2,0.00,0.00,30.96,000,0.0,1004.42,10.00,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.2,07-11-2019,07:00:00,1010.74,25.6,28.0,0.00,0.00,32.80,000,0.0,1010.45,10.00,87
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.2,07-11-2019,07:00:00,1010.51,24.2,28.5,0.00,0.00,30.15,000,0.0,1007.39,10.00,78
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.4,07-11-2019,07:00:00,1010.69,24.1,28.0,0.00,0.00,30.01,270,5.6,1003.75,10.00,79
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.3,07-11-2019,07:00:00,1010.38,25.1,26.5,0.00,0.00,31.79,000,0.0,1004.76,7.00,92
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.3,07-11-2019,07:00:00,1010.43,24.9,28.5,0.00,0.00,31.54,290,9.3,1001.13,10.00,81
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.7,07-11-2019,07:00:00,1011.60,23.5,25.0,0.00,0.00,29.00,000,0.0,1010.33,14.00,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.3,07-11-2019,07:00:00,1010.89,22.3,26.0,0.00,0.00,26.88,300,5.6,1010.46,11.00,80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.4,07-11-2019,07:00:00,1011.18,21.7,22.9,0.00,0.00,25.92,000,0.0,998.71,10.00,93
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.4,07-11-2019,07:00:00,1010.60,22.6,25.7,0.00,0.00,27.39,000,0.0,1009.88,10.00,83
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.1,07-11-2019,07:00:00,1010.88,24.0,25.6,0.00,0.00,29.82,090,3.7,1008.42,10.00,91
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.8,07-11-2019,07:00:00,1010.75,24.6,29.0,0.00,0.00,30.85,260,7.4,1010.23,10.00,77
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.3,07-11-2019,07:00:00,1010.93,24.1,26.0,0.00,0.00,30.03,300,5.6,1005.74,12.00,89
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,07-11-2019,07:00:00,1011.09,24.6,26.0,0.00,0.00,30.84,000,0.0,1010.67,8.00,92
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.8,07-11-2019,07:00:00,1011.31,24.6,25.8,0.00,0.00,31.00,000,0.0,1008.52,8.00,93
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.5,07-11-2019,07:00:00,1011.22,22.7,25.2,0.00,0.00,27.54,360,3.7,1010.43,10.00,86
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.9,07-11-2019,07:00:00,1011.78,23.4,25.0,0.00,0.00,28.74,080,7.4,1011.31,7.00,91
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.3,07-11-2019,07:00:00,1011.36,23.6,24.6,0.00,0.00,29.07,290,3.7,1010.67,10.00,94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.0,07-11-2019,07:00:00,1011.49,22.2,23.0,0.00,0.00,26.83,000,0.0,1009.93,9.00,96
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.7,07-11-2019,07:00:00,1012.47,23.0,24.9,0.00,0.00,28.04,000,0.0,1011.54,10.00,89
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.9,07-11-2019,07:00:00,1011.57,24.5,26.8,0.00,0.00,30.72,000,0.0,1010.87,10.00,87
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.0,07-11-2019,07:00:00,1011.89,22.9,23.2,8.40,0.00,27.91,000,0.0,1011.08,8.00,98
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.4,07-11-2019,07:00:00,1011.45,24.0,25.5,0.00,0.00,29.91,000,0.0,1010.81,10.00,92
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.4,07-11-2019,07:00:00,1011.84,24.3,25.0,0.00,0.00,30.32,000,0.0,1011.43,10.00,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.7,07-11-2019,07:00:00,1013.56,23.4,24.0,37.70,0.00,28.78,000,0.0,1009.28,6.00,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,07-11-2019,07:00:00,1011.86,24.0,24.3,0.00,0.00,29.84,000,0.0,1010.23,10.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.3,07-11-2019,07:00:00,1011.85,23.8,24.5,0.40,0.00,29.41,000,0.0,1008.33,8.00,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.8,07-11-2019,07:00:00,1011.98,25.1,25.5,4.50,0.00,31.79,000,0.0,1010.62,8.00,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.4,07-11-2019,07:00:00,1010.77,23.6,24.8,0.00,0.00,29.16,000,0.0,1009.87,10.00,93
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.2,07-11-2019,07:00:00,1011.85,23.8,24.5,0.00,0.00,29.41,000,0.0,1008.24,10.00,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.0,07-11-2019,07:00:00,1011.25,24.7,26.4,0.00,0.00,31.05,000,0.0,1010.81,10.00,90
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,22.7,07-11-2019,07:00:00,1010.67,24.8,25.4,6.40,0.00,31.33,000,0.0,1009.67,10.00,97
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.5,07-11-2019,07:00:00,1011.48,24.5,26.2,0.00,0.00,30.67,070,5.6,1010.66,10.00,90
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.1,07-11-2019,07:00:00,1011.74,24.3,25.5,0.00,0.00,30.44,000,0.0,1009.91,8.00,93
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,22.9,07-11-2019,07:00:00,1011.90,24.3,25.0,32.20,1.20,30.32,180,3.7,1011.14,10.00,96
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.7,07-11-2019,07:00:00,1011.87,24.6,25.2,5.00,0.80,30.96,290,7.4,1007.83,4.00,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.0,07-11-2019,07:00:00,1012.21,25.1,26.5,0.00,0.00,31.79,000,0.0,1011.52,10.00,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,07-11-2019,07:00:00,1011.32,24.8,25.4,5.40,1.00,31.33,000,0.0,1010.19,9.00,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.8,07-11-2019,07:00:00,1011.81,24.8,25.2,0.00,0.00,31.22,000,0.0,1008.87,10.00,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.5,07-11-2019,07:00:00,1011.30,24.4,25.4,0.00,0.00,30.52,000,0.0,1010.60,7.00,94
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.4,07-11-2019,07:00:00,1012.21,23.5,24.4,3.10,0.00,28.97,220,9.3,1008.03,4.00,95
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,.0,07-11-2019,07:00:00,1013.10,24.7,25.7,2.10,1.00,31.08,000,0.0,1012.50,7.00,94
