WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,MeanSeaLevelPressure,DewPoint,AirTemperature,StationPressure,LandVisibility,VaporPressure,Rainfall24Hr,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,86,07-17-2019,22:00:00,0.00,1003.55,24.8,27.4,972.88,10.00,31.33,0.40,3.7,330
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,85,07-17-2019,22:00:00,0.00,1001.51,18.6,21.2,842.30,8.00,21.48,1.60,7.4,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,61,07-17-2019,22:00:00,0.00,1001.10,22.1,30.5,958.42,12.00,26.60,0.00,5.6,250
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,66,07-17-2019,22:00:00,0.00,1000.98,22.5,29.4,956.28,15.00,27.24,0.00,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,78,07-17-2019,22:00:00,0.00,1001.82,24.7,29.0,964.78,8.00,31.13,0.00,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,74,07-17-2019,22:00:00,0.00,1002.28,23.9,29.1,957.92,8.00,29.65,0.00,5.6,160
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,82,07-17-2019,22:00:00,0.00,1003.17,26.0,29.4,976.83,10.00,33.66,0.01,0.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,63,07-17-2019,22:00:00,0.00,1002.89,22.5,30.4,981.51,12.00,27.22,0.01,5.6,210
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,86,07-17-2019,22:00:00,0.00,1005.42,24.3,26.8,981.40,8.00,30.45,0.00,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,58,07-17-2019,22:00:00,0.00,1002.38,22.1,31.2,968.60,10.00,26.56,0.00,0.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,58,07-17-2019,22:00:00,0.00,1002.65,22.3,31.5,975.70,10.00,26.86,0.00,0.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,57,07-17-2019,22:00:00,0.00,1001.39,22.5,32.0,968.65,10.00,27.27,0.00,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,65,07-17-2019,22:00:00,0.00,1002.39,23.2,30.5,984.21,10.00,28.50,0.00,3.7,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,72,07-17-2019,22:00:00,0.00,1002.51,24.9,30.6,980.10,10.00,31.51,0.00,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,85,07-17-2019,22:00:00,0.00,1002.81,25.0,27.9,973.20,10.00,31.75,0.00,0.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,76,07-17-2019,22:00:00,0.00,1002.49,24.6,29.2,967.50,8.00,30.96,0.00,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,85,07-17-2019,22:00:00,0.00,1002.88,25.1,28.0,973.45,12.00,31.95,3.80,0.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,69,07-17-2019,22:00:00,0.00,1002.51,25.1,31.5,995.35,10.00,31.93,0.00,0.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,77,07-17-2019,22:00:00,0.00,1002.53,26.8,31.2,983.00,10.00,35.15,1.80,0.0,000
48353,LOEI,เลย,เลย,17.45000,101.73333,82,07-17-2019,22:00:00,0.00,1002.84,25.3,28.7,974.50,12.00,32.22,11.60,0.0,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,69,07-17-2019,22:00:00,0.00,1002.75,24.6,30.9,982.93,12.00,30.98,0.00,0.0,000
