WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,RelativeHumidity,Rainfall24Hr,LandVisibility,DewPoint,WindDirection,MeanSeaLevelPressure,AirTemperature,StationPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.88,09-30-2019,10:00:00,0.0,78,0.00,7.00,22.9,000,1012.98,27.0,981.99,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.58,09-30-2019,10:00:00,9.3,92,0.00,8.00,17.2,200,1014.21,18.5,851.64,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.89,09-30-2019,10:00:00,3.7,68,0.00,7.00,21.0,350,1012.71,27.5,969.11,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.82,09-30-2019,10:00:00,0.0,71,0.00,15.00,21.6,000,1012.89,27.3,967.35,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.19,09-30-2019,10:00:00,0.0,77,0.00,10.00,23.6,000,1013.74,28.0,976.14,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.44,09-30-2019,10:00:00,0.0,71,0.00,8.00,22.6,000,1012.77,28.5,967.86,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.32,09-30-2019,10:00:00,3.7,72,0.00,8.00,22.5,160,1013.36,28.0,986.64,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.98,09-30-2019,10:00:00,0.0,69,0.00,5.00,24.1,000,1012.19,30.4,990.61,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.82,09-30-2019,10:00:00,0.0,83,0.00,8.00,23.4,000,1013.31,26.5,989.08,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.57,09-30-2019,10:00:00,3.7,62,0.00,10.00,21.5,360,1012.49,29.5,978.18,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.50,09-30-2019,10:00:00,0.0,69,0.00,8.00,23.2,000,1012.25,29.5,984.87,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.70,09-30-2019,10:00:00,0.0,73,0.00,11.00,23.4,000,1012.56,28.6,979.09,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.72,09-30-2019,10:00:00,0.0,75,0.00,3.00,24.5,000,1011.94,29.5,993.53,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.13,09-30-2019,10:00:00,0.0,67,0.00,10.00,21.8,000,1012.46,28.5,989.67,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.02,09-30-2019,10:00:00,0.0,75,0.00,12.00,23.0,000,1013.77,27.8,983.83,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.13,09-30-2019,10:00:00,0.0,78,0.00,7.00,24.7,000,1012.35,29.0,976.99,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.05,09-30-2019,10:00:00,0.0,77,0.00,4.00,24.7,000,1011.67,29.1,982.09,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.89,09-30-2019,10:00:00,0.0,68,0.00,8.00,24.0,000,1011.71,30.5,1004.45,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.68,09-30-2019,10:00:00,5.6,63,0.00,7.00,22.8,120,1011.99,30.5,992.24,0.00
