WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,WindDirection,LandVisibility,StationPressure,AirTemperature,WindSpeed,Rainfall,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,19.40,07-22-2019,22:00:00,23.8,000,10.00,985.49,24.8,0.0,0.20,29.42,94,1007.36
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,20.90,07-22-2019,22:00:00,24.1,000,10.00,986.86,24.7,0.0,0.01,30.03,97,1006.47
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,43.70,07-22-2019,22:00:00,23.7,000,10.00,991.28,24.7,0.0,0.10,29.25,94,1008.16
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,41.70,07-22-2019,22:00:00,22.9,000,10.00,990.44,23.8,0.0,0.20,27.92,95,1008.04
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-22-2019,22:00:00,23.4,000,11.00,979.93,28.5,0.0,0.00,28.78,74,1005.52
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-22-2019,22:00:00,26.0,210,10.00,1000.37,29.0,5.6,0.00,33.70,84,1006.12
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.20,07-22-2019,22:00:00,25.7,000,12.00,1000.48,28.5,0.0,0.00,32.96,85,1006.64
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-22-2019,22:00:00,22.1,000,9.00,991.50,28.0,0.0,0.00,26.54,70,1007.90
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.30,07-22-2019,22:00:00,23.8,000,10.00,983.97,26.1,0.0,0.00,29.41,87,1006.33
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.01,07-22-2019,22:00:00,23.4,280,10.00,993.25,28.8,7.4,0.00,28.81,73,1007.56
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.20,07-22-2019,22:00:00,22.0,000,10.00,990.81,28.8,0.0,0.00,26.40,67,1007.10
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-22-2019,22:00:00,24.7,000,10.00,1001.30,28.4,0.0,0.00,31.06,80,1006.50
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.40,07-22-2019,22:00:00,25.1,000,10.00,992.39,28.5,0.0,0.00,31.82,82,1005.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,07-22-2019,22:00:00,25.3,000,10.00,997.47,28.4,0.0,0.00,32.19,83,1006.75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-22-2019,22:00:00,23.2,000,10.00,984.75,29.5,0.0,0.00,28.50,69,1006.24
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,4.60,07-22-2019,22:00:00,24.4,000,10.00,989.72,28.0,0.0,0.00,30.56,81,1007.16
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.10,07-22-2019,22:00:00,24.3,210,10.00,991.04,25.0,9.3,0.60,30.32,96,1006.98
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,07-22-2019,22:00:00,24.9,000,8.00,986.95,28.8,0.0,0.00,31.57,80,1005.70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.60,07-22-2019,22:00:00,23.2,000,7.00,958.12,25.0,0.0,0.00,28.48,90,1009.58
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.01,07-22-2019,22:00:00,25.2,000,8.00,1002.41,29.0,0.0,0.00,31.98,80,1006.34
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.30,07-22-2019,22:00:00,21.3,210,.80,913.11,21.9,11.1,0.00,25.30,96,1008.19
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,16.60,07-22-2019,22:00:00,25.7,000,6.00,990.91,27.4,0.0,0.00,33.01,90,1006.87
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-22-2019,22:00:00,26.8,000,10.00,1002.90,29.7,0.0,0.00,35.18,84,1006.90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-22-2019,22:00:00,24.7,000,8.00,997.10,29.0,0.0,0.00,31.13,78,1007.71
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,07-22-2019,22:00:00,24.7,180,8.00,1005.21,29.3,3.7,0.00,31.16,76,1007.12
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-22-2019,22:00:00,23.0,000,10.00,985.97,30.1,0.0,0.00,28.01,66,1006.61
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,12.90,07-22-2019,22:00:00,23.6,180,10.00,989.69,26.5,11.1,0.00,29.08,84,1007.39
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,15.60,07-22-2019,22:00:00,24.6,000,10.00,990.76,26.6,0.0,0.00,30.89,89,1006.94
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.80,07-22-2019,22:00:00,22.7,000,9.00,994.52,23.9,0.0,13.80,27.59,93,1008.72
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.00,07-22-2019,22:00:00,22.4,000,5.00,994.92,23.5,0.0,5.40,27.16,94,1009.97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.50,07-22-2019,22:00:00,24.8,160,6.00,993.72,25.5,3.7,0.80,31.25,96,1008.48
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-22-2019,22:00:00,26.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,1003.52,31.1,0.0,0.00,34.03,75,1006.50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.01,07-22-2019,22:00:00,24.1,000,7.00,998.62,30.0,0.0,0.00,30.03,71,1006.49
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-22-2019,22:00:00,27.1,210,6.00,1006.01,30.7,5.6,0.00,35.86,81,1007.11
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,4.00,07-22-2019,22:00:00,22.9,000,8.00,993.14,24.8,0.0,0.00,27.87,89,1007.94
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,07-22-2019,22:00:00,21.0,190,.10,873.54,21.2,9.3,0.00,24.92,99,1007.94
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-22-2019,22:00:00,25.8,000,10.00,1000.97,29.9,0.0,0.00,33.25,79,1006.79
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-22-2019,22:00:00,27.8,160,9.00,1006.47,30.8,7.4,0.00,37.31,84,1007.26
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-22-2019,22:00:00,25.8,210,10.00,1006.77,30.0,14.8,0.00,33.17,78,1007.22
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.80,07-22-2019,22:00:00,24.3,000,6.00,997.20,28.6,0.0,0.00,30.34,78,1008.46
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-22-2019,22:00:00,26.7,000,10.00,1006.51,29.6,0.0,0.00,34.97,84,1007.52
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-22-2019,22:00:00,25.8,170,8.00,1005.51,30.7,7.4,0.00,33.17,75,1007.31
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-22-2019,22:00:00,25.9,000,7.00,1006.52,29.3,0.0,0.00,33.45,82,1007.28
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-22-2019,22:00:00,25.6,200,10.00,1007.19,29.7,16.7,0.00,32.83,79,1007.89
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-22-2019,22:00:00,25.6,000,7.00,1006.86,30.4,0.0,0.00,32.84,76,1007.55
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,07-22-2019,22:00:00,24.9,000,10.00,986.01,30.2,0.0,0.00,31.56,74,1006.93
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,51.30,07-22-2019,22:00:00,23.3,000,6.00,990.83,23.6,0.0,51.30,28.60,98,1007.75
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.00,07-22-2019,22:00:00,23.3,000,3.00,991.31,24.0,0.0,28.80,28.53,96,1007.92
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-22-2019,22:00:00,23.5,000,10.00,985.42,29.0,0.0,0.00,28.91,72,1007.13
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-22-2019,22:00:00,22.0,120,10.00,964.39,28.4,3.7,0.00,26.47,68,1007.45
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.40,07-22-2019,22:00:00,23.5,000,10.00,987.24,25.7,0.0,0.40,28.95,88,1007.91
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.40,07-22-2019,22:00:00,24.0,170,8.00,988.01,24.6,11.1,0.00,29.85,97,1009.03
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-22-2019,22:00:00,26.5,230,10.00,1007.19,30.0,18.5,0.00,34.64,82,1007.62
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-22-2019,22:00:00,25.2,000,6.00,1005.75,27.9,0.0,0.00,32.03,85,1007.16
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-22-2019,22:00:00,24.8,000,7.00,1003.10,27.0,0.0,0.00,31.38,88,1008.04
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-22-2019,22:00:00,22.2,000,12.00,1004.43,31.0,0.0,0.00,26.73,60,1007.68
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,07-22-2019,22:00:00,26.5,000,10.00,1006.58,29.4,0.0,0.00,34.54,84,1007.68
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-22-2019,22:00:00,25.8,210,10.00,1007.47,29.9,9.3,0.00,33.25,79,1007.77
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-22-2019,22:00:00,25.9,000,10.00,1007.17,29.8,0.0,0.00,33.33,79,1007.66
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-22-2019,22:00:00,26.1,190,10.00,1006.09,29.9,11.1,0.00,33.83,80,1007.48
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-22-2019,22:00:00,25.2,000,10.00,1000.94,27.2,0.0,0.00,32.05,89,1008.95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-22-2019,22:00:00,26.2,000,10.00,1007.02,30.0,0.0,0.00,34.05,80,1007.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-22-2019,22:00:00,25.4,000,10.00,1004.56,29.2,0.0,0.00,32.38,80,1007.67
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-22-2019,22:00:00,25.6,000,10.00,1000.81,28.6,0.0,0.00,32.88,84,1007.72
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-22-2019,22:00:00,23.3,000,7.00,1002.65,27.5,0.0,0.00,28.53,78,1008.25
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-22-2019,22:00:00,25.9,000,10.00,1007.11,28.0,0.0,0.00,33.37,88,1008.37
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-22-2019,22:00:00,27.3,000,11.00,1007.44,30.1,0.0,0.00,36.36,85,1007.87
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-22-2019,22:00:00,23.4,000,8.00,996.27,26.8,0.0,0.00,28.84,82,1008.55
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-22-2019,22:00:00,25.5,000,10.00,1007.10,29.0,0.0,0.00,32.55,81,1007.81
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,07-22-2019,22:00:00,24.9,170,10.00,1005.67,28.8,7.4,0.00,31.57,80,1008.09
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,07-22-2019,22:00:00,25.2,280,10.00,1007.54,29.5,5.6,0.00,32.13,78,1008.06
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-22-2019,22:00:00,25.2,200,10.00,1003.01,28.9,1.9,0.00,32.06,81,1008.14
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,4.00,07-22-2019,22:00:00,26.1,000,7.00,1008.22,28.8,0.0,0.00,33.86,86,1008.63
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.90,07-22-2019,22:00:00,26.1,000,8.00,1005.96,27.5,0.0,0.00,33.78,92,1008.73
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-22-2019,22:00:00,24.4,000,10.00,1007.84,28.0,0.0,0.00,30.56,81,1008.63
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10.60,07-22-2019,22:00:00,24.8,100,7.00,1008.51,26.0,5.6,0.00,31.38,93,1008.97
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-22-2019,22:00:00,22.9,000,8.00,1008.31,28.0,0.0,0.00,27.85,74,1008.99
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-22-2019,22:00:00,25.1,000,8.00,1007.57,26.8,0.0,0.00,31.82,90,1009.11
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-22-2019,22:00:00,23.8,000,10.00,1008.79,26.0,0.0,0.00,29.50,88,1009.71
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-22-2019,22:00:00,25.6,000,10.00,1008.69,28.0,0.0,0.00,32.80,87,1009.37
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-22-2019,22:00:00,22.7,000,9.00,1008.60,26.5,0.0,0.00,27.51,79,1009.40
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-22-2019,22:00:00,25.3,000,10.00,1008.47,27.2,0.0,0.00,32.33,90,1009.11
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-22-2019,22:00:00,25.4,230,10.00,1008.98,27.3,7.4,0.00,32.53,90,1009.39
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-22-2019,22:00:00,25.4,000,6.00,1006.84,27.3,0.0,0.00,32.53,90,1011.06
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-22-2019,22:00:00,25.0,000,8.00,1007.79,25.9,0.0,0.00,31.74,95,1009.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-22-2019,22:00:00,25.9,000,8.00,1005.94,27.5,0.0,0.00,33.50,91,1009.42
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-22-2019,22:00:00,23.0,160,10.00,1008.39,26.2,3.7,0.00,28.01,82,1009.75
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.20,07-22-2019,22:00:00,24.4,000,10.00,1008.62,26.4,0.0,0.00,30.51,89,1009.51
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-22-2019,22:00:00,22.5,000,10.00,1005.89,25.6,0.0,0.00,27.21,83,1009.47
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-22-2019,22:00:00,24.9,000,10.00,1008.88,28.2,0.0,0.00,31.51,82,1009.31
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-22-2019,22:00:00,24.0,000,10.00,1008.15,26.5,0.0,0.00,29.89,86,1009.14
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-22-2019,22:00:00,23.9,270,10.00,1008.86,26.2,5.6,0.00,29.60,87,1009.68
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.60,07-22-2019,22:00:00,23.6,000,10.00,1008.05,24.8,0.0,0.00,29.16,93,1009.88
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-22-2019,22:00:00,22.8,000,10.00,1009.23,25.8,0.0,0.00,27.82,84,1009.98
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,2.40,07-22-2019,22:00:00,23.2,250,10.00,1006.42,24.5,3.7,0.00,28.37,92,1010.46
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-22-2019,22:00:00,24.1,000,10.00,1009.90,25.7,0.0,0.00,30.01,91,1010.59
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,5.00,07-22-2019,22:00:00,23.4,000,10.00,1008.94,25.3,0.0,0.00,28.75,89,1010.07
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.01,07-22-2019,22:00:00,23.8,000,10.00,1007.51,25.1,0.0,0.00,29.44,92,1010.46
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-22-2019,22:00:00,24.4,000,7.00,1008.69,25.4,0.0,0.00,30.52,94,1009.38
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.20,07-22-2019,22:00:00,23.2,000,7.00,1006.48,25.6,0.0,0.20,28.51,87,1010.63
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,2.20,07-22-2019,22:00:00,21.7,000,10.00,1009.66,26.3,0.0,0.00,25.87,76,1010.25
