WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,WindDirection,LandVisibility,StationPressure,AirTemperature,WindSpeed,Rainfall,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-22-2019,22:00:00,23.3,080,12.00,976.10,27.0,1.9,0.00,28.67,80,1006.91
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,3.10,07-22-2019,22:00:00,17.8,270,8.00,844.57,19.6,7.4,0.00,20.38,89,1005.14
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,41.50,07-22-2019,22:00:00,24.0,000,10.00,961.79,25.6,0.0,1.50,29.82,91,1005.34
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.50,07-22-2019,22:00:00,23.9,000,12.00,960.31,25.8,0.0,0.20,29.66,89,1005.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.40,07-22-2019,22:00:00,23.6,000,8.00,969.23,24.8,0.0,0.01,29.16,93,1006.98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.50,07-22-2019,22:00:00,21.6,180,9.00,961.20,29.0,5.6,0.00,25.71,64,1005.73
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.80,07-22-2019,22:00:00,25.6,000,10.00,980.18,28.6,0.0,0.00,32.88,84,1006.67
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-22-2019,22:00:00,20.6,220,15.00,985.33,29.2,3.7,0.00,24.26,60,1006.88
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.30,07-22-2019,22:00:00,23.8,000,8.00,984.17,26.0,0.0,0.00,29.50,88,1008.32
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-22-2019,22:00:00,19.3,000,10.00,971.97,30.8,0.0,0.00,22.44,51,1005.91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-22-2019,22:00:00,23.9,000,10.00,979.12,28.5,0.0,0.00,29.60,76,1006.43
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-22-2019,22:00:00,22.4,000,10.00,972.93,29.0,0.0,0.00,27.03,68,1006.15
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.01,07-22-2019,22:00:00,22.7,300,12.00,987.92,29.0,3.7,0.00,27.56,69,1006.26
48331,NAN,น่าน,น่าน,18.77972,100.77778,2.10,07-22-2019,22:00:00,23.7,000,10.00,983.65,29.2,0.0,0.00,29.30,72,1006.25
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-22-2019,22:00:00,23.7,000,10.00,976.68,28.8,0.0,0.00,29.35,74,1006.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.01,07-22-2019,22:00:00,21.3,000,6.00,971.13,29.5,0.0,0.00,25.30,61,1006.22
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-22-2019,22:00:00,22.6,000,12.00,976.65,27.0,0.0,0.00,27.36,77,1006.27
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.50,07-22-2019,22:00:00,24.2,000,10.00,999.75,29.5,0.0,0.00,30.16,73,1006.99
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-22-2019,22:00:00,26.0,000,10.00,986.12,29.5,0.0,0.00,33.58,81,1005.81
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-22-2019,22:00:00,23.5,000,14.00,977.99,28.4,0.0,0.00,28.86,75,1006.46
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-22-2019,22:00:00,24.8,160,12.00,986.06,28.7,1.9,0.00,31.38,80,1006.09
