WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,Rainfall,VaporPressure,StationPressure,Rainfall24Hr,MinimumTemperature,DewPoint,AirTemperature,MeanSeaLevelPressure,WindDirection,LandVisibility
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,08-29-2019,07:00:00,95,0.40,31.74,1003.82,2.40,25.3,25.0,25.9,1005.65,000,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-29-2019,07:00:00,87,0.00,29.41,1004.64,0.70,25.4,23.8,26.1,1005.41,000,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,08-29-2019,07:00:00,79,0.00,27.96,1005.18,0.00,25.7,22.9,26.9,1005.89,250,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,08-29-2019,07:00:00,91,0.00,31.13,1004.97,33.00,25.6,24.7,26.3,1005.67,000,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.7,08-29-2019,07:00:00,96,0.90,31.25,984.08,6.00,24.6,24.8,25.5,1005.30,270,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-29-2019,07:00:00,97,0.00,32.37,988.11,11.70,24.2,25.4,25.8,1004.85,000,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,08-29-2019,07:00:00,97,0.00,32.09,989.04,10.00,24.3,25.2,25.8,1005.51,000,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-29-2019,07:00:00,96,0.00,31.25,983.07,3.60,25.0,24.8,25.5,1004.99,000,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,08-29-2019,07:00:00,95,3.30,27.24,962.55,11.50,23.4,22.5,23.4,1006.26,200,4.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,08-29-2019,07:00:00,99,0.00,31.96,984.24,39.40,24.5,25.1,25.3,1004.87,210,6.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.0,08-29-2019,07:00:00,100,0.00,30.36,986.90,14.80,24.0,24.3,24.3,1007.92,000,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,3.7,08-29-2019,07:00:00,93,0.00,31.00,1005.40,13.50,25.1,24.6,25.8,1005.84,280,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-29-2019,07:00:00,97,0.00,31.22,1003.99,13.10,24.7,24.8,25.2,1005.41,000,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-29-2019,07:00:00,97,0.00,30.03,1000.49,6.50,24.2,24.1,24.7,1005.45,000,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,7.4,08-29-2019,07:00:00,77,0.00,27.44,1002.57,0.01,23.5,22.6,26.9,1005.86,240,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,08-29-2019,07:00:00,87,0.00,28.87,1004.45,0.01,25.4,23.5,25.8,1005.56,270,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,08-29-2019,07:00:00,80,0.00,28.67,1005.86,0.00,26.4,23.3,27.0,1006.16,270,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,08-29-2019,07:00:00,82,0.00,29.39,1005.35,0.60,26.5,23.8,27.1,1006.04,240,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,08-29-2019,07:00:00,81,0.00,28.76,1005.16,1.00,26.3,23.4,26.9,1005.65,290,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.3,08-29-2019,07:00:00,80,0.00,28.59,1004.54,0.80,26.1,23.3,27.1,1005.95,270,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,9.3,08-29-2019,07:00:00,92,0.70,34.81,1004.16,5.90,26.1,26.6,28.0,1005.83,260,10.00
