WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,VaporPressure,DewPoint,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.01,07-22-2019,13:00:00,976.32,28.29,23.1,0.00,31.1,63,1006.72,140,3.7,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,13.60,07-22-2019,13:00:00,844.47,22.28,19.2,2.70,20.5,92,1004.50,280,18.5,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,39.70,07-22-2019,13:00:00,962.42,31.06,24.7,0.00,30.8,70,1005.24,140,11.1,15.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.30,07-22-2019,13:00:00,960.44,27.68,22.8,0.00,31.5,60,1005.02,000,0.0,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,15.40,07-22-2019,13:00:00,969.22,29.76,24.0,0.00,31.0,66,1006.18,000,0.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,4.20,07-22-2019,13:00:00,961.54,27.71,22.8,0.00,31.8,59,1005.66,150,13.0,11.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.70,07-22-2019,13:00:00,980.67,30.36,24.3,0.00,32.0,64,1006.88,180,7.4,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-22-2019,13:00:00,985.28,23.62,20.2,0.00,33.8,45,1006.51,220,7.4,16.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.40,07-22-2019,13:00:00,984.67,28.91,23.5,0.00,30.0,68,1008.51,000,0.0,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,2.50,07-22-2019,13:00:00,972.40,25.66,21.5,0.00,32.3,53,1006.18,210,3.7,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.00,07-22-2019,13:00:00,979.47,24.37,20.7,0.00,31.6,52,1006.51,000,0.0,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-22-2019,13:00:00,973.16,23.74,20.3,0.00,33.0,47,1005.95,240,13.0,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.01,07-22-2019,13:00:00,988.45,27.97,22.9,0.00,32.5,57,1006.58,260,13.0,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,3.70,07-22-2019,13:00:00,984.41,30.98,24.6,0.00,31.6,67,1006.84,000,0.0,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1.00,07-22-2019,13:00:00,977.34,28.48,23.2,0.00,31.2,63,1006.74,000,0.0,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.80,07-22-2019,13:00:00,970.96,25.49,21.4,0.00,32.5,52,1005.70,000,0.0,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1.70,07-22-2019,13:00:00,976.54,31.76,25.0,0.00,31.0,71,1005.77,170,7.4,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.50,07-22-2019,13:00:00,1000.47,28.25,23.1,0.00,32.5,58,1007.65,260,7.4,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-22-2019,13:00:00,985.95,33.66,26.0,0.00,33.0,67,1005.42,090,5.6,15.00
48353,LOEI,เลย,เลย,17.45000,101.73333,11.00,07-22-2019,13:00:00,977.72,32.49,25.4,0.00,32.6,66,1005.78,250,13.0,17.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,17.70,07-22-2019,13:00:00,986.23,32.34,25.4,0.00,31.0,72,1006.10,230,9.3,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.30,07-22-2019,13:00:00,984.81,32.46,25.4,0.00,29.1,81,1006.36,140,3.7,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.60,07-22-2019,13:00:00,986.27,31.29,24.8,0.00,28.8,79,1005.60,200,5.6,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.30,07-22-2019,13:00:00,990.15,31.97,25.2,0.00,30.4,74,1006.70,100,5.6,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,6.40,07-22-2019,13:00:00,989.97,29.93,24.1,4.00,27.1,84,1007.37,310,5.6,7.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.80,07-22-2019,13:00:00,979.81,27.93,22.9,0.00,30.2,65,1005.26,260,5.6,15.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,6.90,07-22-2019,13:00:00,1001.81,30.49,24.4,0.00,31.5,66,1007.52,000,0.0,10.00
