WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,DewPoint,MaximumTemperature,WindDirection,VaporPressure,AirTemperature,WindSpeed,MeanSeaLevelPressure
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,08-24-2019,19:00:00,962.98,0.00,0.00,86,24.3,29.4,230,30.45,26.8,18.5,1006.21
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,2.00,08-24-2019,19:00:00,985.09,11.40,6.60,92,24.6,30.9,120,30.84,26.0,11.1,1005.69
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,08-24-2019,19:00:00,985.66,7.80,0.00,100,26.1,27.1,180,33.80,26.1,9.3,1006.52
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-24-2019,19:00:00,1006.25,0.00,0.00,65,22.3,32.1,290,26.89,29.5,13.0,1006.68
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,08-24-2019,19:00:00,1004.37,10.30,0.30,86,24.2,32.6,240,30.18,26.8,3.7,1005.79
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-24-2019,19:00:00,1001.08,8.10,0.00,88,25.9,30.4,000,33.37,28.0,0.0,1005.99
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-24-2019,19:00:00,1003.16,0.01,0.00,70,23.6,32.5,000,29.05,29.5,0.0,1006.42
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-24-2019,19:00:00,1005.20,0.01,0.01,74,24.6,32.7,000,30.83,29.7,0.0,1006.30
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,08-24-2019,19:00:00,1006.04,1.10,1.10,88,26.4,33.5,000,34.40,28.5,0.0,1006.34
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-24-2019,19:00:00,1005.69,0.00,0.00,79,25.1,33.7,000,31.89,29.1,0.0,1006.38
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-24-2019,19:00:00,1006.00,0.00,0.00,78,24.7,34.0,000,31.13,29.0,0.0,1006.48
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-24-2019,19:00:00,1004.84,3.60,3.60,90,25.5,32.9,210,32.61,27.2,11.1,1006.24
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,12.00,08-24-2019,19:00:00,1004.75,0.00,0.00,86,26.8,30.1,240,35.21,29.3,20.4,1006.41
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-24-2019,19:00:00,1000.25,4.20,0.20,80,24.8,33.3,310,31.38,28.7,5.6,1008.21
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-24-2019,19:00:00,1006.23,5.60,0.00,67,23.9,34.0,240,29.73,30.7,7.4,1006.51
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-24-2019,19:00:00,1003.37,0.00,0.00,80,25.2,32.5,300,31.98,29.0,5.6,1006.48
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-24-2019,19:00:00,999.80,0.20,0.00,80,25.2,32.1,240,31.98,29.0,5.6,1006.69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,08-24-2019,19:00:00,1000.40,1.70,0.00,78,24.2,31.7,220,30.15,28.5,3.7,1005.96
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,08-24-2019,19:00:00,997.71,0.00,0.00,77,24.8,33.1,240,31.36,29.4,11.1,1006.94
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,08-24-2019,19:00:00,1006.19,0.01,0.00,73,23.2,33.1,270,28.43,28.6,14.8,1007.44
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-24-2019,19:00:00,1006.13,0.01,0.00,71,23.4,33.4,290,28.75,29.2,14.8,1006.56
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,08-24-2019,19:00:00,994.61,0.00,0.00,67,21.3,32.1,260,25.24,28.0,7.4,1006.82
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-24-2019,19:00:00,1005.61,0.00,0.00,69,23.6,32.3,000,29.08,29.8,0.0,1006.31
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-24-2019,19:00:00,1005.67,1.30,0.00,77,24.8,34.3,230,31.25,29.2,14.8,1008.09
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,12.00,08-24-2019,19:00:00,1006.07,0.60,0.00,78,24.7,31.0,220,31.13,29.0,18.5,1006.58
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,08-24-2019,19:00:00,1001.32,0.40,0.00,75,23.9,33.7,200,29.71,28.7,3.7,1006.44
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-24-2019,19:00:00,1006.53,7.90,0.30,89,26.0,32.3,000,33.66,28.0,0.0,1006.94
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-24-2019,19:00:00,1004.09,11.90,0.20,92,25.1,31.0,000,31.79,26.5,0.0,1006.86
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-24-2019,19:00:00,1006.48,0.30,0.00,67,21.0,31.0,170,24.81,27.6,3.7,1007.27
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,08-24-2019,19:00:00,1006.70,62.60,0.00,86,25.4,29.2,230,32.52,28.0,3.7,1007.16
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-24-2019,19:00:00,1008.04,0.10,0.10,75,22.5,30.2,280,27.19,27.2,5.6,1008.72
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.00,08-24-2019,19:00:00,1006.73,1.00,0.00,83,23.4,30.8,210,28.74,26.6,1.9,1008.26
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,8.00,08-24-2019,19:00:00,1009.06,61.00,1.20,88,22.7,29.0,200,27.61,24.8,5.6,1009.99
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-24-2019,19:00:00,1007.30,0.20,0.00,65,23.5,34.0,000,28.89,30.7,0.0,1007.98
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-24-2019,19:00:00,1008.46,0.01,0.00,73,23.2,33.3,240,28.43,28.6,5.6,1009.25
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-24-2019,19:00:00,1007.35,0.40,0.00,77,23.0,35.2,000,28.08,27.4,0.0,1007.98
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-24-2019,19:00:00,1008.25,0.90,0.10,77,22.7,36.2,000,27.54,27.1,0.0,1008.65
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,08-24-2019,19:00:00,1006.03,0.20,0.00,70,22.1,33.8,220,26.54,28.0,9.3,1010.24
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,08-24-2019,19:00:00,1008.07,0.90,0.20,82,24.2,33.5,000,30.15,27.5,0.0,1009.69
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,08-24-2019,19:00:00,1006.84,1.20,0.00,88,24.3,32.5,000,30.43,26.5,0.0,1010.33
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,08-24-2019,19:00:00,1007.70,0.20,0.00,85,23.4,33.8,000,28.80,26.2,0.0,1009.06
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-24-2019,19:00:00,1008.81,8.90,4.00,94,25.0,30.8,240,31.65,26.0,9.3,1009.70
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-24-2019,19:00:00,1006.13,5.80,0.60,95,23.4,31.0,000,28.79,24.3,0.0,1009.73
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-24-2019,19:00:00,1008.98,4.20,0.00,75,23.3,31.5,270,28.68,28.3,5.6,1009.42
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.00,08-24-2019,19:00:00,1008.15,25.80,0.00,76,24.1,30.7,280,29.98,28.7,3.7,1009.14
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-24-2019,19:00:00,1008.78,18.60,5.20,90,23.9,30.1,000,29.74,25.7,0.0,1009.60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-24-2019,19:00:00,1008.22,2.80,0.01,92,24.1,31.2,200,30.09,25.6,7.4,1010.04
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-24-2019,19:00:00,1008.74,0.00,0.00,70,22.2,33.4,240,26.71,28.1,13.0,1009.49
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-24-2019,19:00:00,1006.26,2.60,0.00,80,23.3,32.4,240,28.59,27.1,5.6,1010.27
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-24-2019,19:00:00,1010.38,7.70,0.00,86,24.4,31.5,000,30.56,27.0,0.0,1011.07
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-24-2019,19:00:00,1008.46,3.00,0.00,79,23.0,32.6,000,28.14,27.0,0.0,1009.58
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-24-2019,19:00:00,1007.28,7.90,0.00,84,24.6,31.7,310,30.89,27.6,3.7,1010.20
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10.00,08-24-2019,19:00:00,1008.36,0.00,0.00,85,25.4,32.4,000,32.43,28.1,0.0,1009.05
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,08-24-2019,19:00:00,1005.97,0.00,0.00,77,22.7,32.7,000,27.54,27.1,0.0,1010.10
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,7.00,08-24-2019,19:00:00,1009.37,5.60,3.60,88,23.3,32.5,240,28.59,25.5,9.3,1009.96
