WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,WindDirection,MeanSeaLevelPressure,DewPoint,LandVisibility,Rainfall,VaporPressure,RelativeHumidity,StationPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.3,09-15-2019,01:00:00,0.0,000,1008.84,24.3,7.00,0.00,30.34,94,977.80,3.40
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.4,09-15-2019,01:00:00,11.1,270,1007.45,18.8,8.00,0.00,21.63,96,846.42,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.1,09-15-2019,01:00:00,5.6,180,1008.77,22.9,12.00,0.00,27.88,88,965.00,21.40
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.6,09-15-2019,01:00:00,5.6,140,1008.70,23.3,12.00,0.00,28.55,92,962.95,0.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.5,09-15-2019,01:00:00,0.0,000,1007.42,24.8,6.00,0.00,31.25,96,969.74,0.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.8,09-15-2019,01:00:00,0.0,000,1008.80,23.4,8.00,0.00,28.69,97,963.37,9.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.4,09-15-2019,01:00:00,0.0,000,1008.98,25.0,7.00,0.00,31.60,92,982.23,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.0,09-15-2019,01:00:00,0.0,000,1008.29,23.8,14.00,0.00,29.52,93,986.41,2.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.5,09-15-2019,01:00:00,0.0,000,1008.67,24.8,8.00,0.00,31.25,96,984.47,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.0,09-15-2019,01:00:00,0.0,000,1009.72,22.0,10.00,0.00,26.50,89,974.89,0.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.4,09-15-2019,01:00:00,0.0,000,1008.61,24.1,10.00,0.00,29.99,92,980.96,0.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.7,09-15-2019,01:00:00,0.0,000,1009.16,23.4,10.00,0.00,28.77,98,975.26,28.50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.5,09-15-2019,01:00:00,0.0,000,1007.83,23.4,12.00,0.00,28.85,88,989.25,0.30
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.4,09-15-2019,01:00:00,0.0,000,1008.28,25.0,10.00,0.00,31.60,92,985.43,0.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.7,09-15-2019,01:00:00,0.0,000,1007.29,25.0,6.00,0.00,31.63,90,977.44,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.4,09-15-2019,01:00:00,0.0,000,1008.49,24.5,8.00,0.00,30.79,95,972.85,6.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.5,09-15-2019,01:00:00,0.0,000,1007.50,23.0,12.00,0.00,28.17,97,977.50,0.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.5,09-15-2019,01:00:00,0.0,000,1007.67,24.3,10.00,0.00,30.43,88,1000.35,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.5,09-15-2019,01:00:00,9.3,360,1008.11,24.6,11.00,0.00,30.97,89,988.17,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.0,09-15-2019,01:00:00,3.7,220,1008.06,22.9,12.00,0.00,27.96,88,979.23,0.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.5,09-15-2019,01:00:00,0.0,000,1007.64,24.8,10.00,0.00,31.24,90,987.44,0.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.6,09-15-2019,01:00:00,0.0,000,1009.01,24.1,10.00,0.00,30.09,92,987.16,0.00
