WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,StationPressure,RelativeHumidity,DewPoint,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,6.00,07-25-2019,22:00:00,3.80,0.0,993.36,93,23.9,22.20,29.70,1009.95,25.1,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,07-25-2019,22:00:00,1.50,0.0,986.65,93,21.8,28.00,26.09,1009.31,23.0,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,07-25-2019,22:00:00,0.00,18.5,995.39,68,20.2,1.50,23.63,1009.84,26.6,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,07-25-2019,22:00:00,0.00,13.0,992.90,80,22.8,0.50,27.77,1009.35,26.5,230
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,07-25-2019,22:00:00,2.80,0.0,1004.17,93,23.3,3.10,28.63,1009.46,24.5,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,7.00,07-25-2019,22:00:00,6.50,0.0,995.04,96,24.8,9.70,31.25,1008.32,25.5,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,07-25-2019,22:00:00,0.50,0.0,999.57,86,23.7,0.90,29.33,1008.93,26.2,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,07-25-2019,22:00:00,0.01,0.0,986.45,97,24.4,7.70,30.58,1008.30,25.0,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,07-25-2019,22:00:00,0.00,0.0,991.15,96,24.8,2.90,31.25,1008.76,25.5,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,07-25-2019,22:00:00,0.20,5.6,992.45,91,24.0,2.30,29.82,1008.37,25.6,160
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,07-25-2019,22:00:00,0.01,0.0,988.49,100,25.2,7.70,32.04,1007.49,25.2,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,07-25-2019,22:00:00,2.00,0.0,959.92,91,21.5,8.90,25.60,1011.84,23.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,4.00,07-25-2019,22:00:00,26.80,9.3,1005.61,97,24.3,26.80,30.40,1009.61,24.9,080
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,3.00,07-25-2019,22:00:00,0.50,11.1,913.93,98,18.9,19.00,21.79,1010.01,19.2,250
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,6.00,07-25-2019,22:00:00,0.01,0.0,992.32,95,24.3,13.10,30.42,1008.43,25.2,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,6.00,07-25-2019,22:00:00,0.90,3.7,1005.59,96,25.6,9.20,32.79,1009.65,26.3,350
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,07-25-2019,22:00:00,0.60,0.0,999.65,93,24.6,0.70,30.92,1010.40,25.9,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,07-25-2019,22:00:00,0.00,0.0,1007.81,77,23.0,0.00,28.08,1009.75,27.4,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,07-25-2019,22:00:00,0.01,24.1,989.06,73,22.2,0.01,26.77,1009.95,27.4,270
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,07-25-2019,22:00:00,0.20,0.0,990.96,94,23.5,17.00,28.89,1008.80,24.5,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,07-25-2019,22:00:00,0.00,0.0,991.98,93,23.5,13.40,28.98,1008.28,24.7,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.00,07-25-2019,22:00:00,0.50,5.6,995.57,82,23.9,37.80,29.58,1009.63,27.2,220
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,8.00,07-25-2019,22:00:00,0.00,0.0,995.34,89,24.1,10.40,30.03,1010.27,26.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.00,07-25-2019,22:00:00,0.50,0.0,996.00,89,24.2,4.60,30.22,1010.77,26.1,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.00,07-25-2019,22:00:00,0.60,0.0,1006.49,93,25.3,0.60,32.15,1009.52,26.4,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,07-25-2019,22:00:00,6.40,0.0,1002.01,92,23.9,13.30,29.62,1010.03,25.2,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,07-25-2019,22:00:00,0.00,5.6,1008.69,86,24.1,1.90,29.99,1009.81,26.7,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,07-25-2019,22:00:00,20.10,0.0,994.56,94,24.2,27.00,30.15,1009.37,25.2,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,07-25-2019,22:00:00,9.00,7.4,875.35,98,18.0,17.80,20.58,1011.44,18.3,210
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,07-25-2019,22:00:00,0.80,7.4,1004.24,86,24.3,0.80,30.45,1010.14,26.8,210
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,07-25-2019,22:00:00,0.00,0.0,1009.51,87,25.6,0.10,32.80,1010.32,28.0,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,07-25-2019,22:00:00,0.60,0.0,1009.79,92,25.1,0.90,31.79,1010.23,26.5,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,07-25-2019,22:00:00,0.00,0.0,999.47,92,23.2,7.40,28.47,1010.90,24.7,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,07-25-2019,22:00:00,0.40,0.0,1009.14,80,22.7,0.40,27.59,1010.16,26.4,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,07-25-2019,22:00:00,0.00,7.4,1007.16,67,21.1,0.50,25.07,1008.98,27.9,200
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.00,07-25-2019,22:00:00,0.10,0.0,1009.14,78,21.7,0.10,25.95,1009.91,25.9,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,07-25-2019,22:00:00,0.20,3.7,1009.69,87,24.3,2.20,30.34,1010.40,26.6,170
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.00,07-25-2019,22:00:00,15.70,0.0,1009.84,86,23.1,24.00,28.25,1010.55,25.6,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,07-25-2019,22:00:00,0.00,9.3,988.24,79,23.6,1.60,29.06,1009.41,27.5,230
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,07-25-2019,22:00:00,0.00,0.0,992.60,76,22.3,4.50,26.92,1009.36,26.9,000
