WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,DewPoint,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,AirTemperature,WindDirection,Rainfall,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,65,10-17-2019,13:00:00,15.00,23.9,29.60,0.01,1011.20,980.67,31.2,000,0.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,10-17-2019,13:00:00,7.00,17.8,20.41,0.00,1013.12,850.48,18.0,120,0.00,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,54,10-17-2019,13:00:00,12.00,21.2,25.16,0.00,1011.80,968.81,31.6,030,0.00,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,55,10-17-2019,13:00:00,15.00,21.5,25.70,0.00,1012.14,967.26,31.6,360,0.00,5.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,60,10-17-2019,13:00:00,12.00,22.9,27.99,1.70,1012.28,975.19,31.8,000,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,65,10-17-2019,13:00:00,8.00,22.7,27.55,0.00,1012.09,967.42,30.0,000,0.00,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,56,10-17-2019,13:00:00,12.00,22.6,27.33,0.00,1012.47,986.17,32.6,000,0.00,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,55,10-17-2019,13:00:00,15.00,22.9,27.84,2.10,1011.77,990.38,33.0,030,0.00,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,51,10-17-2019,13:00:00,10.00,21.9,26.20,0.00,1010.90,987.25,33.3,000,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,55,10-17-2019,13:00:00,10.00,22.2,26.75,0.00,1011.77,977.80,32.3,200,0.00,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,59,10-17-2019,13:00:00,10.00,22.7,27.60,0.00,1012.29,985.10,31.6,000,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,54,10-17-2019,13:00:00,12.00,21.5,25.64,18.20,1011.72,978.64,32.0,250,0.00,5.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,48,10-17-2019,13:00:00,15.00,21.5,25.63,4.20,1011.32,993.19,34.0,120,0.00,5.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,57,10-17-2019,13:00:00,10.00,22.5,27.19,1.60,1012.25,989.74,32.1,000,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,59,10-17-2019,13:00:00,12.00,22.7,27.60,2.40,1012.16,982.64,31.6,000,0.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,54,10-17-2019,13:00:00,8.00,21.3,25.35,3.00,1011.91,976.88,31.7,000,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,56,10-17-2019,13:00:00,15.00,22.0,26.45,0.00,1011.62,982.31,32.0,050,0.00,7.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,44,10-17-2019,13:00:00,10.00,20.4,23.93,2.70,1011.58,1004.42,34.4,000,0.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,53,10-17-2019,13:00:00,15.00,22.6,27.43,0.00,1011.89,992.33,33.5,090,0.00,11.1
48353,LOEI,เลย,เลย,17.45000,101.73333,51,10-17-2019,13:00:00,13.00,20.5,24.04,0.10,1011.97,983.68,32.0,120,0.00,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,54,10-17-2019,13:00:00,15.00,21.7,25.93,8.00,1012.40,992.49,32.3,040,0.00,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,49,10-17-2019,13:00:00,15.00,19.9,23.25,0.40,1012.20,990.73,32.0,080,0.00,9.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,47,10-17-2019,13:00:00,15.00,19.6,22.84,0.00,1011.73,992.51,32.5,100,0.00,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,45,10-17-2019,13:00:00,13.00,19.3,22.43,0.00,1012.39,995.89,33.0,050,0.00,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,47,10-17-2019,13:00:00,12.00,20.4,23.93,0.00,1012.74,995.59,33.1,050,0.00,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,53,10-17-2019,13:00:00,12.00,21.6,25.77,0.01,1011.70,986.28,32.5,060,0.00,7.4
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,55,10-17-2019,13:00:00,10.00,23.9,29.71,0.00,1011.80,1006.12,34.2,050,0.00,9.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,55,10-17-2019,13:00:00,12.00,23.5,29.00,0.50,1011.91,1005.83,34.0,070,0.00,5.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,56,10-17-2019,13:00:00,12.00,22.2,26.72,17.00,1012.66,996.40,32.0,040,0.00,5.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,50,10-17-2019,13:00:00,12.00,21.1,25.08,0.00,1009.18,987.25,33.0,080,0.00,22.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,58,10-17-2019,13:00:00,8.00,23.1,28.25,26.00,1012.29,998.09,32.5,100,0.00,5.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,54,10-17-2019,13:00:00,12.00,21.7,25.91,20.00,1011.87,995.67,32.0,000,0.00,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,47,10-17-2019,13:00:00,12.00,21.0,24.80,0.00,1011.46,1006.33,34.0,070,0.00,9.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,46,10-17-2019,13:00:00,12.00,21.2,25.21,1.40,1010.32,997.40,34.5,340,0.00,5.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,52,10-17-2019,13:00:00,12.00,22.5,27.26,4.10,1011.88,1002.71,33.7,020,0.00,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,57,10-17-2019,13:00:00,10.00,22.5,27.27,0.60,1012.05,990.62,32.0,060,0.00,13.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,58,10-17-2019,13:00:00,12.00,23.7,29.25,3.00,1011.52,994.28,33.0,030,0.00,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,56,10-17-2019,13:00:00,12.00,22.4,27.11,0.00,1010.89,995.27,32.2,020,0.00,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,59,10-17-2019,13:00:00,10.00,23.4,28.81,2.10,1011.00,992.38,32.5,050,0.00,9.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,54,10-17-2019,13:00:00,11.00,19.6,22.84,0.00,1012.61,961.82,30.0,000,0.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,51,10-17-2019,13:00:00,10.00,21.9,26.31,0.40,1011.31,1007.42,33.5,050,0.00,5.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,73,10-17-2019,13:00:00,8.00,20.4,23.96,13.90,1011.85,917.54,25.6,350,0.00,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,59,10-17-2019,13:00:00,10.00,22.4,27.02,0.01,1011.67,995.84,31.3,070,0.00,14.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,59,10-17-2019,13:00:00,12.00,24.5,30.70,0.00,1011.81,1007.84,33.7,000,0.00,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,54,10-17-2019,13:00:00,10.00,21.6,25.74,0.00,1012.14,1001.59,32.2,050,0.00,7.4
