WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,LandVisibility,WindSpeed,DewPoint,Rainfall,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,4.80,09-11-2019,10:00:00,29.44,6.00,0.0,23.8,2.80,000,981.39,1012.57,92,25.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.90,09-11-2019,10:00:00,22.42,8.00,7.4,19.3,1.20,180,848.26,1009.59,99,19.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,13.10,09-11-2019,10:00:00,29.91,10.00,9.3,24.0,3.90,170,968.06,1011.90,92,25.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.40,09-11-2019,10:00:00,29.00,12.00,11.1,23.5,3.00,210,965.66,1011.47,92,25.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,9.20,09-11-2019,10:00:00,29.41,7.00,0.0,23.8,0.40,000,975.31,1013.33,96,24.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.90,09-11-2019,10:00:00,28.87,10.00,7.4,23.5,0.10,150,967.40,1012.71,87,25.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.01,09-11-2019,10:00:00,28.28,12.00,5.6,23.1,0.01,180,986.92,1013.82,83,26.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.30,09-11-2019,10:00:00,29.05,6.00,1.9,23.6,0.30,250,991.84,1013.78,87,25.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.20,09-11-2019,10:00:00,27.36,8.00,0.0,22.6,0.00,000,989.34,1013.54,77,27.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.80,09-11-2019,10:00:00,28.26,9.00,3.7,23.1,0.30,200,978.00,1012.72,85,25.9
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.10,09-11-2019,10:00:00,28.85,9.00,0.0,23.4,1.00,000,985.91,1013.69,88,25.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1.90,09-11-2019,10:00:00,28.10,10.00,0.0,23.0,0.10,000,978.94,1012.69,83,26.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.01,09-11-2019,10:00:00,27.60,15.00,5.6,22.7,0.00,260,994.69,1013.30,79,26.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-11-2019,10:00:00,27.08,10.00,0.0,22.4,0.00,000,990.34,1013.28,77,26.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.01,09-11-2019,10:00:00,27.04,11.00,3.7,22.4,0.01,200,983.47,1013.63,83,25.5
