WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,AirTemperature,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,LandVisibility,DewPoint,Rainfall,MinimumTemperature,WindSpeed
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,964.42,09-25-2019,07:00:00,0.00,19.4,21.19,1017.24,000,94,.20,18.4,0.00,18.6,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1011.05,09-25-2019,07:00:00,0.00,26.0,32.20,1015.05,000,96,3.00,25.3,0.00,24.5,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,919.71,09-25-2019,07:00:00,0.00,19.5,21.54,1016.30,000,95,7.00,18.7,0.00,17.6,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,999.19,09-25-2019,07:00:00,0.00,23.2,24.71,1015.52,000,87,8.00,20.9,0.00,22.0,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1011.07,09-25-2019,07:00:00,0.00,24.7,30.03,1015.17,000,97,4.00,24.1,0.00,24.1,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.95,09-25-2019,07:00:00,0.00,24.7,26.18,1015.80,000,84,8.00,21.8,0.00,23.2,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1013.38,09-25-2019,07:00:00,0.00,25.0,29.79,1015.34,330,94,9.00,24.0,0.00,25.0,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,995.39,09-25-2019,07:00:00,0.00,24.0,24.78,1016.66,000,83,8.00,20.9,0.00,22.4,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,997.20,09-25-2019,07:00:00,0.00,23.5,25.68,1015.22,020,89,8.00,21.5,0.00,22.5,7.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,998.76,09-25-2019,07:00:00,0.00,24.0,24.78,1015.22,000,83,10.00,20.9,0.00,23.1,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1000.53,09-25-2019,07:00:00,0.00,24.0,24.78,1014.81,020,83,10.00,20.9,0.00,23.3,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,999.98,09-25-2019,07:00:00,0.00,24.0,24.78,1015.08,000,83,8.00,20.9,0.00,23.2,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1000.20,09-25-2019,07:00:00,0.00,24.4,26.93,1015.12,050,88,10.00,22.3,0.00,23.5,9.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1011.24,09-25-2019,07:00:00,0.00,25.2,30.15,1014.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",94,3.00,24.2,0.00,23.8,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1007.24,09-25-2019,07:00:00,0.00,24.3,26.01,1015.33,000,86,10.00,21.7,0.00,23.6,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1012.96,09-25-2019,07:00:00,0.00,25.2,27.28,1014.09,030,85,6.00,22.5,0.00,24.2,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,998.82,09-25-2019,07:00:00,0.00,25.5,28.07,1013.67,080,86,8.00,23.0,0.00,24.3,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,879.05,09-25-2019,07:00:00,0.00,19.5,18.14,1015.13,090,80,8.00,16.0,0.00,17.1,11.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.29,09-25-2019,07:00:00,0.00,23.3,27.83,1015.30,000,97,5.00,22.8,0.00,22.1,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1013.07,09-25-2019,07:00:00,0.00,26.0,27.66,1013.88,040,82,9.00,22.7,0.00,25.6,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1012.94,09-25-2019,07:00:00,0.00,27.5,29.60,1013.39,000,81,10.00,23.9,0.00,27.5,0.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1003.62,09-25-2019,07:00:00,0.50,22.5,26.01,1015.18,000,95,4.00,21.7,0.00,22.3,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1013.49,09-25-2019,07:00:00,0.01,25.6,28.51,1014.52,010,87,8.00,23.2,0.00,25.0,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1013.16,09-25-2019,07:00:00,0.00,26.0,26.37,1015.01,000,78,8.00,22.0,0.00,24.6,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1013.50,09-25-2019,07:00:00,0.00,26.8,27.52,1014.27,040,78,8.00,22.7,0.00,24.8,3.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1013.17,09-25-2019,07:00:00,0.00,26.5,30.70,1013.88,360,89,6.00,24.5,0.00,25.2,3.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1012.48,09-25-2019,07:00:00,0.00,27.1,26.75,1013.19,000,75,7.00,22.2,0.00,25.3,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,994.02,09-25-2019,07:00:00,0.00,24.3,25.76,1015.55,000,85,8.00,21.6,0.00,23.6,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,998.27,09-25-2019,07:00:00,0.00,23.5,25.19,1015.32,000,87,6.00,21.2,0.00,22.1,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,998.91,09-25-2019,07:00:00,0.00,23.7,28.01,1015.66,030,96,9.00,23.0,0.00,21.7,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,993.14,09-25-2019,07:00:00,0.00,23.2,26.66,1015.45,000,94,4.00,22.1,0.00,22.7,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,971.33,09-25-2019,07:00:00,0.00,24.0,22.63,1015.35,010,76,8.00,19.5,0.00,23.0,11.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,994.11,09-25-2019,07:00:00,0.00,23.5,26.42,1015.07,350,91,9.00,22.0,0.00,22.7,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,995.51,09-25-2019,07:00:00,0.00,23.6,28.34,1016.77,030,97,4.00,23.2,0.00,21.9,9.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1013.00,09-25-2019,07:00:00,2.00,25.8,30.19,1013.44,140,91,8.00,24.2,0.00,24.9,9.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.60,09-25-2019,07:00:00,0.80,25.8,25.78,1007.02,080,78,8.00,21.6,0.00,25.0,3.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.86,09-25-2019,07:00:00,0.00,25.1,30.23,1013.86,000,95,6.00,24.2,0.00,24.8,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1011.12,09-25-2019,07:00:00,0.00,25.2,28.31,1014.46,000,88,6.00,23.1,0.00,23.0,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1013.13,09-25-2019,07:00:00,0.30,25.6,30.90,1014.25,000,94,7.00,24.6,0.00,25.1,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1013.08,09-25-2019,07:00:00,0.00,27.0,30.56,1013.38,060,86,9.00,24.4,0.00,26.1,3.7
