WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,WindDirection,VaporPressure,LandVisibility,MaximumTemperature,WindSpeed,Rainfall24Hr,StationPressure,RelativeHumidity,DewPoint,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1010.47,09-11-2019,19:00:00,0.10,000,31.06,10.00,29.9,0.0,4.40,979.39,96,24.7,25.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1007.88,09-11-2019,19:00:00,0.00,090,20.36,8.00,21.5,14.8,7.90,846.63,92,17.8,19.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1009.84,09-11-2019,19:00:00,0.00,160,27.39,10.00,30.2,5.6,13.30,966.11,83,22.6,25.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1009.89,09-11-2019,19:00:00,0.00,000,28.87,15.00,28.5,0.0,6.80,964.27,87,23.5,25.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1011.04,09-11-2019,19:00:00,0.00,000,29.62,8.00,27.5,0.0,9.60,973.36,86,23.9,26.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1010.35,09-11-2019,19:00:00,0.00,000,29.23,12.00,29.2,0.0,2.90,965.18,87,23.7,26.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1011.00,09-11-2019,19:00:00,0.20,000,31.68,7.00,27.4,0.0,1.90,984.19,93,25.0,26.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1011.37,09-11-2019,19:00:00,0.60,000,31.22,10.00,28.3,0.0,1.20,989.51,92,24.8,26.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1011.86,09-11-2019,19:00:00,0.60,000,29.49,6.00,27.8,0.0,3.60,987.49,97,23.8,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1010.69,09-11-2019,19:00:00,0.01,210,27.23,10.00,29.4,5.6,0.80,976.07,80,22.5,26.2
