WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,StationPressure,WindSpeed,RelativeHumidity,Rainfall,VaporPressure,DewPoint,AirTemperature,WindDirection,LandVisibility
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-11-2019,13:00:00,1009.36,987.95,5.6,54,0.00,25.91,21.7,32.0,060,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-11-2019,13:00:00,1008.63,989.49,7.4,54,0.00,26.61,22.1,32.8,170,14.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-11-2019,13:00:00,1009.29,992.87,5.6,46,0.00,23.78,20.3,33.6,120,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-11-2019,13:00:00,1009.62,992.61,3.7,46,0.00,25.13,21.2,34.6,120,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-11-2019,13:00:00,1008.18,982.90,5.6,56,0.00,28.24,23.1,33.2,140,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-11-2019,13:00:00,1009.65,1003.94,9.3,72,0.00,33.75,26.1,31.8,280,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-11-2019,13:00:00,1009.33,1003.24,0.0,65,0.00,31.98,25.2,32.5,000,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,11.10,10-11-2019,13:00:00,1009.62,993.42,0.0,55,0.00,26.28,21.9,32.2,000,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,62.50,10-11-2019,13:00:00,1007.70,985.66,0.0,60,0.00,26.73,22.2,31.0,000,12.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,12.40,10-11-2019,13:00:00,1009.84,995.67,0.0,57,0.00,28.17,23.0,32.6,000,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,50.90,10-11-2019,13:00:00,1009.03,992.91,0.0,58,0.00,28.25,23.1,32.5,000,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-11-2019,13:00:00,1009.15,1004.01,7.4,62,0.00,30.65,24.5,32.7,230,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,11.80,10-11-2019,13:00:00,1007.51,994.54,3.7,61,0.00,29.66,23.9,32.5,130,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-11-2019,13:00:00,1009.58,1000.40,3.7,58,0.00,28.33,23.1,32.4,150,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-11-2019,13:00:00,1008.56,987.31,7.4,53,0.00,27.34,22.6,33.6,110,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-11-2019,13:00:00,1009.01,991.90,0.0,54,0.00,29.46,23.8,34.5,000,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-11-2019,13:00:00,1008.43,992.89,5.6,59,0.00,29.74,24.0,33.1,050,14.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-11-2019,13:00:00,1007.63,989.17,11.1,57,0.00,30.67,24.5,34.1,010,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,44.60,10-11-2019,13:00:00,1009.88,959.31,0.0,61,0.00,26.60,22.1,30.5,000,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-11-2019,13:00:00,1008.97,1005.04,11.1,76,0.00,31.08,24.7,29.4,280,9.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-11-2019,13:00:00,1009.02,915.23,0.0,73,0.00,25.20,21.2,26.5,000,8.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-11-2019,13:00:00,1008.95,993.24,18.5,59,0.00,29.83,24.0,33.0,060,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.30,10-11-2019,13:00:00,1009.37,1005.40,0.0,67,0.00,33.66,26.0,33.0,000,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.30,10-11-2019,13:00:00,1009.79,999.26,0.0,66,0.00,31.02,24.7,31.9,000,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-11-2019,13:00:00,1009.17,1007.28,5.6,63,0.00,31.57,24.9,33.0,090,12.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-11-2019,13:00:00,1008.33,987.88,0.0,52,0.00,26.95,22.3,33.4,000,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-11-2019,13:00:00,1008.81,991.43,7.4,61,0.00,29.66,23.9,32.5,090,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-11-2019,13:00:00,1008.31,992.43,5.6,61,0.00,29.87,24.0,32.6,090,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.60,10-11-2019,13:00:00,1008.86,995.02,3.7,64,0.00,30.24,24.2,31.8,010,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-11-2019,13:00:00,1009.35,994.75,0.0,65,0.00,31.69,25.0,32.5,000,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,2.50,10-11-2019,13:00:00,1009.25,994.81,3.7,71,0.00,34.46,26.4,32.4,160,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-11-2019,13:00:00,1008.72,1005.75,0.0,65,0.00,32.76,25.6,33.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-11-2019,13:00:00,1008.75,1000.92,0.0,66,0.00,31.86,25.1,32.3,000,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-11-2019,13:00:00,1009.10,1008.01,0.0,54,0.00,28.59,23.3,33.8,000,10.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-11-2019,13:00:00,1009.25,994.79,0.0,71,0.00,34.32,26.4,32.2,000,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.00,10-11-2019,13:00:00,1010.39,875.41,3.7,99,6.60,24.01,20.4,20.6,190,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,2.90,10-11-2019,13:00:00,1008.59,1002.82,0.0,64,0.00,32.16,25.3,33.0,000,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-11-2019,13:00:00,1008.85,1008.07,5.6,53,0.00,29.38,23.7,34.6,250,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-11-2019,13:00:00,1009.02,1008.58,5.6,63,0.00,30.08,24.1,32.0,140,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,6.30,10-11-2019,13:00:00,1009.08,998.00,0.0,60,0.00,30.87,24.6,33.5,000,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.80,10-11-2019,13:00:00,1009.13,1008.14,3.7,64,0.00,33.17,25.8,33.6,180,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-11-2019,13:00:00,1008.98,1007.19,3.7,55,0.00,27.84,22.9,33.0,200,13.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.40,10-11-2019,13:00:00,1008.66,1007.91,0.0,63,0.00,31.79,25.1,33.1,000,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,12.60,10-11-2019,13:00:00,1008.63,1007.94,9.3,59,0.00,29.33,23.7,32.9,150,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-11-2019,13:00:00,1008.86,1008.17,5.6,62,0.00,33.64,26.0,34.5,210,10.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.20,10-11-2019,13:00:00,1008.62,987.81,0.0,61,0.00,29.95,24.1,32.5,000,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.01,10-11-2019,13:00:00,1008.90,992.43,0.0,61,0.00,28.94,23.5,32.0,000,12.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.60,10-11-2019,13:00:00,1009.28,993.11,5.6,62,0.00,30.53,24.4,32.5,050,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-11-2019,13:00:00,1008.69,987.18,0.0,62,0.00,30.12,24.2,32.3,000,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1.00,10-11-2019,13:00:00,1007.37,964.72,11.1,55,0.00,25.14,21.2,31.3,080,9.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-11-2019,13:00:00,1008.42,988.23,3.7,61,0.00,30.69,24.5,33.0,120,12.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-11-2019,13:00:00,1010.11,989.48,5.6,76,0.00,33.47,25.9,30.7,320,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.20,10-11-2019,13:00:00,1009.63,1009.20,0.0,73,0.00,32.72,25.5,30.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-11-2019,13:00:00,1008.70,1007.31,0.0,65,0.00,32.46,25.4,33.0,000,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-11-2019,13:00:00,1008.53,1003.70,0.0,58,0.00,30.75,24.5,34.0,000,12.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,5.40,10-11-2019,13:00:00,1008.62,1005.40,9.3,60,0.00,31.59,25.0,33.7,040,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-11-2019,13:00:00,1009.22,1008.13,0.0,60,0.00,31.50,24.9,33.8,000,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.40,10-11-2019,13:00:00,1008.67,1008.37,7.4,54,0.00,28.39,23.2,33.7,210,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,55.20,10-11-2019,13:00:00,1009.60,1008.93,0.0,64,0.00,32.16,25.3,33.0,000,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,52.00,10-11-2019,13:00:00,1009.21,1008.73,0.0,59,0.00,28.81,23.4,32.5,000,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-11-2019,13:00:00,1008.68,1007.29,7.4,60,0.00,30.66,24.5,33.4,360,9.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,2.30,10-11-2019,13:00:00,1008.87,1007.21,0.0,63,0.00,27.79,22.8,30.7,000,7.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-11-2019,13:00:00,1010.77,1002.85,0.0,73,0.00,33.70,26.0,31.5,000,12.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,5.80,10-11-2019,13:00:00,1008.71,1008.43,7.4,65,0.00,31.27,24.8,32.3,270,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-11-2019,13:00:00,1008.80,1005.70,5.6,69,0.00,30.90,24.6,31.0,270,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-11-2019,13:00:00,1009.26,1002.40,7.4,67,0.00,30.86,24.6,31.4,330,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-11-2019,13:00:00,1008.64,1003.17,7.4,59,0.00,31.90,25.1,34.4,120,10.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-11-2019,13:00:00,1010.08,1000.91,5.6,70,0.00,34.07,26.2,32.5,330,9.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.10,10-11-2019,13:00:00,1009.84,1008.60,0.0,63,0.00,32.35,25.4,33.5,000,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-11-2019,13:00:00,1009.30,1008.88,0.0,70,0.00,37.18,27.7,34.0,000,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-11-2019,13:00:00,1008.88,996.85,3.7,57,0.00,29.01,23.5,33.3,350,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-11-2019,13:00:00,1009.27,1008.56,11.1,72,0.00,33.53,26.0,31.7,070,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.80,10-11-2019,13:00:00,1010.11,1007.69,5.6,73,11.80,31.48,24.9,30.3,220,7.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.50,10-11-2019,13:00:00,1009.70,1009.19,11.1,71,0.00,33.58,26.0,32.0,210,12.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.60,10-11-2019,13:00:00,1009.06,1003.94,1.9,79,0.10,32.71,25.5,29.5,190,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.30,10-11-2019,13:00:00,1008.69,1008.29,5.6,51,0.00,28.02,23.0,34.5,050,10.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-11-2019,13:00:00,1008.74,1006.01,3.7,73,0.00,35.60,27.0,32.5,210,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-11-2019,13:00:00,1008.55,1007.78,9.3,67,0.00,32.79,25.6,32.6,090,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,16.90,10-11-2019,13:00:00,1008.84,1008.39,5.6,63,0.00,32.00,25.2,33.2,220,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-11-2019,13:00:00,1008.99,1008.32,7.4,58,0.00,29.66,23.9,33.2,130,10.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-11-2019,13:00:00,1008.86,1007.36,7.4,58,0.00,30.20,24.2,33.6,130,9.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,9.20,10-11-2019,13:00:00,1009.51,1008.60,9.3,55,0.00,26.94,22.3,32.4,300,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.10,10-11-2019,13:00:00,1010.11,1009.43,9.3,75,0.00,32.75,25.6,30.5,100,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.01,10-11-2019,13:00:00,1009.72,1008.94,5.6,58,0.00,29.25,23.7,33.0,040,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-11-2019,13:00:00,1009.79,1009.17,11.1,63,0.00,30.48,24.4,32.2,100,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,10-11-2019,13:00:00,1009.80,1009.41,7.4,73,0.00,34.49,26.4,32.0,210,12.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1.50,10-11-2019,13:00:00,1011.49,1007.32,0.0,77,0.00,34.71,26.5,31.0,000,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-11-2019,13:00:00,1009.73,1008.14,0.0,75,0.00,32.34,25.3,30.3,000,12.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1.40,10-11-2019,13:00:00,1009.59,1006.17,5.6,64,0.00,31.19,24.7,32.4,190,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.50,10-11-2019,13:00:00,1009.76,1008.42,13.0,67,0.00,30.86,24.6,31.4,360,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,4.00,10-11-2019,13:00:00,1010.25,1009.37,0.0,80,0.20,33.41,25.9,29.7,000,9.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.20,10-11-2019,13:00:00,1009.77,1006.27,5.6,57,0.00,27.77,22.8,32.4,230,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,4.00,10-11-2019,13:00:00,1010.18,1009.74,3.7,80,1.60,30.28,24.3,28.0,260,9.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.60,10-11-2019,13:00:00,1009.91,1008.92,7.4,70,0.00,31.68,25.0,31.1,300,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-11-2019,13:00:00,1010.08,1009.27,11.1,77,0.00,33.98,26.2,30.8,260,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,15.90,10-11-2019,13:00:00,1009.51,1007.71,9.3,74,14.60,29.46,23.8,29.0,200,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-11-2019,13:00:00,1009.82,1009.08,5.6,71,0.00,32.26,25.3,31.1,230,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,43.80,10-11-2019,13:00:00,1009.52,1005.58,11.1,65,0.00,30.00,24.1,31.4,060,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-11-2019,13:00:00,1009.39,1008.72,0.0,70,0.00,31.47,24.9,31.0,000,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.40,10-11-2019,13:00:00,1009.48,1008.38,9.3,72,0.00,30.70,24.5,30.2,060,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,40.60,10-11-2019,13:00:00,1009.33,1006.47,3.7,57,0.00,29.75,24.0,33.8,240,11.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.10,10-11-2019,13:00:00,1009.07,1008.39,9.3,65,0.00,30.86,24.6,32.1,070,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,47.20,10-11-2019,13:00:00,1009.72,1005.67,0.0,57,0.00,28.60,23.3,33.1,000,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-11-2019,13:00:00,1008.08,1007.50,11.1,61,0.00,28.74,23.4,31.9,050,12.00
