WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,StationPressure,WindSpeed,RelativeHumidity,Rainfall,VaporPressure,DewPoint,AirTemperature,WindDirection,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.20,10-11-2019,13:00:00,1009.07,978.56,5.6,65,0.00,28.42,23.2,30.6,110,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,6.50,10-11-2019,13:00:00,1008.09,847.44,0.0,88,0.00,21.03,18.3,20.4,000,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,35.60,10-11-2019,13:00:00,1008.59,965.69,9.3,58,0.00,26.56,22.1,31.2,130,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.40,10-11-2019,13:00:00,1008.71,963.91,3.7,60,0.00,27.19,22.5,31.1,220,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-11-2019,13:00:00,1008.42,971.60,0.0,61,0.00,30.49,24.4,32.9,000,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-11-2019,13:00:00,1005.39,961.30,7.4,54,0.00,25.91,21.7,32.0,310,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-11-2019,13:00:00,1009.02,982.87,5.6,56,0.00,28.92,23.5,33.4,180,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.30,10-11-2019,13:00:00,1009.50,988.08,3.7,64,0.00,30.16,24.2,31.9,300,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.50,10-11-2019,13:00:00,1009.60,985.80,0.0,63,0.00,28.09,23.0,31.0,000,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.90,10-11-2019,13:00:00,1009.55,975.58,3.7,55,0.00,25.61,21.5,31.7,160,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-11-2019,13:00:00,1009.43,982.38,0.0,58,0.00,28.33,23.1,32.4,000,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,15.60,10-11-2019,13:00:00,1009.53,976.42,11.1,65,0.00,29.40,23.8,31.1,250,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.10,10-11-2019,13:00:00,1008.36,990.23,5.6,58,0.00,29.37,23.7,33.2,260,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-11-2019,13:00:00,1008.67,986.33,0.0,53,0.00,27.51,22.7,33.4,000,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-11-2019,13:00:00,1009.26,979.91,0.0,58,0.00,28.25,23.1,32.5,000,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-11-2019,13:00:00,1009.18,974.21,0.0,60,0.00,27.96,22.9,31.5,000,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1.80,10-11-2019,13:00:00,1008.04,978.97,5.6,59,0.00,30.37,24.3,33.4,140,17.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.30,10-11-2019,13:00:00,1009.12,1001.94,0.0,64,0.00,31.74,25.0,32.8,000,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-11-2019,13:00:00,1008.72,989.25,9.3,59,0.00,31.34,24.8,34.0,030,8.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-11-2019,13:00:00,1008.43,980.46,7.4,50,0.00,27.45,22.6,34.5,200,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-11-2019,13:00:00,1009.06,989.27,7.4,55,0.00,28.15,23.0,33.3,070,15.00
