WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,Rainfall,LandVisibility,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.02,08-28-2019,10:00:00,976.65,1.80,000,87,27.1,1007.47,0.20,10.00,24.7,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.73,08-28-2019,10:00:00,844.97,5.50,120,99,19.0,1005.96,0.00,.10,18.8,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.49,08-28-2019,10:00:00,963.81,14.50,000,77,28.3,1007.06,0.00,12.00,23.8,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.71,08-28-2019,10:00:00,961.59,32.00,230,80,27.7,1006.80,0.20,15.00,23.9,3.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.38,08-28-2019,10:00:00,970.16,29.70,000,88,27.0,1007.66,0.00,12.00,24.8,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.84,08-28-2019,10:00:00,962.48,6.90,140,82,28.0,1007.22,0.00,7.00,24.6,1.9
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.98,08-28-2019,10:00:00,981.16,26.70,090,76,28.7,1007.67,0.00,10.00,24.1,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.04,08-28-2019,10:00:00,985.48,0.00,240,68,29.4,1007.02,0.00,12.00,23.0,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.03,08-28-2019,10:00:00,983.87,0.00,000,68,29.0,1007.78,0.00,10.00,22.4,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.93,08-28-2019,10:00:00,973.14,2.60,000,84,27.1,1007.55,0.00,10.00,24.1,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.32,08-28-2019,10:00:00,980.45,38.00,000,96,25.0,1008.12,11.70,4.00,24.3,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.39,08-28-2019,10:00:00,974.12,6.40,000,84,27.2,1007.58,0.00,10.00,24.3,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.33,08-28-2019,10:00:00,988.89,53.10,270,91,26.4,1007.40,0.01,5.00,24.8,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.42,08-28-2019,10:00:00,984.69,12.00,000,83,27.5,1007.43,0.00,10.00,24.3,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.95,08-28-2019,10:00:00,977.80,9.80,000,85,28.0,1007.54,0.20,10.00,25.1,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.45,08-28-2019,10:00:00,972.06,20.00,000,89,27.4,1007.43,0.00,6.00,25.4,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.61,08-28-2019,10:00:00,977.13,15.80,090,90,27.2,1006.75,0.00,15.00,25.5,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.38,08-28-2019,10:00:00,999.63,59.20,000,88,27.0,1006.93,0.01,7.00,24.8,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.08,08-28-2019,10:00:00,987.41,4.60,120,78,30.1,1007.09,0.00,20.00,25.7,7.4
48353,LOEI,เลย,เลย,17.45000,101.73333,30.56,08-28-2019,10:00:00,978.65,3.00,000,81,28.0,1007.17,0.00,15.00,24.4,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.11,08-28-2019,10:00:00,987.27,6.70,040,71,29.9,1007.24,0.00,15.00,24.2,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,30.96,08-28-2019,10:00:00,985.75,6.00,180,76,29.2,1007.31,0.00,10.00,24.6,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.97,08-28-2019,10:00:00,987.70,4.30,210,77,29.7,1007.00,0.00,12.00,25.2,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.72,08-28-2019,10:00:00,991.34,23.20,260,75,29.5,1007.95,0.00,12.00,24.5,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.17,08-28-2019,10:00:00,990.58,4.70,000,77,29.8,1007.83,0.00,12.00,25.3,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.22,08-28-2019,10:00:00,981.02,19.60,000,82,28.7,1006.62,0.00,13.00,25.3,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.93,08-28-2019,10:00:00,1001.35,10.00,000,78,29.4,1007.09,0.00,10.00,25.1,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.98,08-28-2019,10:00:00,992.02,0.00,000,81,27.7,1008.44,0.00,10.00,24.1,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.41,08-28-2019,10:00:00,984.17,1.50,000,87,26.1,1006.54,0.00,10.00,23.8,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.01,08-28-2019,10:00:00,993.33,0.00,250,64,30.0,1007.58,0.00,8.00,22.4,11.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.74,08-28-2019,10:00:00,990.95,1.70,000,74,29.0,1007.22,0.00,8.00,23.9,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.10,08-28-2019,10:00:00,1002.32,0.00,190,79,29.2,1007.52,0.00,10.00,25.2,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.38,08-28-2019,10:00:00,993.16,0.40,000,88,27.0,1006.35,0.00,10.00,24.8,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.96,08-28-2019,10:00:00,998.04,4.70,320,76,29.2,1007.30,0.00,12.00,24.6,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,31.82,08-28-2019,10:00:00,985.58,10.20,000,82,28.5,1007.16,0.00,9.00,25.1,0.0
