WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,Rainfall,LandVisibility,DewPoint,WindSpeed
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.22,08-28-2019,10:00:00,989.96,1.90,250,79,29.4,1007.33,0.01,12.00,25.3,9.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.13,08-28-2019,10:00:00,990.98,0.00,300,78,29.5,1006.68,0.00,11.00,25.2,5.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.72,08-28-2019,10:00:00,987.43,3.50,000,75,30.0,1006.10,0.00,10.00,25.0,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.11,08-28-2019,10:00:00,958.34,0.40,000,81,25.4,1009.74,0.00,11.00,21.8,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.69,08-28-2019,10:00:00,1003.18,0.00,140,79,29.0,1007.11,0.00,10.00,25.0,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.04,08-28-2019,10:00:00,912.89,0.30,230,93,21.7,1008.02,0.10,6.00,20.5,5.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.40,08-28-2019,10:00:00,991.56,0.20,000,87,27.8,1007.51,0.00,10.00,25.4,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.23,08-28-2019,10:00:00,1003.57,0.00,180,71,30.6,1007.55,0.00,10.00,24.8,5.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.77,08-28-2019,10:00:00,998.01,1.60,180,73,29.3,1008.62,0.00,10.00,24.0,5.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.72,08-28-2019,10:00:00,1005.72,1.00,180,75,29.5,1007.64,0.00,11.00,24.5,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.04,08-28-2019,10:00:00,986.95,0.00,250,61,30.2,1007.60,0.00,12.00,21.8,9.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.42,08-28-2019,10:00:00,989.47,0.00,250,79,29.5,1006.99,0.00,10.00,25.4,5.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.67,08-28-2019,10:00:00,990.92,0.10,000,73,29.9,1006.92,0.00,10.00,24.5,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.68,08-28-2019,10:00:00,993.36,3.20,250,76,29.7,1007.27,0.00,10.00,25.0,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.22,08-28-2019,10:00:00,993.62,0.40,000,79,29.4,1008.35,0.00,10.00,25.3,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.00,08-28-2019,10:00:00,992.77,0.60,310,77,30.2,1007.29,0.00,10.00,25.7,7.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.12,08-28-2019,10:00:00,1004.06,7.20,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",75,29.7,1007.05,0.00,10.00,24.7,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.75,08-28-2019,10:00:00,999.48,0.00,000,70,30.0,1007.36,0.00,10.00,24.0,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.48,08-28-2019,10:00:00,1007.13,0.00,210,66,31.0,1008.22,0.00,9.00,23.8,7.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.72,08-28-2019,10:00:00,991.29,5.50,000,75,29.5,1005.84,0.00,9.00,24.5,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.03,08-28-2019,10:00:00,873.95,1.10,290,96,20.4,1008.80,0.00,2.00,19.8,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.01,08-28-2019,10:00:00,1001.86,0.01,000,75,29.0,1007.71,0.00,10.00,24.1,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.66,08-28-2019,10:00:00,1007.58,0.00,240,60,32.0,1008.37,0.00,10.00,23.3,14.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.07,08-28-2019,10:00:00,1007.62,0.00,230,63,31.5,1008.06,0.00,10.00,23.6,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.31,08-28-2019,10:00:00,997.78,5.90,000,79,28.3,1009.06,0.20,5.00,24.3,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.40,08-28-2019,10:00:00,1006.77,0.00,000,65,31.1,1007.77,0.00,12.00,23.8,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.91,08-28-2019,10:00:00,1006.15,0.80,180,68,30.0,1007.96,0.00,9.00,23.5,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.87,08-28-2019,10:00:00,1006.84,0.00,290,60,31.6,1007.59,0.00,9.00,22.9,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.22,08-28-2019,10:00:00,1007.65,0.20,230,63,30.4,1008.35,0.00,10.00,22.5,13.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.22,08-28-2019,10:00:00,1007.19,0.00,270,61,32.0,1007.89,0.00,10.00,23.7,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.52,08-28-2019,10:00:00,986.18,0.01,280,62,30.7,1007.07,0.00,12.00,22.7,7.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.34,08-28-2019,10:00:00,990.91,51.70,230,78,28.6,1007.55,0.00,11.00,24.3,5.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.68,08-28-2019,10:00:00,991.56,45.20,230,76,29.7,1007.86,0.00,14.00,25.0,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.06,08-28-2019,10:00:00,985.32,0.01,240,62,30.6,1006.92,0.00,10.00,22.4,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.13,08-28-2019,10:00:00,964.47,0.10,250,67,28.5,1007.52,0.00,15.00,21.8,29.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.68,08-28-2019,10:00:00,986.51,1.40,210,60,31.5,1006.76,0.00,11.00,22.8,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.49,08-28-2019,10:00:00,988.29,0.60,240,79,28.9,1009.01,0.00,10.00,24.9,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.00,08-28-2019,10:00:00,1007.67,0.00,260,60,31.0,1008.10,0.00,10.00,22.4,11.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.34,08-28-2019,10:00:00,1006.36,0.00,000,72,31.0,1007.76,0.00,11.00,25.4,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.76,08-28-2019,10:00:00,1002.67,0.00,270,74,30.3,1007.55,0.00,9.00,25.0,5.6
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.13,08-28-2019,10:00:00,1004.49,0.10,340,59,31.5,1007.74,0.00,12.00,22.4,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.96,08-28-2019,10:00:00,1007.05,0.00,240,66,31.1,1008.14,0.00,10.00,24.1,7.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.96,08-28-2019,10:00:00,1007.59,0.01,190,63,31.3,1007.88,0.00,10.00,23.5,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,27.85,08-28-2019,10:00:00,1007.25,0.00,240,61,31.3,1007.93,0.00,10.00,22.9,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.37,08-28-2019,10:00:00,1007.31,0.00,240,63,31.0,1007.80,0.00,10.00,23.2,5.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.71,08-28-2019,10:00:00,1006.88,0.01,260,62,30.8,1008.27,0.00,10.00,22.8,16.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.96,08-28-2019,10:00:00,1006.69,0.00,220,81,29.2,1008.36,0.00,12.00,25.7,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.91,08-28-2019,10:00:00,1002.01,0.10,270,68,30.0,1009.96,0.00,10.00,23.5,7.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.91,08-28-2019,10:00:00,1007.86,0.00,270,62,31.7,1008.14,0.00,12.00,23.5,9.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.07,08-28-2019,10:00:00,1005.19,0.00,100,63,31.5,1008.28,0.00,12.00,23.6,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.89,08-28-2019,10:00:00,1001.68,0.00,240,68,30.5,1008.55,0.00,12.00,24.0,9.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.92,08-28-2019,10:00:00,1002.47,0.01,300,65,31.5,1008.00,0.00,8.00,24.0,18.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.07,08-28-2019,10:00:00,1000.29,0.00,260,63,31.5,1009.49,0.00,10.00,23.6,11.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.35,08-28-2019,10:00:00,1007.64,0.00,340,64,31.5,1008.89,0.00,14.00,23.7,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.51,08-28-2019,10:00:00,1008.00,0.00,160,69,31.3,1008.42,0.00,11.00,24.9,7.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.67,08-28-2019,10:00:00,996.36,0.01,300,66,30.3,1008.50,0.00,9.00,23.3,5.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.09,08-28-2019,10:00:00,1007.75,0.00,100,66,30.8,1008.46,0.00,12.00,23.6,7.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.40,08-28-2019,10:00:00,1006.09,0.01,240,56,33.0,1008.48,0.00,10.00,23.2,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.31,08-28-2019,10:00:00,1008.02,0.01,260,71,30.0,1008.54,0.00,12.00,24.3,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.93,08-28-2019,10:00:00,1003.13,0.00,140,61,31.2,1008.22,0.00,15.00,22.9,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.38,08-28-2019,10:00:00,1008.06,0.00,000,74,30.6,1008.47,0.00,8.00,25.4,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.05,08-28-2019,10:00:00,1005.80,0.00,260,77,29.6,1008.55,0.00,8.00,25.2,11.1
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.55,08-28-2019,10:00:00,1008.44,0.00,270,65,30.0,1009.22,0.00,10.00,22.7,11.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.63,08-28-2019,10:00:00,1008.24,7.50,210,76,30.3,1008.70,0.00,8.00,25.5,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.77,08-28-2019,10:00:00,1009.05,1.10,260,73,29.3,1009.73,0.00,8.00,24.0,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.37,08-28-2019,10:00:00,1008.45,2.60,270,69,28.2,1009.98,0.00,9.00,22.0,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.27,08-28-2019,10:00:00,1009.84,18.00,180,84,26.6,1010.76,0.70,10.00,23.7,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.28,08-28-2019,10:00:00,1009.50,1.90,000,76,29.5,1010.18,0.00,10.00,24.8,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.95,08-28-2019,10:00:00,1009.67,1.50,240,85,28.0,1010.46,0.00,9.00,25.1,3.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.33,08-28-2019,10:00:00,1009.30,2.90,110,71,29.5,1009.93,0.00,10.00,23.7,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.33,08-28-2019,10:00:00,1009.81,4.20,240,79,29.8,1010.21,0.00,10.00,25.9,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.16,08-28-2019,10:00:00,1007.82,3.50,230,70,29.7,1012.01,0.00,6.00,23.6,9.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.90,08-28-2019,10:00:00,1008.98,5.40,000,80,27.8,1010.59,0.00,12.00,24.0,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.15,08-28-2019,10:00:00,1006.99,3.20,000,78,28.5,1010.46,0.00,10.00,24.2,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.17,08-28-2019,10:00:00,1008.95,1.20,300,81,27.8,1010.30,0.00,10.00,24.2,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,33.74,08-28-2019,10:00:00,1008.52,0.60,240,83,29.3,1009.40,0.00,10.00,26.1,7.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.67,08-28-2019,10:00:00,1008.06,10.90,000,77,29.9,1011.60,0.00,10.00,25.5,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.62,08-28-2019,10:00:00,1009.94,7.40,260,71,30.3,1010.37,0.00,10.00,24.4,7.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.30,08-28-2019,10:00:00,1009.18,0.60,270,68,30.2,1010.16,0.00,10.00,23.7,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,33.41,08-28-2019,10:00:00,1009.88,2.60,260,87,28.3,1010.69,0.00,10.00,25.9,18.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.59,08-28-2019,10:00:00,1009.06,4.40,000,84,27.3,1010.88,0.00,10.00,24.4,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.99,08-28-2019,10:00:00,1010.07,0.00,240,70,28.4,1010.82,0.00,12.00,22.3,7.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,28.72,08-28-2019,10:00:00,1007.17,0.80,990,72,28.9,1011.16,0.00,10.00,23.4,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.08,08-28-2019,10:00:00,1010.77,22.50,000,84,26.5,1011.45,0.00,10.00,23.6,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.32,08-28-2019,10:00:00,1009.66,0.00,000,74,29.3,1010.77,0.00,10.00,24.3,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.62,08-28-2019,10:00:00,1008.47,0.01,220,82,28.4,1011.39,0.00,11.00,25.0,11.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,29.96,08-28-2019,10:00:00,1009.64,2.90,180,82,27.4,1010.33,0.00,10.00,24.1,14.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.51,08-28-2019,10:00:00,1007.50,10.50,230,73,28.5,1011.62,0.10,10.00,23.2,7.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.82,08-28-2019,10:00:00,1010.35,0.00,290,64,29.9,1010.93,0.00,12.00,22.2,5.6
