WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,Rainfall24Hr,StationPressure,VaporPressure,DewPoint,MeanSeaLevelPressure,RelativeHumidity,LandVisibility,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-10-2019,13:00:00,0.0,93.60,968.66,33.21,25.8,999.19,90,8.00,27.5,30.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,08-10-2019,13:00:00,16.7,25.50,839.54,21.60,18.7,999.56,99,.10,18.9,3.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,010,08-10-2019,13:00:00,7.4,10.00,957.00,29.80,24.0,999.51,65,10.00,31.3,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,030,08-10-2019,13:00:00,5.6,4.80,954.98,29.70,23.9,999.47,68,15.00,30.4,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-10-2019,13:00:00,0.0,1.80,962.20,34.41,26.4,998.89,77,12.00,31.0,0.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,320,08-10-2019,13:00:00,3.7,8.30,955.03,33.21,25.8,999.08,77,8.00,30.3,0.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,300,08-10-2019,13:00:00,5.6,2.90,973.29,34.43,26.4,999.24,69,12.00,32.8,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-10-2019,13:00:00,0.0,18.50,978.93,33.20,25.8,1000.41,87,5.00,28.2,0.60
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-10-2019,13:00:00,0.0,7.60,974.66,32.06,25.2,998.13,69,8.00,31.7,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-10-2019,13:00:00,0.0,13.20,965.21,32.83,25.6,999.12,82,10.00,29.0,0.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-10-2019,13:00:00,0.0,30.90,972.34,32.55,25.5,999.42,81,10.00,29.0,18.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,290,08-10-2019,13:00:00,5.6,2.60,966.64,32.46,25.4,999.55,77,10.00,29.8,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,170,08-10-2019,13:00:00,5.6,22.60,980.84,33.24,25.8,999.07,85,3.00,28.5,13.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,340,08-10-2019,13:00:00,5.6,9.70,977.07,32.83,25.6,999.48,79,10.00,29.7,0.90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-10-2019,13:00:00,0.0,11.20,970.35,32.47,25.4,999.82,84,9.00,28.4,0.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-10-2019,13:00:00,0.0,7.70,964.59,32.55,25.5,999.51,81,6.00,29.0,0.30
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,140,08-10-2019,13:00:00,5.6,22.50,969.60,31.53,24.9,998.80,78,15.00,29.2,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,150,08-10-2019,13:00:00,13.0,9.70,992.44,33.00,25.7,999.63,80,8.00,29.5,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,180,08-10-2019,13:00:00,3.7,15.30,980.59,35.63,27.0,1000.22,90,4.00,28.8,4.10
48353,LOEI,เลย,เลย,17.45000,101.73333,160,08-10-2019,13:00:00,5.6,23.60,971.55,31.48,24.9,999.65,73,15.00,30.3,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,140,08-10-2019,13:00:00,5.6,2.20,980.34,34.77,26.6,1000.14,81,15.00,30.2,2.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,130,08-10-2019,13:00:00,7.4,9.60,979.38,32.67,25.5,1000.70,74,9.00,30.6,0.30
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,120,08-10-2019,13:00:00,9.3,39.70,981.44,32.93,25.7,1000.54,73,15.00,31.0,0.00
