WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,AirTemperature,MinimumTemperature,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,DewPoint,WindSpeed,Rainfall,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,4.20,09-15-2019,07:00:00,978.23,24.1,24.0,95,28.44,000,8.00,23.2,0.0,0.00,1009.41
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-15-2019,07:00:00,846.25,19.0,18.7,100,21.95,270,8.00,19.0,18.5,0.00,1007.49
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.50,09-15-2019,07:00:00,965.59,24.0,23.0,93,27.76,000,10.00,22.8,0.0,0.50,1009.55
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.20,09-15-2019,07:00:00,963.58,23.9,23.0,96,28.35,000,15.00,23.2,0.0,0.00,1009.46
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,42.20,09-15-2019,07:00:00,971.87,22.5,22.0,100,27.24,000,12.00,22.5,0.0,0.00,1010.01
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.00,09-15-2019,07:00:00,964.28,24.0,23.3,98,29.30,000,4.00,23.7,0.0,0.00,1009.72
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-15-2019,07:00:00,982.92,23.6,23.2,93,27.08,000,10.00,22.4,0.0,0.00,1009.95
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.20,09-15-2019,07:00:00,986.86,23.8,23.7,99,29.20,090,12.00,23.6,5.6,0.70,1008.84
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-15-2019,07:00:00,984.70,24.6,23.2,97,29.85,000,6.00,24.0,0.0,0.00,1008.98
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,09-15-2019,07:00:00,974.78,23.2,23.1,93,26.41,000,10.00,22.0,0.0,0.00,1009.71
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.60,09-15-2019,07:00:00,982.58,24.2,23.4,97,29.13,000,7.00,23.6,0.0,0.00,1010.39
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.50,09-15-2019,07:00:00,975.63,24.0,24.0,97,28.78,000,10.00,23.4,0.0,0.00,1009.51
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.30,09-15-2019,07:00:00,990.01,24.7,24.2,97,30.03,000,.80,24.1,0.0,0.00,1008.65
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-15-2019,07:00:00,986.34,25.3,24.6,88,28.23,000,10.00,23.1,0.0,0.00,1009.30
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-15-2019,07:00:00,978.33,24.0,23.8,94,28.01,000,10.00,23.0,0.0,0.00,1008.49
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.20,09-15-2019,07:00:00,973.15,23.0,22.4,96,27.07,000,8.00,22.4,0.0,0.00,1009.10
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-15-2019,07:00:00,979.01,23.3,22.8,98,28.08,000,1.50,23.0,0.0,0.00,1009.08
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-15-2019,07:00:00,1001.09,25.1,25.0,94,29.97,000,10.00,24.1,0.0,0.00,1008.45
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-15-2019,07:00:00,988.60,26.0,25.6,92,30.84,230,12.00,24.6,5.6,0.00,1008.58
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-15-2019,07:00:00,980.37,23.8,23.5,93,27.42,140,6.00,22.6,3.7,0.00,1009.36
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,16.90,09-15-2019,07:00:00,988.79,25.5,24.5,92,29.91,000,14.00,24.0,0.0,0.01,1009.08
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-15-2019,07:00:00,986.99,24.0,23.4,92,27.51,000,10.00,22.7,0.0,0.00,1008.96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-15-2019,07:00:00,988.91,25.7,24.0,89,29.48,180,15.00,23.8,3.7,0.00,1008.49
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-15-2019,07:00:00,992.20,25.1,23.5,91,28.92,000,10.00,23.5,0.0,0.00,1009.08
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-15-2019,07:00:00,991.60,24.0,21.5,94,28.01,000,6.00,23.0,0.0,0.00,1009.21
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,5.00,09-15-2019,07:00:00,982.49,24.8,24.6,95,29.69,000,15.00,23.9,0.0,5.00,1008.47
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.50,09-15-2019,07:00:00,1002.37,26.7,25.2,98,34.44,000,10.00,26.4,0.0,0.00,1008.16
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.60,09-15-2019,07:00:00,1001.99,25.5,25.1,98,32.07,000,12.00,25.2,0.0,0.60,1008.22
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-15-2019,07:00:00,993.05,25.0,24.0,92,29.00,000,12.00,23.5,0.0,0.00,1009.64
