WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,Rainfall,AirTemperature,WindSpeed,DewPoint,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall24Hr
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.84,09-03-2019,13:00:00,8.00,0.00,30.1,0.0,25.0,1006.93,74,000,31.64,11.40
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,988.64,09-03-2019,13:00:00,7.00,3.90,25.0,3.7,23.5,1003.37,92,080,29.00,41.30
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.92,09-03-2019,13:00:00,.10,0.20,19.3,9.3,19.1,1006.99,99,270,22.15,50.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.07,09-03-2019,13:00:00,10.00,0.00,29.5,0.0,25.5,1005.90,79,000,32.71,48.20
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.46,09-03-2019,13:00:00,8.00,0.00,30.5,3.7,24.8,1006.25,72,320,31.31,8.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.71,09-03-2019,13:00:00,10.00,0.00,30.0,9.3,25.8,1006.15,78,230,33.17,7.70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.69,09-03-2019,13:00:00,5.00,4.00,27.2,5.6,24.5,1007.99,85,350,30.67,24.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.52,09-03-2019,13:00:00,12.00,0.00,30.5,7.4,25.0,1007.52,72,230,31.60,3.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.57,09-03-2019,13:00:00,8.00,0.00,30.8,3.7,24.8,1006.37,71,320,31.35,10.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.39,09-03-2019,13:00:00,8.00,0.00,30.5,7.4,22.9,1006.14,64,270,27.95,1.50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.47,09-03-2019,13:00:00,10.00,0.00,30.3,16.7,23.5,1006.16,67,250,28.94,6.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.03,09-03-2019,13:00:00,6.00,0.00,29.6,3.7,25.5,1005.72,79,270,32.63,14.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.45,09-03-2019,13:00:00,8.00,0.01,27.4,5.6,23.9,1005.54,81,330,29.69,37.90
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,987.44,09-03-2019,13:00:00,5.00,14.60,24.7,7.4,24.3,1004.24,97,270,30.30,36.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,988.37,09-03-2019,13:00:00,8.00,16.50,24.6,11.1,23.9,1004.89,96,240,29.59,34.90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,983.44,09-03-2019,13:00:00,10.00,0.10,26.9,0.0,23.1,1005.26,80,000,28.23,31.90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.75,09-03-2019,13:00:00,6.00,0.01,26.4,18.5,22.9,1006.03,81,250,27.85,31.20
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,984.19,09-03-2019,13:00:00,2.00,2.60,26.2,7.4,24.9,1004.76,93,300,31.49,19.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,984.82,09-03-2019,13:00:00,2.00,11.20,24.0,13.0,24.0,1005.82,100,270,29.82,31.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.74,09-03-2019,13:00:00,10.00,0.00,29.5,11.1,24.8,1006.17,76,300,31.28,1.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.33,09-03-2019,13:00:00,8.00,0.90,28.0,0.0,26.0,1005.74,89,000,33.66,19.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1000.69,09-03-2019,13:00:00,8.00,10.00,26.6,0.0,26.2,1005.62,98,000,33.95,21.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.35,09-03-2019,13:00:00,12.00,0.00,31.0,3.7,22.5,1006.60,61,230,27.27,0.90
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.10,09-03-2019,13:00:00,10.00,0.00,30.1,11.1,24.2,1006.20,71,290,30.22,5.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.63,09-03-2019,13:00:00,10.00,0.00,31.2,13.0,23.9,1005.93,65,290,29.60,5.30
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.18,09-03-2019,13:00:00,10.00,0.00,31.3,0.0,24.9,1005.86,69,000,31.51,10.50
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.30,09-03-2019,13:00:00,10.00,0.00,30.6,9.3,24.9,1005.79,72,300,31.51,0.01
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.90,09-03-2019,13:00:00,10.00,0.20,30.3,24.1,24.0,1006.30,69,270,29.78,6.30
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.65,09-03-2019,13:00:00,10.00,0.00,30.4,9.3,24.9,1006.31,72,240,31.39,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.10,09-03-2019,13:00:00,10.00,0.00,28.0,3.7,24.4,1008.08,81,270,30.56,19.20
