WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,VaporPressure,DewPoint,RelativeHumidity,AirTemperature,Rainfall24Hr,LandVisibility,WindSpeed,MeanSeaLevelPressure,Rainfall,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,966.75,08-10-2019,16:00:00,31.24,24.8,90,26.5,97.90,7.00,5.6,997.32,4.30,320
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,838.34,08-10-2019,16:00:00,24.31,20.6,99,20.8,24.30,8.00,14.8,997.03,0.00,140
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,954.22,08-10-2019,16:00:00,31.72,25.0,60,33.9,10.00,10.00,5.6,996.24,0.00,160
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,952.70,08-10-2019,16:00:00,29.07,23.6,63,31.5,4.80,15.00,3.7,996.92,0.00,160
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,961.37,08-10-2019,16:00:00,33.02,25.7,94,26.7,15.30,12.00,0.0,998.57,13.50,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,953.50,08-10-2019,16:00:00,30.76,24.5,91,26.1,15.10,7.00,3.7,998.11,7.00,160
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,972.19,08-10-2019,16:00:00,33.37,25.9,88,28.0,3.20,10.00,0.0,998.52,2.00,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,976.21,08-10-2019,16:00:00,31.41,24.9,78,29.0,25.00,8.00,0.0,997.58,6.80,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,973.09,08-10-2019,16:00:00,35.06,26.7,94,27.7,12.50,4.00,0.0,996.83,5.10,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,963.46,08-10-2019,16:00:00,32.33,25.3,90,27.2,31.60,10.00,3.7,997.51,22.50,240
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,970.51,08-10-2019,16:00:00,32.13,25.2,78,29.5,43.80,10.00,0.0,997.49,14.30,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,963.91,08-10-2019,16:00:00,34.79,26.6,86,29.1,4.20,10.00,5.6,996.81,2.50,040
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,979.39,08-10-2019,16:00:00,35.07,26.7,91,28.4,28.50,8.00,1.9,997.60,12.50,090
48331,NAN,น่าน,น่าน,18.77972,100.77778,975.47,08-10-2019,16:00:00,32.73,25.5,90,27.4,21.70,10.00,0.0,998.01,15.40,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,968.53,08-10-2019,16:00:00,32.36,25.4,88,27.5,5.30,9.00,0.0,998.04,1.50,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,963.32,08-10-2019,16:00:00,32.36,25.4,88,27.5,19.50,7.00,0.0,998.36,12.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,968.91,08-10-2019,16:00:00,30.84,24.6,92,26.0,24.60,15.00,0.0,998.40,2.90,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,990.82,08-10-2019,16:00:00,32.92,25.6,76,30.3,2.90,8.00,0.0,997.98,0.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,979.07,08-10-2019,16:00:00,34.23,26.3,91,28.0,15.90,5.00,3.7,998.72,0.60,200
48353,LOEI,เลย,เลย,17.45000,101.73333,970.60,08-10-2019,16:00:00,30.46,24.3,92,25.8,23.90,15.00,0.0,999.10,0.80,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,978.75,08-10-2019,16:00:00,32.63,25.5,73,31.0,2.20,15.00,5.6,998.47,0.00,110
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,977.39,08-10-2019,16:00:00,32.69,25.5,69,32.0,8.30,15.00,5.6,998.57,0.00,170
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,979.30,08-10-2019,16:00:00,31.61,25.0,64,32.6,39.70,15.00,5.6,998.26,0.00,210
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,983.04,08-10-2019,16:00:00,30.73,24.5,65,31.9,6.60,12.00,1.9,999.38,0.00,120
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,982.69,08-10-2019,16:00:00,30.73,24.5,68,31.2,18.40,12.00,5.6,999.72,0.00,140
