WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,RelativeHumidity,VaporPressure,AirTemperature,DewPoint,Rainfall24Hr,Rainfall
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.98,09-05-2019,01:00:00,1005.44,000,0.0,8.00,88,29.50,26.0,23.8,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,983.72,09-05-2019,01:00:00,1006.27,000,0.0,8.00,96,28.09,23.6,23.0,11.70,9.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.10,09-05-2019,01:00:00,1006.44,270,14.8,10.00,69,25.92,27.8,21.7,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.08,09-05-2019,01:00:00,1005.39,000,0.0,8.00,73,27.22,27.8,22.5,0.30,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.58,09-05-2019,01:00:00,1005.81,000,0.0,10.00,94,32.63,26.5,25.5,0.80,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.90,09-05-2019,01:00:00,1004.11,000,0.0,10.00,89,29.66,25.8,23.9,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.32,09-05-2019,01:00:00,1005.67,000,0.0,10.00,94,31.08,25.7,24.7,0.01,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.65,09-05-2019,01:00:00,1004.49,090,3.7,5.00,96,28.53,24.0,23.3,1.10,1.10
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.67,09-05-2019,01:00:00,1005.23,000,0.0,5.00,92,29.91,25.5,24.0,17.70,3.20
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,987.66,09-05-2019,01:00:00,1003.56,250,3.7,10.00,97,29.67,24.5,23.9,34.90,0.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.80,09-05-2019,01:00:00,1003.79,000,0.0,6.00,96,28.88,24.2,23.5,1.60,1.60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.26,09-05-2019,01:00:00,1009.12,000,0.0,5.00,94,25.52,22.5,21.4,4.70,1.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.65,09-05-2019,01:00:00,1005.61,150,3.7,7.00,91,31.71,26.6,25.0,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.17,09-05-2019,01:00:00,1007.62,190,11.1,1.00,96,23.18,20.5,19.9,2.70,0.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.03,09-05-2019,01:00:00,1005.14,000,0.0,5.00,99,29.56,24.0,23.8,31.60,1.70
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.09,09-05-2019,01:00:00,1006.12,200,5.6,9.00,84,28.90,26.4,23.5,1.80,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,996.34,09-05-2019,01:00:00,1007.05,000,0.0,6.00,84,27.82,25.8,22.8,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.55,09-05-2019,01:00:00,1006.48,180,7.4,7.00,79,27.15,26.3,22.4,0.10,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.32,09-05-2019,01:00:00,1005.21,240,3.7,10.00,80,26.88,26.0,22.3,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.95,09-05-2019,01:00:00,1004.75,180,3.7,8.00,97,28.78,24.0,23.4,33.70,5.30
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.60,09-05-2019,01:00:00,1004.88,000,0.0,10.00,98,29.30,24.0,23.7,20.70,5.40
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,990.74,09-05-2019,01:00:00,1004.84,210,7.4,10.00,96,30.32,25.0,24.3,95.30,1.90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,990.23,09-05-2019,01:00:00,1005.14,000,0.0,5.00,97,30.30,24.7,24.3,84.70,5.30
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,989.52,09-05-2019,01:00:00,1004.24,300,5.6,3.00,99,31.58,25.1,24.9,96.90,7.50
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.28,09-05-2019,01:00:00,1006.31,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,10.00,90,30.67,26.2,24.5,8.50,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.67,09-05-2019,01:00:00,1005.61,000,0.0,7.00,90,31.55,26.8,24.9,0.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.91,09-05-2019,01:00:00,1007.02,200,7.4,8.00,89,32.05,27.2,25.2,0.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.10,09-05-2019,01:00:00,1003.78,000,0.0,5.00,96,32.20,26.0,25.3,92.50,2.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.14,09-05-2019,01:00:00,1008.84,280,13.0,.05,100,21.14,18.4,18.4,5.80,2.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.65,09-05-2019,01:00:00,1006.53,180,3.7,10.00,83,28.92,26.7,23.5,0.20,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.53,09-05-2019,01:00:00,1007.33,230,5.6,8.00,78,28.61,27.4,23.3,0.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.67,09-05-2019,01:00:00,1007.12,230,14.8,10.00,75,28.95,28.3,23.5,0.20,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.52,09-05-2019,01:00:00,1008.96,000,0.0,3.00,97,28.61,23.9,23.3,17.80,5.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.13,09-05-2019,01:00:00,1007.14,230,3.7,10.00,81,29.13,27.1,23.6,0.01,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.01,09-05-2019,01:00:00,1006.84,170,3.7,7.00,80,27.86,26.7,22.9,0.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.60,09-05-2019,01:00:00,1007.37,000,0.0,4.00,73,26.86,27.6,22.3,0.60,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.94,09-05-2019,01:00:00,1007.64,230,7.4,10.00,78,27.80,27.1,22.8,0.20,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.37,09-05-2019,01:00:00,1007.07,000,0.0,7.00,94,33.34,27.0,25.9,1.30,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.47,09-05-2019,01:00:00,1005.65,270,7.4,10.00,82,28.01,26.2,23.0,1.50,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,988.74,09-05-2019,01:00:00,1005.52,000,0.0,7.00,91,29.28,25.3,23.7,34.40,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.28,09-05-2019,01:00:00,1005.80,000,0.0,6.00,92,29.00,25.0,23.5,29.70,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,983.96,09-05-2019,01:00:00,1005.90,000,0.0,10.00,88,28.59,25.5,23.3,10.60,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.44,09-05-2019,01:00:00,1006.96,230,33.3,10.00,85,26.94,25.0,22.3,0.20,0.20
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,984.87,09-05-2019,01:00:00,1005.47,220,5.6,10.00,80,26.88,26.0,22.3,16.20,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,985.58,09-05-2019,01:00:00,1006.50,240,11.1,8.00,94,30.34,25.3,24.3,7.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.44,09-05-2019,01:00:00,1007.87,240,7.4,10.00,78,29.09,27.8,23.6,0.10,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.49,09-05-2019,01:00:00,1006.92,000,0.0,6.00,95,30.79,25.4,24.5,1.40,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.88,09-05-2019,01:00:00,1006.84,000,0.0,7.00,96,31.06,25.4,24.7,2.50,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.07,09-05-2019,01:00:00,1007.37,000,0.0,10.00,82,28.29,26.5,23.1,1.30,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.61,09-05-2019,01:00:00,1007.72,000,0.0,10.00,92,30.84,26.0,24.6,0.30,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.36,09-05-2019,01:00:00,1007.66,140,5.6,10.00,78,28.90,27.7,23.5,0.20,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.91,09-05-2019,01:00:00,1007.40,000,0.0,10.00,85,30.67,27.2,24.5,0.30,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.00,09-05-2019,01:00:00,1007.41,240,11.1,10.00,83,30.61,27.6,24.4,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.19,09-05-2019,01:00:00,1009.26,000,0.0,10.00,95,30.42,25.2,24.3,1.50,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.91,09-05-2019,01:00:00,1007.19,000,0.0,10.00,82,30.72,27.8,24.5,0.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.38,09-05-2019,01:00:00,1007.51,320,5.6,10.00,91,32.10,26.8,25.2,0.70,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1000.87,09-05-2019,01:00:00,1007.81,250,11.1,10.00,81,29.13,27.1,23.6,3.60,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.53,09-05-2019,01:00:00,1007.14,260,7.4,10.00,87,29.60,26.2,23.9,14.70,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.62,09-05-2019,01:00:00,1008.06,000,0.0,11.00,89,30.22,26.1,24.2,2.80,0.90
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.99,09-05-2019,01:00:00,1008.36,000,0.0,10.00,94,29.25,24.7,23.7,2.80,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.25,09-05-2019,01:00:00,1007.96,000,0.0,10.00,83,29.29,26.9,23.7,0.20,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.41,09-05-2019,01:00:00,1007.84,250,11.1,10.00,80,29.33,27.5,23.7,3.90,0.20
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.37,09-05-2019,01:00:00,1007.88,270,13.0,10.00,81,30.56,28.0,24.4,2.10,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.63,09-05-2019,01:00:00,1007.80,240,3.7,8.00,87,30.16,26.5,24.2,1.80,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.53,09-05-2019,01:00:00,1007.95,210,5.6,7.00,92,31.79,26.5,25.1,26.60,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.38,09-05-2019,01:00:00,1008.17,000,0.0,8.00,96,30.32,25.0,24.3,66.70,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.43,09-05-2019,01:00:00,1009.22,000,0.0,10.00,86,28.97,26.0,23.5,5.30,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.41,09-05-2019,01:00:00,1007.87,270,7.4,6.00,84,30.02,27.0,24.1,105.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.04,09-05-2019,01:00:00,1009.74,000,0.0,7.00,98,29.12,23.9,23.6,49.50,16.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.43,09-05-2019,01:00:00,1008.97,270,11.1,7.00,94,28.89,24.5,23.5,27.40,15.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.53,09-05-2019,01:00:00,1009.46,000,0.0,10.00,94,29.25,24.7,23.7,65.90,9.80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.72,09-05-2019,01:00:00,1009.41,200,7.4,10.00,84,30.78,27.4,24.5,0.30,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.02,09-05-2019,01:00:00,1009.82,000,0.0,6.00,97,30.58,25.0,24.4,0.90,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.96,09-05-2019,01:00:00,1008.60,000,0.0,10.00,93,30.44,25.5,24.3,0.30,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.50,09-05-2019,01:00:00,1008.90,000,0.0,10.00,94,30.15,25.2,24.2,1.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.97,09-05-2019,01:00:00,1011.24,000,0.0,5.00,96,28.53,24.0,23.3,16.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.21,09-05-2019,01:00:00,1009.83,000,0.0,10.00,98,30.38,24.6,24.3,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.78,09-05-2019,01:00:00,1010.28,000,0.0,10.00,93,30.63,25.6,24.4,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.83,09-05-2019,01:00:00,1009.19,000,0.0,8.00,93,31.19,25.9,24.7,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.14,09-05-2019,01:00:00,1010.03,000,0.0,10.00,91,32.10,26.8,25.2,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.95,09-05-2019,01:00:00,1009.54,000,0.0,10.00,96,30.32,25.0,24.3,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.95,09-05-2019,01:00:00,1009.39,000,0.0,10.00,92,32.77,27.0,25.6,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.89,09-05-2019,01:00:00,1009.88,220,5.6,10.00,79,30.70,28.5,24.5,0.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.78,09-05-2019,01:00:00,1009.60,100,5.6,10.00,92,30.28,25.7,24.2,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.84,09-05-2019,01:00:00,1009.66,000,0.0,10.00,93,30.63,25.6,24.4,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.59,09-05-2019,01:00:00,1009.34,220,3.7,8.00,85,30.67,27.2,24.5,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.01,09-05-2019,01:00:00,1010.03,000,0.0,4.00,96,32.20,26.0,25.3,0.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.43,09-05-2019,01:00:00,1010.12,000,0.0,10.00,92,32.77,27.0,25.6,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.82,09-05-2019,01:00:00,1009.94,000,0.0,10.00,91,31.52,26.5,24.9,0.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.86,09-05-2019,01:00:00,1009.79,000,0.0,10.00,91,30.57,26.0,24.4,0.00,0.00
