WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,RelativeHumidity,VaporPressure,AirTemperature,DewPoint,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.39,09-05-2019,01:00:00,1006.29,000,0.0,10.00,92,30.65,25.9,24.4,0.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.29,09-05-2019,01:00:00,1004.92,200,3.7,8.00,96,21.63,19.4,18.8,0.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.23,09-05-2019,01:00:00,1004.79,270,3.7,12.00,86,27.89,25.4,22.9,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.50,09-05-2019,01:00:00,1005.10,000,0.0,12.00,91,28.11,24.5,23.0,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.84,09-05-2019,01:00:00,1005.48,000,0.0,6.00,97,30.96,25.2,24.6,0.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.82,09-05-2019,01:00:00,1004.74,000,0.0,10.00,93,31.11,26.0,24.7,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.92,09-05-2019,01:00:00,1005.65,000,0.0,7.00,93,30.63,25.6,24.4,0.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.00,09-05-2019,01:00:00,1005.79,000,0.0,12.00,88,28.59,25.5,23.3,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.11,09-05-2019,01:00:00,1007.31,000,0.0,6.00,93,29.70,25.1,23.9,8.40,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.57,09-05-2019,01:00:00,1006.05,000,0.0,10.00,88,29.50,26.0,23.8,5.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.10,09-05-2019,01:00:00,1006.69,000,0.0,10.00,96,31.25,25.5,24.8,2.80,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.19,09-05-2019,01:00:00,1005.68,000,0.0,10.00,92,31.41,26.3,24.9,2.10,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.29,09-05-2019,01:00:00,1004.77,000,0.0,10.00,94,32.04,26.2,25.2,0.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,981.86,09-05-2019,01:00:00,1004.60,000,0.0,10.00,92,32.18,26.7,25.3,0.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.35,09-05-2019,01:00:00,1005.16,000,0.0,6.00,88,30.43,26.5,24.3,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.87,09-05-2019,01:00:00,1005.45,000,0.0,6.00,96,30.32,25.0,24.3,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,973.85,09-05-2019,01:00:00,1003.57,000,0.0,12.00,97,30.96,25.2,24.6,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.93,09-05-2019,01:00:00,1005.23,000,0.0,9.00,90,31.55,26.8,24.9,0.01,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.65,09-05-2019,01:00:00,1004.62,200,11.1,8.00,97,30.58,25.0,24.4,45.80,45.80
48353,LOEI,เลย,เลย,17.45000,101.73333,975.44,09-05-2019,01:00:00,1004.01,000,0.0,12.00,84,29.08,26.5,23.6,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.57,09-05-2019,01:00:00,1004.87,190,3.7,12.00,92,28.02,24.3,23.0,3.90,3.50
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.27,09-05-2019,01:00:00,1005.10,000,0.0,6.00,94,29.25,24.7,23.7,18.20,2.80
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,984.38,09-05-2019,01:00:00,1003.97,000,0.0,7.00,97,29.49,24.4,23.8,15.10,4.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,987.33,09-05-2019,01:00:00,1004.17,300,1.9,7.00,97,29.31,24.3,23.7,44.70,10.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,986.96,09-05-2019,01:00:00,1004.48,000,0.0,8.00,97,29.22,24.1,23.7,59.90,7.30
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.43,09-05-2019,01:00:00,1004.27,080,7.4,5.00,93,29.89,25.2,24.0,4.20,2.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.81,09-05-2019,01:00:00,1005.59,000,0.0,10.00,83,29.85,27.2,24.0,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.81,09-05-2019,01:00:00,1005.98,000,0.0,10.00,84,31.36,27.7,24.8,0.00,0.00
