WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,Rainfall24Hr,VaporPressure,DewPoint,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,MinimumTemperature,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,08-16-2019,07:00:00,000,0.40,30.07,24.1,0.0,1005.37,974.43,0.20,24.2,8.00,25.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,100,08-16-2019,07:00:00,330,29.10,21.14,18.4,18.5,1003.48,842.58,6.60,18.0,.90,18.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,91,08-16-2019,07:00:00,180,6.60,27.86,22.9,5.6,1003.60,959.97,0.00,24.1,10.00,24.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,08-16-2019,07:00:00,000,5.50,28.53,23.3,0.0,1003.74,958.12,0.00,22.6,10.00,24.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,99,08-16-2019,07:00:00,000,21.50,29.03,23.5,0.0,1006.38,968.52,0.00,23.5,7.00,23.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,97,08-16-2019,07:00:00,130,15.90,29.04,23.6,3.7,1004.59,959.38,0.30,23.5,5.00,24.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,95,08-16-2019,07:00:00,000,14.40,28.79,23.4,0.0,1005.20,978.36,0.30,23.9,6.00,24.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,92,08-16-2019,07:00:00,000,0.00,30.46,24.3,0.0,1004.80,983.05,0.00,25.6,12.00,25.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,08-16-2019,07:00:00,000,0.80,29.00,23.5,0.0,1006.64,982.45,0.00,24.0,8.00,25.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,92,08-16-2019,07:00:00,000,0.50,29.00,23.5,0.0,1005.26,970.70,0.01,24.9,10.00,25.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,92,08-16-2019,07:00:00,000,0.00,29.91,24.0,0.0,1004.96,977.42,0.00,25.1,10.00,25.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,94,08-16-2019,07:00:00,000,0.00,30.15,24.2,0.0,1004.81,971.22,0.00,25.0,10.00,25.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,97,08-16-2019,07:00:00,170,8.40,29.93,24.1,3.7,1005.50,986.90,8.00,24.4,2.00,24.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,97,08-16-2019,07:00:00,000,15.90,29.22,23.7,0.0,1004.99,982.04,1.00,23.9,5.00,24.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,95,08-16-2019,07:00:00,000,12.00,27.75,22.8,0.0,1005.27,975.18,1.00,23.6,6.00,23.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,08-16-2019,07:00:00,000,0.00,29.41,23.8,0.0,1004.94,969.32,0.00,24.5,6.00,24.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,97,08-16-2019,07:00:00,000,5.20,29.04,23.6,0.0,1003.66,973.82,0.00,23.7,10.00,24.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,93,08-16-2019,07:00:00,000,0.01,31.38,24.8,0.0,1004.78,997.47,0.00,25.9,8.00,26.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,89,08-16-2019,07:00:00,200,1.20,30.89,24.6,9.3,1003.56,983.72,0.00,26.2,11.00,26.6
48353,LOEI,เลย,เลย,17.45000,101.73333,94,08-16-2019,07:00:00,000,6.70,28.89,23.5,0.0,1003.97,975.20,0.00,24.2,7.00,24.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,88,08-16-2019,07:00:00,220,0.40,30.62,24.4,5.6,1003.90,983.78,0.00,26.1,12.00,26.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,86,08-16-2019,07:00:00,210,4.70,30.18,24.2,5.6,1004.67,983.00,0.00,25.5,10.00,26.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,90,08-16-2019,07:00:00,180,7.30,31.35,24.8,3.7,1004.36,984.92,0.00,24.9,10.00,26.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,96,08-16-2019,07:00:00,000,12.60,30.32,24.3,0.0,1005.25,988.43,5.30,24.7,10.00,25.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,96,08-16-2019,07:00:00,000,62.50,32.01,25.2,0.0,1005.50,988.06,1.80,23.3,11.00,25.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,92,08-16-2019,07:00:00,000,0.20,29.91,24.0,0.0,1003.28,977.49,0.00,25.3,12.00,25.5
