WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,WindDirection,Rainfall24Hr,AirTemperature,StationPressure,VaporPressure,MeanSeaLevelPressure,Rainfall,WindSpeed,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.2,09-21-2019,13:00:00,70,120,4.40,31.3,976.85,32.10,1007.24,0.00,3.7,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,09-21-2019,13:00:00,92,120,2.20,20.3,847.21,21.99,1007.87,0.00,24.1,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.1,09-21-2019,13:00:00,59,040,0.00,32.1,965.51,28.30,1008.29,0.00,7.4,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.3,09-21-2019,13:00:00,61,000,0.00,31.8,963.52,28.54,1008.19,0.00,0.0,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.4,09-21-2019,13:00:00,66,000,0.00,31.5,970.34,30.49,1007.28,0.00,0.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.0,09-21-2019,13:00:00,71,280,7.00,31.0,963.93,31.76,1008.28,0.00,5.6,9.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.9,09-21-2019,13:00:00,57,180,0.00,33.5,982.36,29.70,1008.49,0.00,7.4,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.7,09-21-2019,13:00:00,75,200,17.10,28.6,987.50,29.24,1009.14,2.60,9.3,9.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.7,09-21-2019,13:00:00,61,000,2.20,32.3,983.33,29.26,1006.97,0.00,0.0,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.1,09-21-2019,13:00:00,76,120,1.20,27.8,974.66,28.28,1009.03,1.00,5.6,5.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.8,09-21-2019,13:00:00,69,000,12.60,31.2,980.87,31.31,1007.99,0.00,0.0,1.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.5,09-21-2019,13:00:00,91,270,41.30,24.0,975.43,27.25,1009.30,13.30,3.7,8.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.5,09-21-2019,13:00:00,83,260,15.10,28.6,989.39,32.59,1007.78,6.00,7.4,5.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.0,09-21-2019,13:00:00,56,120,1.40,32.8,985.65,28.00,1008.03,0.00,7.4,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.9,09-21-2019,13:00:00,58,000,0.60,32.2,978.86,27.94,1008.22,0.00,0.0,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.0,09-21-2019,13:00:00,71,000,1.40,30.8,973.46,31.64,1008.48,0.00,0.0,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.4,09-21-2019,13:00:00,71,080,2.00,29.2,978.82,28.75,1008.29,0.00,5.6,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.3,09-21-2019,13:00:00,59,000,0.00,33.4,1000.87,30.37,1008.03,0.00,0.0,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.3,09-21-2019,13:00:00,59,110,0.00,33.4,988.82,30.37,1008.32,0.00,14.8,8.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.0,09-21-2019,13:00:00,62,120,5.70,31.3,980.15,28.12,1008.40,0.00,9.3,8.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.9,09-21-2019,13:00:00,58,080,0.00,32.2,988.72,27.94,1008.56,0.00,16.7,9.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.1,09-21-2019,13:00:00,58,060,5.20,31.2,987.10,26.56,1008.54,0.00,9.3,7.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.1,09-21-2019,13:00:00,56,030,5.50,31.9,988.75,26.53,1007.94,0.00,11.1,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,21.0,09-21-2019,13:00:00,49,050,1.30,33.2,991.96,24.92,1008.39,0.00,7.4,11.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.8,09-21-2019,13:00:00,66,050,0.10,31.0,991.58,29.48,1008.78,0.00,5.6,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.5,09-21-2019,13:00:00,62,000,0.00,31.6,982.06,28.99,1007.45,0.00,0.0,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.7,09-21-2019,13:00:00,69,000,32.00,33.1,1002.28,35.10,1007.95,0.00,0.0,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.5,09-21-2019,13:00:00,68,260,20.40,33.2,1001.82,34.71,1007.89,0.00,7.4,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.5,09-21-2019,13:00:00,60,000,5.80,32.3,992.25,28.98,1008.42,0.00,0.0,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.7,09-21-2019,13:00:00,73,000,12.00,30.0,984.27,31.15,1006.35,3.70,0.0,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.6,09-21-2019,13:00:00,79,280,3.40,29.7,994.93,32.83,1009.22,0.00,7.4,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.7,09-21-2019,13:00:00,75,000,3.30,28.5,992.79,29.33,1009.12,0.00,0.0,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.9,09-21-2019,13:00:00,94,140,11.50,28.0,1003.81,35.40,1009.03,7.70,11.1,5.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,22.9,09-21-2019,13:00:00,55,000,20.30,33.0,993.22,27.84,1006.14,0.00,0.0,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.3,09-21-2019,13:00:00,60,180,14.30,32.0,998.74,28.66,1007.92,0.00,3.7,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.3,09-21-2019,13:00:00,60,080,2.50,32.1,986.86,28.58,1008.21,0.00,14.8,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.9,09-21-2019,13:00:00,66,090,9.50,32.0,990.46,31.52,1007.69,0.00,13.0,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.2,09-21-2019,13:00:00,59,040,7.20,32.3,991.95,28.41,1007.52,0.00,11.1,11.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.3,09-21-2019,13:00:00,64,040,30.20,31.9,988.70,30.44,1007.28,0.00,3.7,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.4,09-21-2019,13:00:00,72,000,11.40,28.0,958.31,27.06,1009.26,0.00,0.0,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.8,09-21-2019,13:00:00,65,000,4.00,32.2,1003.90,31.35,1007.80,0.00,0.0,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,09-21-2019,13:00:00,79,080,1.80,24.8,914.30,24.61,1008.54,0.01,14.8,3.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,23.8,09-21-2019,13:00:00,63,100,17.50,31.7,991.92,29.47,1007.67,0.00,7.4,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.5,09-21-2019,13:00:00,78,190,23.00,29.7,1004.99,32.54,1009.00,0.01,7.4,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.4,09-21-2019,13:00:00,88,350,62.00,27.5,998.62,32.36,1009.30,3.20,5.6,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.9,09-21-2019,13:00:00,78,330,12.50,29.2,1006.88,31.53,1008.80,0.30,7.4,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.1,09-21-2019,13:00:00,62,020,16.60,31.2,987.17,28.20,1007.76,0.00,11.1,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.1,09-21-2019,13:00:00,58,080,24.80,31.5,989.97,26.59,1007.38,0.00,18.5,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.2,09-21-2019,13:00:00,58,000,20.10,32.6,991.47,28.45,1007.34,0.00,0.0,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.8,09-21-2019,13:00:00,70,070,44.50,29.9,993.91,29.55,1007.82,0.30,3.7,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.5,09-21-2019,13:00:00,70,000,59.00,30.5,993.39,30.74,1008.06,0.00,0.0,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.9,09-21-2019,13:00:00,89,000,36.60,26.9,994.44,31.46,1009.15,1.90,0.0,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.7,09-21-2019,13:00:00,74,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.80,29.8,1005.64,31.03,1008.63,0.01,0.0,10.00
