WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,DewPoint,WindSpeed,LandVisibility,StationPressure,MinimumTemperature,WindDirection,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.50,08-05-2019,07:00:00,29.07,999.71,94,23.6,0.0,4.00,968.88,22.6,000,24.6,16.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,9.80,08-05-2019,07:00:00,20.75,999.05,100,18.1,3.7,.10,838.72,17.9,130,18.1,67.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.50,08-05-2019,07:00:00,27.24,1001.00,95,22.5,7.4,8.00,957.32,22.5,120,23.4,75.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.00,08-05-2019,07:00:00,27.57,1000.65,98,22.7,0.0,5.00,955.03,22.6,000,23.0,76.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,9.40,08-05-2019,07:00:00,28.07,1002.93,100,23.0,0.0,4.00,965.11,22.5,000,23.0,88.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1.10,08-05-2019,07:00:00,27.74,1001.55,98,22.8,7.4,5.00,956.35,22.5,130,23.1,62.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.70,08-05-2019,07:00:00,28.34,1002.90,97,23.2,0.0,5.00,976.06,23.2,000,23.6,103.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,6.30,08-05-2019,07:00:00,28.86,1001.70,97,23.5,0.0,5.00,979.89,23.7,000,23.9,18.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,2.80,08-05-2019,07:00:00,29.16,1000.58,93,23.6,0.0,6.00,976.52,22.5,000,24.8,9.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.20,08-05-2019,07:00:00,28.53,1001.01,96,23.3,0.0,5.00,966.47,23.9,000,24.0,16.90
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.20,08-05-2019,07:00:00,28.42,1001.81,98,23.2,0.0,7.00,974.18,23.0,000,23.5,45.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,3.50,08-05-2019,07:00:00,28.43,1000.79,97,23.2,0.0,8.00,967.18,23.7,000,23.8,18.50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.40,08-05-2019,07:00:00,28.43,1001.56,97,23.2,1.9,5.00,982.99,23.5,270,23.8,17.30
48331,NAN,น่าน,น่าน,18.77972,100.77778,2.20,08-05-2019,07:00:00,28.60,1002.37,98,23.3,0.0,7.00,979.44,23.1,000,23.6,60.40
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,2.00,08-05-2019,07:00:00,27.66,1002.69,96,22.8,0.0,6.00,972.66,23.0,000,23.5,57.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,13.60,08-05-2019,07:00:00,27.66,1001.58,96,22.8,0.0,3.00,965.96,23.0,000,23.5,27.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.20,08-05-2019,07:00:00,28.60,1002.65,98,23.3,0.0,8.00,972.80,23.2,000,23.6,9.60
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,3.40,08-05-2019,07:00:00,29.41,1002.54,96,23.8,0.0,6.00,995.21,24.2,000,24.5,17.70
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-05-2019,07:00:00,32.37,1003.67,97,25.4,3.7,15.00,983.78,25.3,120,25.8,5.30
48353,LOEI,เลย,เลย,17.45000,101.73333,0.01,08-05-2019,07:00:00,27.42,1003.31,93,22.6,0.0,12.00,974.50,23.4,000,23.8,6.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-05-2019,07:00:00,29.91,1003.62,92,24.0,0.0,10.00,983.43,24.2,000,25.5,0.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-05-2019,07:00:00,29.00,1004.59,92,23.5,0.0,12.00,982.79,23.7,000,25.0,1.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-05-2019,07:00:00,30.23,1003.86,95,24.2,0.0,12.00,984.33,24.0,000,25.1,2.40
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-05-2019,07:00:00,29.62,1004.57,92,23.9,1.9,10.00,987.77,24.2,100,25.2,12.80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-05-2019,07:00:00,30.32,1004.97,96,24.3,0.0,10.00,987.49,23.2,000,25.0,13.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-05-2019,07:00:00,29.00,1001.88,92,23.5,3.7,12.00,976.08,24.7,090,25.0,0.30
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1.00,08-05-2019,07:00:00,31.39,1002.01,99,24.8,5.6,6.00,996.21,22.6,180,25.0,14.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1.80,08-05-2019,07:00:00,30.83,1002.46,99,24.5,0.0,6.00,996.25,24.2,000,24.7,13.70
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-05-2019,07:00:00,28.11,1003.73,91,23.0,0.0,10.00,987.22,23.2,000,24.5,3.80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.90,08-05-2019,07:00:00,25.85,1001.07,83,21.6,9.3,10.00,978.73,22.8,180,24.8,54.20
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.80,08-05-2019,07:00:00,29.31,1002.21,97,23.7,0.0,5.00,987.77,23.8,000,24.3,13.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,4.30,08-05-2019,07:00:00,29.41,1001.30,96,23.8,0.0,6.00,984.88,23.8,000,24.5,9.70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1.00,08-05-2019,07:00:00,29.26,1002.43,92,23.7,5.6,10.00,997.19,24.3,190,25.0,6.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-05-2019,07:00:00,29.41,1002.04,96,23.8,0.0,10.00,988.80,24.2,000,24.5,15.70
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.20,08-05-2019,07:00:00,29.95,1002.02,96,24.1,3.7,9.00,992.68,24.5,190,24.8,4.70
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-05-2019,07:00:00,26.72,1003.58,79,22.2,7.4,9.00,981.91,25.4,200,26.2,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-05-2019,07:00:00,28.04,1004.05,80,23.0,13.0,12.00,986.60,25.2,240,26.8,0.01
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-05-2019,07:00:00,29.50,1003.99,88,23.8,0.0,10.00,988.16,25.2,000,26.0,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-05-2019,07:00:00,30.59,1002.86,89,24.4,3.7,10.00,984.02,25.7,180,26.3,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.30,08-05-2019,07:00:00,25.03,1002.96,85,21.1,0.0,8.00,951.62,21.7,000,23.7,13.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.01,08-05-2019,07:00:00,28.93,1002.35,89,23.5,13.0,7.00,998.39,24.7,110,25.4,0.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.30,08-05-2019,07:00:00,22.05,1002.15,92,19.1,29.6,6.00,907.21,19.6,250,20.5,29.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.40,08-05-2019,07:00:00,29.89,1003.82,93,24.0,0.0,8.00,987.79,24.5,000,25.2,0.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.10,08-05-2019,07:00:00,30.50,1002.33,96,24.4,3.7,8.00,998.29,24.5,180,25.1,0.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.20,08-05-2019,07:00:00,29.79,1004.51,94,24.0,0.0,9.00,993.80,24.3,000,25.0,14.30
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-05-2019,07:00:00,29.00,1003.21,92,23.5,9.3,8.00,1001.27,24.2,180,25.0,1.80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-05-2019,07:00:00,27.45,1003.25,87,22.6,0.0,10.00,982.33,23.2,000,25.0,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-05-2019,07:00:00,28.67,1003.51,88,23.3,0.0,10.00,985.82,24.6,000,25.4,0.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-05-2019,07:00:00,28.87,1003.46,87,23.5,9.3,10.00,987.29,25.4,190,25.8,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-05-2019,07:00:00,28.97,1004.64,86,23.5,0.0,10.00,990.59,25.2,000,26.0,2.40
