WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,LandVisibility,AirTemperature,DewPoint,WindDirection,StationPressure,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.19,09-24-2019,22:00:00,0.00,12.00,25.0,22.5,000,983.51,86,1014.76,0.0,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.32,09-24-2019,22:00:00,0.00,8.00,19.0,15.3,120,852.32,79,1014.72,11.1,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.56,09-24-2019,22:00:00,0.00,12.00,23.8,19.4,000,971.76,77,1016.04,0.0,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.39,09-24-2019,22:00:00,0.00,12.00,23.0,20.7,000,970.03,87,1016.37,0.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.10,09-24-2019,22:00:00,0.00,6.00,24.2,21.2,000,978.25,83,1016.42,0.0,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.00,09-24-2019,22:00:00,0.00,10.00,25.0,23.5,000,970.91,92,1016.50,0.0,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.73,09-24-2019,22:00:00,0.00,8.00,25.6,22.8,000,989.48,85,1016.50,0.0,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.52,09-24-2019,22:00:00,0.00,8.00,25.0,23.8,100,993.26,93,1015.29,1.9,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.22,09-24-2019,22:00:00,0.00,8.00,25.0,23.1,000,990.87,89,1015.27,0.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.89,09-24-2019,22:00:00,0.50,10.00,26.5,24.0,000,980.45,86,1015.19,0.0,0.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.08,09-24-2019,22:00:00,0.00,10.00,26.5,23.6,000,989.39,84,1017.17,0.0,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.18,09-24-2019,22:00:00,0.00,10.00,26.8,24.2,000,980.46,86,1014.19,0.0,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.60,09-24-2019,22:00:00,0.00,6.00,27.5,23.9,000,996.23,81,1014.81,0.0,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.59,09-24-2019,22:00:00,0.00,10.00,27.3,24.4,000,992.64,84,1015.59,0.0,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.07,09-24-2019,22:00:00,0.00,9.00,25.5,23.0,000,985.69,86,1015.91,0.0,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.15,09-24-2019,22:00:00,0.00,77.00,25.2,24.2,000,978.58,94,1014.45,0.0,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.87,09-24-2019,22:00:00,0.00,3.00,22.2,20.3,000,985.39,89,1015.77,0.0,0.00
