WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,Rainfall,LandVisibility,AirTemperature,WindDirection,RelativeHumidity,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,VaporPressure,DewPoint
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-22-2019,01:00:00,5.6,0.00,7.00,25.7,080,85,1010.87,994.75,10.50,27.90,22.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-22-2019,01:00:00,0.0,7.40,6.00,25.5,000,97,1010.90,1006.83,37.30,31.52,24.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-22-2019,01:00:00,0.0,0.00,7.00,25.0,000,96,1011.44,1000.65,47.10,30.32,24.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-22-2019,01:00:00,0.0,4.70,4.00,25.4,000,92,1011.27,1009.32,21.00,29.99,24.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-22-2019,01:00:00,0.0,2.60,10.00,25.1,000,91,1010.73,989.66,4.10,28.92,23.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-22-2019,01:00:00,11.1,0.00,10.00,26.3,070,78,1010.30,992.54,3.60,26.64,22.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-22-2019,01:00:00,0.0,0.00,10.00,26.5,000,80,1010.40,994.17,3.00,27.77,22.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-22-2019,01:00:00,0.0,0.00,10.00,25.8,000,89,1010.10,995.97,14.50,29.66,23.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-22-2019,01:00:00,0.0,0.00,9.00,25.9,000,94,1008.83,993.92,9.80,31.46,24.9
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-22-2019,01:00:00,0.0,0.00,6.00,26.0,000,97,1010.97,996.20,52.20,32.48,25.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-22-2019,01:00:00,0.0,6.00,7.00,25.5,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",97,1010.34,1007.29,16.40,31.52,24.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-22-2019,01:00:00,0.0,0.00,7.00,26.4,000,91,1010.52,1002.53,2.80,31.33,24.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-22-2019,01:00:00,0.0,1.90,7.00,25.4,000,95,1010.23,1009.12,6.40,30.79,24.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-22-2019,01:00:00,5.6,0.00,8.00,26.8,090,86,1007.34,992.64,0.00,30.18,24.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-22-2019,01:00:00,5.6,0.40,4.00,19.3,050,97,1011.12,875.50,25.40,21.71,18.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-22-2019,01:00:00,0.0,0.00,10.00,25.2,000,90,1010.59,1004.66,14.20,28.83,23.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-22-2019,01:00:00,0.0,0.00,8.00,25.8,000,97,1010.00,1009.19,41.40,32.37,25.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-22-2019,01:00:00,0.0,0.00,10.00,27.5,000,81,1008.61,1008.17,41.90,29.60,23.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-22-2019,01:00:00,0.0,12.30,3.00,24.2,000,97,1010.59,999.14,24.70,29.13,23.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-22-2019,01:00:00,0.0,0.01,6.00,26.0,000,98,1010.36,1009.34,16.00,33.04,25.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-22-2019,01:00:00,0.0,0.00,7.00,25.5,000,97,1010.42,1008.58,88.90,31.79,25.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-22-2019,01:00:00,0.0,0.00,5.00,24.7,000,96,1010.02,1009.25,12.90,29.77,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-22-2019,01:00:00,0.0,1.00,8.00,25.6,000,97,1009.97,1009.26,33.60,31.98,25.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-22-2019,01:00:00,0.0,0.80,9.00,24.1,000,97,1010.44,989.01,33.70,28.96,23.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-22-2019,01:00:00,0.0,0.70,7.00,24.4,000,96,1010.44,993.52,8.00,29.23,23.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-22-2019,01:00:00,3.7,0.40,6.00,24.2,090,94,1011.09,994.45,4.70,28.36,23.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-22-2019,01:00:00,0.0,3.20,10.00,24.4,000,97,1010.32,988.21,39.80,29.49,23.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-22-2019,01:00:00,5.6,1.30,6.00,23.5,040,96,1010.82,966.92,5.70,27.92,22.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-22-2019,01:00:00,0.0,18.40,6.00,23.8,000,100,1009.88,989.05,46.80,29.46,23.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-22-2019,01:00:00,7.4,0.00,7.00,24.6,060,100,1011.82,990.74,21.60,30.91,24.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-22-2019,01:00:00,3.7,0.00,10.00,25.5,350,96,1009.88,1009.45,9.80,31.25,24.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-22-2019,01:00:00,0.0,0.00,6.00,25.2,000,97,1009.74,1008.31,31.80,31.22,24.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-22-2019,01:00:00,0.0,0.00,7.00,25.2,000,98,1009.91,1004.93,8.10,31.49,24.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-22-2019,01:00:00,0.0,0.40,10.00,25.0,000,96,1010.26,1006.94,32.90,30.32,24.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-22-2019,01:00:00,0.0,1.70,3.00,25.6,000,99,1010.13,1009.02,15.60,32.53,25.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-22-2019,01:00:00,3.7,0.30,7.00,25.8,220,97,1010.17,1009.87,39.90,32.09,25.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-22-2019,01:00:00,0.0,0.10,10.00,25.5,000,98,1010.13,1009.63,19.60,32.07,25.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-22-2019,01:00:00,3.7,0.00,8.00,25.8,320,99,1010.12,1008.70,6.40,32.92,25.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-22-2019,01:00:00,0.0,0.00,10.00,25.0,000,98,1011.09,1003.00,3.40,31.12,24.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-22-2019,01:00:00,0.0,35.70,6.00,25.2,000,98,1009.61,1009.33,42.50,31.49,24.9
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-22-2019,01:00:00,0.0,3.20,10.00,27.5,000,88,1009.73,1006.59,50.90,32.36,25.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-22-2019,01:00:00,5.6,3.60,10.00,25.0,270,96,1010.03,1003.03,22.60,30.32,24.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-22-2019,01:00:00,0.0,0.00,7.00,25.6,000,97,1009.81,1004.17,28.90,31.98,25.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-22-2019,01:00:00,0.0,0.00,10.00,25.2,000,98,1010.75,1009.48,3.00,31.49,24.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-22-2019,01:00:00,0.0,0.00,11.00,25.4,000,96,1009.78,1009.34,12.50,31.06,24.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-22-2019,01:00:00,0.0,3.50,8.00,24.3,000,97,1010.21,997.81,42.60,29.57,23.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-22-2019,01:00:00,0.0,1.90,9.00,25.0,000,98,1009.84,1009.12,35.50,31.12,24.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-22-2019,01:00:00,0.0,0.00,10.00,26.5,000,86,1008.62,1006.18,6.40,29.89,24.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-22-2019,01:00:00,0.0,0.40,8.00,26.0,000,89,1010.59,1010.07,2.80,30.03,24.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-22-2019,01:00:00,0.0,0.70,7.00,25.2,000,94,1009.94,1004.74,3.30,30.15,24.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-22-2019,01:00:00,0.0,15.00,5.00,25.3,000,97,1010.05,1009.63,69.10,31.14,24.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-22-2019,01:00:00,0.0,3.20,8.00,25.2,000,98,1010.28,1007.48,34.90,31.49,24.9
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-22-2019,01:00:00,0.0,0.80,6.00,25.3,000,93,1010.42,1009.63,5.10,30.07,24.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-22-2019,01:00:00,5.6,0.00,6.00,25.0,080,96,1009.99,1009.53,12.20,30.32,24.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-22-2019,01:00:00,0.0,0.00,8.00,26.0,000,92,1009.92,1009.23,1.20,30.84,24.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-22-2019,01:00:00,0.0,0.00,7.00,25.0,000,92,1009.86,1008.32,5.60,29.00,23.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-22-2019,01:00:00,0.0,0.00,10.00,24.9,000,90,1010.44,1009.51,2.20,28.30,23.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-22-2019,01:00:00,0.0,0.00,10.00,25.3,000,96,1010.21,1009.52,1.70,30.87,24.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-22-2019,01:00:00,0.0,0.00,7.00,24.8,000,95,1010.74,1009.93,0.00,29.69,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-22-2019,01:00:00,0.0,0.00,10.00,25.3,000,95,1009.72,1009.08,0.20,30.60,24.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-22-2019,01:00:00,0.0,0.00,10.00,25.6,000,95,1009.04,1008.63,0.10,31.17,24.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-22-2019,01:00:00,0.0,0.00,5.00,24.5,000,96,1012.07,1007.81,15.40,29.41,23.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-22-2019,01:00:00,0.0,0.00,7.00,25.0,000,94,1009.39,1007.76,0.00,29.79,24.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-22-2019,01:00:00,0.0,0.00,6.00,25.4,000,94,1009.96,1006.46,0.70,30.52,24.4
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-22-2019,01:00:00,0.0,0.00,8.00,25.0,000,98,1009.35,1007.98,0.60,31.12,24.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-22-2019,01:00:00,0.0,0.00,10.00,25.7,000,94,1009.77,1008.88,0.00,31.08,24.7
