WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,DewPoint,RelativeHumidity,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-11-2019,13:00:00,12.00,0.0,6.50,34.16,0.00,26.3,70,32.4,000,968.22,998.24
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-11-2019,13:00:00,.10,9.3,23.30,21.87,0.00,18.9,99,19.1,100,840.66,1000.78
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-11-2019,13:00:00,12.00,13.0,6.10,30.98,2.40,24.6,67,31.6,120,957.58,1000.07
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-11-2019,13:00:00,15.00,7.4,11.20,29.78,0.00,24.0,69,30.3,150,955.69,1000.23
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-11-2019,13:00:00,8.00,5.6,22.50,33.04,0.01,25.7,85,28.4,190,964.95,1002.07
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-11-2019,13:00:00,10.00,9.3,11.30,31.86,0.00,25.1,80,28.8,130,957.43,1001.82
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-11-2019,13:00:00,7.00,0.0,24.20,33.01,3.30,25.7,90,27.4,000,975.93,1002.41
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-11-2019,13:00:00,12.00,5.6,49.20,27.05,0.00,22.4,58,31.6,210,980.27,1001.54
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-11-2019,13:00:00,8.00,0.0,21.30,29.98,0.00,24.1,76,28.7,000,977.24,1001.01
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-11-2019,13:00:00,10.00,5.6,31.40,30.31,0.00,24.3,71,30.0,170,967.43,1001.30
