WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,WindSpeed,Rainfall24Hr,WindDirection,MaximumTemperature,LandVisibility,VaporPressure,AirTemperature,MeanSeaLevelPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-20-2019,19:00:00,975.36,23.9,0.0,1.40,000,32.2,12.00,29.74,28.0,1006.05,79
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-20-2019,19:00:00,845.62,18.7,7.4,2.20,120,20.5,8.00,21.60,18.9,1006.80,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-20-2019,19:00:00,963.30,22.8,0.0,0.00,000,31.5,10.00,27.80,29.7,1006.31,67
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-20-2019,19:00:00,961.51,24.4,0.0,0.00,000,31.5,12.00,30.56,28.0,1006.67,81
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-20-2019,19:00:00,970.18,25.7,0.0,4.40,000,31.5,7.00,32.96,28.5,1007.49,85
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-20-2019,19:00:00,962.66,24.3,0.0,1.50,000,31.3,11.00,30.43,26.5,1007.63,88
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-20-2019,19:00:00,980.74,26.1,0.0,0.20,000,34.3,10.00,33.81,31.0,1007.04,75
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-20-2019,19:00:00,986.06,25.8,0.0,5.80,000,31.7,13.00,33.17,27.9,1007.72,88
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-20-2019,19:00:00,983.77,25.0,0.0,2.20,000,33.5,8.00,31.65,26.0,1007.92,94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.20,09-20-2019,19:00:00,972.93,23.9,3.7,0.20,150,34.2,10.00,29.70,26.4,1007.41,86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-20-2019,19:00:00,980.05,24.8,0.0,12.70,000,31.5,10.00,31.25,25.5,1007.66,96
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.10,09-20-2019,19:00:00,974.22,24.7,0.0,28.00,000,32.5,10.00,31.11,26.0,1007.82,93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-20-2019,19:00:00,987.97,25.9,1.9,0.20,210,35.0,15.00,33.50,29.6,1006.27,81
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-20-2019,19:00:00,983.77,25.8,0.0,2.20,000,33.9,10.00,33.21,30.3,1006.28,77
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-20-2019,19:00:00,977.19,25.6,0.0,0.00,000,33.4,10.00,32.79,28.7,1006.84,83
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.20,09-20-2019,19:00:00,971.83,24.7,0.0,1.20,000,31.6,7.00,31.17,25.6,1007.41,95
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.20,09-20-2019,19:00:00,977.37,24.4,3.7,17.90,270,33.0,8.00,30.48,26.1,1007.10,90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-20-2019,19:00:00,999.26,25.2,0.0,0.00,000,36.8,9.00,31.97,30.4,1006.47,74
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-20-2019,19:00:00,987.24,25.9,0.0,0.00,000,34.0,10.00,33.48,31.4,1006.84,73
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-20-2019,19:00:00,978.22,20.2,3.7,18.00,180,33.9,12.00,23.72,27.7,1006.76,64
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-20-2019,19:00:00,986.96,24.0,3.7,0.60,100,33.3,12.00,29.83,29.9,1006.93,71
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.20,09-20-2019,19:00:00,986.79,25.0,0.0,5.20,000,32.8,10.00,31.63,26.7,1008.55,90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.10,09-20-2019,19:00:00,988.00,25.2,0.0,5.50,000,32.6,10.00,31.99,26.6,1007.50,92
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-20-2019,19:00:00,991.52,24.3,0.0,4.70,000,34.0,12.00,30.31,28.3,1008.21,79
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-20-2019,19:00:00,991.04,23.9,0.0,0.10,000,33.0,10.00,29.71,27.7,1008.42,80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-20-2019,19:00:00,981.78,23.6,0.0,13.60,000,32.7,12.00,29.19,28.0,1007.46,77
