WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure,DewPoint,Rainfall24Hr,StationPressure,Rainfall
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-20-2019,04:00:00,000,82,0.0,1005.56,10.00,26.8,28.84,23.4,0.00,1004.85,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-20-2019,04:00:00,190,82,11.1,1005.92,10.00,28.3,31.70,25.0,0.00,1003.49,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-20-2019,04:00:00,250,83,9.3,1006.01,10.00,29.0,33.41,25.9,0.00,1005.49,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-20-2019,04:00:00,000,86,0.0,1005.51,9.00,27.6,31.72,25.0,0.00,1000.38,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-20-2019,04:00:00,000,95,0.0,1005.79,7.00,26.6,33.10,25.7,26.30,1005.38,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-20-2019,04:00:00,000,98,0.0,1005.96,8.00,26.3,33.35,25.9,30.40,1003.19,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-20-2019,04:00:00,000,81,0.0,1006.35,10.00,26.4,27.85,22.9,0.30,1005.56,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-20-2019,04:00:00,040,98,3.7,1006.28,5.00,25.0,31.12,24.7,150.00,1005.82,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-20-2019,04:00:00,000,97,0.0,1006.35,6.00,24.7,30.03,24.1,45.40,1005.67,0.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-20-2019,04:00:00,240,95,9.3,1006.77,8.00,24.4,28.97,23.5,98.60,1005.23,1.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-20-2019,04:00:00,210,96,3.7,1007.87,7.00,24.5,29.41,23.8,116.10,1006.94,4.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-20-2019,04:00:00,270,83,9.3,1006.75,10.00,27.3,30.04,24.1,0.00,1006.06,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-20-2019,04:00:00,150,98,1.9,1007.52,6.00,24.2,29.66,23.9,14.30,1006.71,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-20-2019,04:00:00,000,97,0.0,1006.75,10.00,25.3,31.41,24.9,0.90,1006.12,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-20-2019,04:00:00,000,96,0.0,1007.05,8.00,24.5,29.41,23.8,0.01,1006.64,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-20-2019,04:00:00,000,96,0.0,1008.87,6.00,24.5,29.41,23.8,0.01,1004.62,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-20-2019,04:00:00,000,98,0.0,1007.39,5.00,24.2,29.66,23.9,12.40,1005.77,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-20-2019,04:00:00,000,96,0.0,1008.11,8.00,24.0,28.53,23.3,4.00,1004.60,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-20-2019,04:00:00,000,97,0.0,1006.57,7.00,24.7,30.30,24.3,5.90,1005.20,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-20-2019,04:00:00,000,100,0.0,1006.90,10.00,24.5,30.73,24.5,94.20,1006.01,0.60
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-20-2019,04:00:00,000,98,0.0,1007.25,10.00,23.9,29.12,23.6,107.00,1003.66,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-20-2019,04:00:00,000,96,0.0,1006.73,10.00,25.5,31.25,24.8,11.20,1006.30,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-20-2019,04:00:00,000,94,0.0,1006.46,8.00,24.7,29.25,23.7,60.20,1005.46,1.20
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-20-2019,04:00:00,080,96,5.6,1006.62,10.00,25.4,31.06,24.7,90.60,1005.80,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-20-2019,04:00:00,000,97,0.0,1007.21,7.00,24.6,30.12,24.2,16.00,1005.38,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-20-2019,04:00:00,000,92,0.0,1006.99,8.00,26.2,31.22,24.8,0.00,1006.23,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-20-2019,04:00:00,000,96,0.0,1007.36,5.00,25.2,30.69,24.5,0.20,1003.34,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-20-2019,04:00:00,000,92,0.0,1006.96,10.00,25.5,29.91,24.0,2.60,1006.27,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-20-2019,04:00:00,000,90,0.0,1006.90,10.00,26.2,30.67,24.5,0.00,1005.79,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-20-2019,04:00:00,000,97,0.0,1007.30,10.00,24.2,29.13,23.6,0.00,1004.36,0.00
