WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,VaporPressure,WindDirection,StationPressure,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,DewPoint,AirTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,84,10-07-2019,10:00:00,0.0,27.64,000,983.28,3.20,0.00,1014.46,22.7,25.7,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,95,10-07-2019,10:00:00,11.1,24.14,200,852.88,0.00,0.00,1014.03,20.5,21.3,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,71,10-07-2019,10:00:00,5.6,26.52,030,970.59,0.00,0.00,1014.23,22.1,27.7,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,77,10-07-2019,10:00:00,0.0,26.82,000,968.85,0.00,0.00,1014.55,22.2,26.7,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,80,10-07-2019,10:00:00,0.0,28.67,000,977.07,0.90,0.00,1014.83,23.3,27.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,88,10-07-2019,10:00:00,0.0,27.27,000,969.58,2.50,0.00,1015.17,22.5,24.6,5.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,77,10-07-2019,10:00:00,5.6,27.90,220,988.11,3.00,0.00,1014.94,22.9,27.3,9.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,73,10-07-2019,10:00:00,11.1,28.81,330,991.74,3.00,0.00,1013.46,23.4,28.8,8.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,73,10-07-2019,10:00:00,0.0,26.06,000,990.43,0.90,0.00,1014.66,21.8,27.0,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,70,10-07-2019,10:00:00,3.7,26.71,010,979.82,16.50,0.00,1014.35,22.2,28.1,12.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,84,10-07-2019,10:00:00,0.0,27.29,000,986.75,0.10,0.00,1014.56,22.5,25.5,7.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,84,10-07-2019,10:00:00,0.0,27.29,000,980.65,0.00,0.00,1014.52,22.5,25.5,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,74,10-07-2019,10:00:00,0.0,29.74,000,994.99,0.00,0.00,1013.46,23.9,29.0,5.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,75,10-07-2019,10:00:00,0.0,27.47,000,992.18,0.00,0.00,1015.10,22.6,27.5,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,78,10-07-2019,10:00:00,0.0,26.99,000,984.59,0.00,0.00,1014.69,22.3,26.5,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,83,10-07-2019,10:00:00,0.0,27.56,000,978.66,0.00,0.00,1014.47,22.7,25.8,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,65,10-07-2019,10:00:00,0.0,27.55,000,983.23,0.00,0.00,1012.76,22.7,30.0,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,67,10-07-2019,10:00:00,0.0,27.42,000,1005.91,0.00,0.00,1013.20,22.6,29.5,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,68,10-07-2019,10:00:00,11.1,28.91,330,993.49,5.80,0.00,1013.30,23.5,30.0,8.00
48353,LOEI,เลย,เลย,17.45000,101.73333,66,10-07-2019,10:00:00,5.6,26.78,240,984.69,0.00,0.00,1013.26,22.2,29.3,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,59,10-07-2019,10:00:00,7.4,25.25,020,993.22,0.00,0.00,1013.29,21.3,30.2,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,55,10-07-2019,10:00:00,5.6,23.35,050,991.31,1.20,0.00,1012.94,20.0,30.0,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,55,10-07-2019,10:00:00,11.1,23.52,030,993.44,0.01,0.00,1012.83,20.1,30.1,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,54,10-07-2019,10:00:00,0.0,23.71,000,996.23,9.00,0.00,1012.87,20.2,30.5,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,54,10-07-2019,10:00:00,0.0,23.36,000,995.66,0.00,0.00,1012.97,20.0,30.3,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,60,10-07-2019,10:00:00,9.3,25.42,050,986.97,0.00,0.00,1012.62,21.4,30.0,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,69,10-07-2019,10:00:00,5.6,31.19,090,1006.71,0.00,0.00,1012.45,24.7,31.0,8.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,65,10-07-2019,10:00:00,0.0,29.40,000,1006.92,0.00,0.00,1013.07,23.8,31.1,9.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,57,10-07-2019,10:00:00,0.0,25.39,000,996.95,0.00,0.00,1013.27,21.3,31.0,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,78,10-07-2019,10:00:00,3.7,29.85,300,988.88,0.00,0.00,1011.20,24.0,28.2,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,74,10-07-2019,10:00:00,0.0,30.13,000,999.45,0.00,0.00,1013.83,24.2,29.2,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,64,10-07-2019,10:00:00,0.0,28.15,000,996.48,0.00,0.00,1012.76,23.0,30.6,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,60,10-07-2019,10:00:00,9.3,26.73,010,1007.95,0.00,0.00,1013.14,22.2,31.0,12.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,61,10-07-2019,10:00:00,5.6,27.54,330,998.59,0.00,0.00,1011.67,22.7,31.0,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,77,10-07-2019,10:00:00,0.0,32.26,000,1003.71,8.70,0.00,1013.00,25.3,29.7,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,58,10-07-2019,10:00:00,11.1,24.36,040,991.00,0.00,0.00,1012.61,20.7,29.7,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,65,10-07-2019,10:00:00,0.0,28.50,000,995.27,0.00,0.00,1012.67,23.2,30.5,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,60,10-07-2019,10:00:00,14.8,26.73,050,996.28,0.00,0.00,1011.98,22.2,31.0,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,66,10-07-2019,10:00:00,3.7,27.71,010,993.27,0.01,0.00,1012.07,22.8,29.8,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,78,10-07-2019,10:00:00,0.0,25.02,000,962.61,0.00,0.00,1014.28,21.1,25.2,9.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,72,10-07-2019,10:00:00,0.0,31.11,000,1008.78,0.00,0.00,1012.71,24.7,30.4,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,90,10-07-2019,10:00:00,9.3,23.95,090,918.12,1.70,0.00,1013.65,20.4,22.1,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,64,10-07-2019,10:00:00,7.4,25.89,080,996.25,0.00,0.00,1012.20,21.7,29.1,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,76,10-07-2019,10:00:00,3.7,29.90,090,1009.11,0.30,0.00,1013.15,24.0,28.8,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,64,10-07-2019,10:00:00,7.4,25.99,090,1002.79,0.00,0.00,1013.45,21.7,29.3,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,68,10-07-2019,10:00:00,9.3,27.96,100,1011.51,0.30,0.00,1013.44,22.9,29.5,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,59,10-07-2019,10:00:00,9.3,24.89,050,991.60,4.40,0.00,1012.37,21.0,30.0,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,68,10-07-2019,10:00:00,14.8,27.03,060,994.61,33.80,0.00,1012.25,22.4,29.0,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,66,10-07-2019,10:00:00,9.3,27.71,090,995.80,13.70,0.00,1011.89,22.8,29.8,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,70,10-07-2019,10:00:00,0.0,29.16,000,998.00,0.00,0.00,1011.98,23.6,29.7,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,71,10-07-2019,10:00:00,0.0,30.31,000,997.33,0.00,0.00,1012.09,24.3,30.0,12.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,75,10-07-2019,10:00:00,7.4,30.92,150,998.27,0.00,0.00,1012.90,24.6,29.6,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,76,10-07-2019,10:00:00,0.0,28.65,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1009.50,0.80,0.00,1012.53,23.3,28.0,9.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,63,10-07-2019,10:00:00,7.4,25.83,010,1004.46,0.00,0.00,1012.39,21.6,29.5,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,68,10-07-2019,10:00:00,3.7,29.30,080,1011.37,0.60,0.00,1012.48,23.7,30.2,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,75,10-07-2019,10:00:00,0.0,29.33,000,997.67,14.50,0.00,1012.36,23.7,28.5,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,77,10-07-2019,10:00:00,7.4,21.24,150,877.41,3.20,0.00,1011.74,18.5,22.6,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,78,10-07-2019,10:00:00,3.7,28.80,250,1007.15,0.00,0.00,1013.06,23.4,27.5,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,67,10-07-2019,10:00:00,5.6,29.93,070,1011.62,0.00,0.00,1012.42,24.1,30.8,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,71,10-07-2019,10:00:00,5.6,30.03,120,1011.54,6.10,0.00,1011.99,24.1,30.0,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,85,10-07-2019,10:00:00,0.0,31.05,000,1001.55,0.60,0.00,1012.91,24.7,27.4,7.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,73,10-07-2019,10:00:00,3.7,29.38,050,1011.88,0.80,0.00,1012.89,23.7,29.1,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,66,10-07-2019,10:00:00,3.7,27.82,050,1010.96,5.20,0.00,1012.77,22.8,30.0,7.00
