WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,RelativeHumidity,AirTemperature,DewPoint,WindDirection,Rainfall,LandVisibility,WindSpeed,MeanSeaLevelPressure,VaporPressure
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.40,07-28-2019,10:00:00,0.60,84,26.4,23.5,210,0.60,9.00,3.7,1011.94,28.90
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1012.29,07-28-2019,10:00:00,27.00,93,24.3,23.1,000,27.00,8.00,0.0,1013.22,28.28
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.48,07-28-2019,10:00:00,0.00,69,31.0,24.6,270,0.00,10.00,9.3,1011.16,30.90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.96,07-28-2019,10:00:00,0.01,69,31.0,24.6,270,0.00,10.00,5.6,1011.75,30.90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.10,07-28-2019,10:00:00,19.00,66,31.0,23.8,000,0.00,10.00,0.0,1010.73,29.48
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.63,07-28-2019,10:00:00,0.00,66,31.0,23.8,000,0.00,12.00,0.0,1011.03,29.48
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.89,07-28-2019,10:00:00,0.00,63,30.5,22.8,280,0.00,8.00,7.4,1013.08,27.68
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.03,07-28-2019,10:00:00,0.00,60,31.0,22.2,000,0.00,10.00,0.0,1009.63,26.73
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.89,07-28-2019,10:00:00,0.00,72,30.5,24.8,220,0.00,12.00,5.6,1011.34,31.31
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.15,07-28-2019,10:00:00,17.80,76,29.2,24.6,120,0.00,10.00,11.1,1011.50,30.96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.59,07-28-2019,10:00:00,1.60,90,26.2,24.5,330,1.60,5.00,14.8,1011.48,30.67
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.86,07-28-2019,10:00:00,0.00,77,29.3,24.9,000,0.00,10.00,0.0,1011.41,31.45
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.89,07-28-2019,10:00:00,0.00,66,31.0,23.8,000,0.00,10.00,0.0,1011.32,29.48
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.81,07-28-2019,10:00:00,0.00,68,31.0,24.3,300,0.00,10.00,7.4,1010.80,30.33
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.81,07-28-2019,10:00:00,0.00,70,30.0,24.0,270,0.00,10.00,14.8,1011.62,29.75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.68,07-28-2019,10:00:00,0.00,66,30.9,23.9,230,0.00,10.00,5.6,1011.48,29.56
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.00,07-28-2019,10:00:00,0.50,66,30.9,23.7,260,0.00,12.00,11.1,1011.75,29.28
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.59,07-28-2019,10:00:00,0.00,70,30.4,24.4,990,0.00,10.00,7.4,1011.56,30.54
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.51,07-28-2019,10:00:00,1.50,72,30.5,24.8,000,0.00,10.00,0.0,1012.18,31.31
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.21,07-28-2019,10:00:00,17.00,66,30.9,23.9,180,0.00,10.00,5.6,1011.31,29.56
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.86,07-28-2019,10:00:00,0.00,63,31.3,23.5,270,0.00,12.00,9.3,1011.75,28.96
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.02,07-28-2019,10:00:00,9.90,74,30.4,25.2,000,0.00,10.00,0.0,1010.70,31.97
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.41,07-28-2019,10:00:00,0.00,68,31.0,24.4,220,0.00,10.00,5.6,1011.49,30.61
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.72,07-28-2019,10:00:00,17.60,69,31.0,24.6,110,0.00,12.00,11.1,1011.30,30.90
