WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,AirTemperature,WindDirection,RelativeHumidity,VaporPressure,LandVisibility,DewPoint,StationPressure,MeanSeaLevelPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.80,09-15-2019,04:00:00,4.20,24.1,000,92,27.68,7.00,22.8,976.79,1007.93,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-15-2019,04:00:00,0.00,19.4,280,97,21.84,8.00,18.9,845.61,1006.49,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-15-2019,04:00:00,31.40,23.3,000,94,26.83,10.00,22.2,964.42,1008.43,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.20,09-15-2019,04:00:00,10.40,23.0,000,95,26.58,10.00,22.1,962.50,1008.48,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,42.20,09-15-2019,04:00:00,42.20,22.5,000,100,27.24,6.00,22.5,969.45,1007.50,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-15-2019,04:00:00,0.00,24.4,000,91,27.69,7.00,22.8,982.02,1008.94,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,4.00,09-15-2019,04:00:00,6.50,23.7,080,94,27.50,14.00,22.7,985.94,1007.91,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-15-2019,04:00:00,0.00,25.0,000,96,30.32,6.00,24.3,983.77,1008.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-15-2019,04:00:00,0.30,23.5,000,95,27.41,10.00,22.6,974.35,1009.22,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-15-2019,04:00:00,0.60,24.5,000,96,29.41,10.00,23.8,981.13,1008.86,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-15-2019,04:00:00,28.50,24.0,000,97,28.78,10.00,23.4,974.75,1008.60,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-15-2019,04:00:00,0.30,24.6,170,96,29.59,10.00,23.9,988.84,1007.47,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-15-2019,04:00:00,0.20,25.9,000,93,30.92,10.00,24.6,985.20,1008.08,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-15-2019,04:00:00,0.00,25.4,000,91,29.46,6.00,23.8,976.35,1006.30,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-15-2019,04:00:00,6.20,24.4,000,95,28.97,7.00,23.5,972.35,1008.10,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-15-2019,04:00:00,0.20,22.8,000,98,27.24,6.00,22.5,977.36,1007.44,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-15-2019,04:00:00,0.00,25.0,000,96,30.32,10.00,24.3,999.55,1006.90,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-15-2019,04:00:00,0.00,26.0,000,92,30.84,10.00,24.6,988.09,1008.06,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-15-2019,04:00:00,0.70,23.7,000,92,27.00,8.00,22.3,979.44,1008.41,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,16.70,09-15-2019,04:00:00,16.90,25.7,350,96,31.63,4.00,25.0,987.49,1007.74,11.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-15-2019,04:00:00,0.00,24.2,000,97,29.13,10.00,23.6,986.10,1008.03,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-15-2019,04:00:00,0.00,25.3,000,92,29.80,10.00,24.0,987.65,1007.24,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-15-2019,04:00:00,0.00,24.3,000,91,27.51,10.00,22.7,991.26,1008.17,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-15-2019,04:00:00,0.00,23.7,000,90,26.25,8.00,21.9,990.32,1007.93,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-15-2019,04:00:00,0.00,25.7,000,94,31.08,10.00,24.7,980.80,1006.66,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-15-2019,04:00:00,0.50,26.5,000,99,34.32,10.00,26.4,1002.08,1007.88,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-15-2019,04:00:00,0.00,26.0,000,96,32.20,10.00,25.3,1000.09,1006.30,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-15-2019,04:00:00,0.00,25.5,000,88,28.59,10.00,23.3,991.20,1007.73,0.0
