WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,AirTemperature,DewPoint,WindSpeed,StationPressure,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,WindDirection,VaporPressure
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,64,07-31-2019,10:00:00,0.00,30.2,22.6,18.5,1007.08,0.00,10.00,1007.87,270,27.39
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,59,07-31-2019,10:00:00,0.00,32.0,23.0,14.8,1007.10,0.00,10.00,1007.54,230,28.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,66,07-31-2019,10:00:00,0.00,28.1,21.2,5.6,997.18,0.50,8.00,1008.46,040,25.16
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,64,07-31-2019,10:00:00,0.00,30.7,23.0,3.7,1006.29,0.00,10.00,1007.29,240,28.06
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,54,07-31-2019,10:00:00,0.00,32.0,21.7,9.3,1005.27,0.00,10.00,1007.06,250,25.91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,60,07-31-2019,10:00:00,0.00,31.2,22.4,0.0,1006.30,0.00,9.00,1007.06,000,27.11
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,61,07-31-2019,10:00:00,0.00,30.9,22.6,20.4,1007.13,0.00,10.00,1007.82,270,27.35
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,61,07-31-2019,10:00:00,0.00,31.6,23.0,9.3,1006.45,0.00,10.00,1007.14,270,28.15
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,60,07-31-2019,10:00:00,0.00,30.3,21.7,3.7,985.21,0.00,10.00,1006.12,250,25.96
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,70,07-31-2019,10:00:00,0.00,29.0,23.0,9.3,989.17,2.00,9.00,1005.75,240,28.10
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,69,07-31-2019,10:00:00,0.00,28.8,22.6,5.6,989.90,2.00,8.00,1006.22,270,27.46
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,54,07-31-2019,10:00:00,0.00,30.7,20.3,18.5,984.53,4.00,10.00,1006.10,300,23.80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,61,07-31-2019,10:00:00,0.00,28.3,20.1,18.5,963.84,0.00,10.00,1006.89,230,23.48
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,55,07-31-2019,10:00:00,0.00,30.2,20.0,18.5,985.78,0.00,12.00,1006.11,240,23.44
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,84,07-31-2019,10:00:00,0.00,27.2,24.3,14.8,986.73,3.20,9.00,1007.54,260,30.39
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,59,07-31-2019,10:00:00,0.00,31.2,22.2,16.7,1007.14,0.00,11.00,1007.57,280,26.83
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,68,07-31-2019,10:00:00,0.00,29.6,23.0,3.7,1005.43,0.00,11.00,1006.84,250,28.15
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,62,07-31-2019,10:00:00,0.00,31.1,23.0,7.4,1002.02,0.00,9.00,1006.89,260,28.01
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,77,07-31-2019,10:00:00,0.30,27.4,23.0,3.7,1004.77,0.30,10.00,1008.06,260,28.08
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,60,07-31-2019,10:00:00,0.00,30.5,21.8,14.8,1006.45,0.00,10.00,1007.55,280,26.06
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,60,07-31-2019,10:00:00,0.00,31.7,23.0,7.4,1007.31,0.00,10.00,1007.61,340,28.07
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,58,07-31-2019,10:00:00,0.00,31.8,22.6,5.6,1008.24,0.00,10.00,1008.92,230,27.43
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,58,07-31-2019,10:00:00,0.00,30.3,21.2,9.3,1007.44,0.00,10.00,1007.93,270,25.17
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,64,07-31-2019,10:00:00,0.00,29.7,22.2,25.9,1006.17,0.00,10.00,1007.57,260,26.72
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,61,07-31-2019,10:00:00,0.00,31.8,23.4,9.3,1006.02,0.00,10.00,1007.67,230,28.82
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,55,07-31-2019,10:00:00,0.00,30.9,20.9,7.4,1001.69,0.00,12.00,1009.61,270,24.68
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,68,07-31-2019,10:00:00,0.00,31.5,24.8,11.1,1007.46,0.00,12.00,1007.74,280,31.35
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,65,07-31-2019,10:00:00,0.00,30.6,23.2,5.6,1003.60,0.00,10.00,1006.69,300,28.42
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,60,07-31-2019,10:00:00,0.00,31.4,22.6,0.0,1001.21,0.00,10.00,1008.05,000,27.49
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,68,07-31-2019,10:00:00,0.00,29.5,22.9,18.5,1001.64,1.70,7.00,1007.19,240,27.96
