WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,VaporPressure,LandVisibility,DewPoint,Rainfall24Hr,WindSpeed,RelativeHumidity,MinimumTemperature,WindDirection,AirTemperature,Rainfall
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1014.15,10-14-2019,07:00:00,850.99,18.70,8.00,16.5,15.30,14.8,95,16.1,200,17.3,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1014.29,10-14-2019,07:00:00,970.01,25.44,10.00,21.4,30.10,0.0,90,22.5,000,23.2,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1014.26,10-14-2019,07:00:00,968.02,26.83,15.00,22.2,13.00,0.0,96,21.5,000,23.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1014.89,10-14-2019,07:00:00,976.54,26.91,4.00,22.3,29.80,0.0,100,21.8,000,22.3,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1014.87,10-14-2019,07:00:00,969.15,28.01,10.00,23.0,0.00,0.0,96,22.5,000,23.7,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1014.49,10-14-2019,07:00:00,987.35,27.75,7.00,22.8,1.10,0.0,95,23.0,000,23.7,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1013.28,10-14-2019,07:00:00,991.23,29.39,5.00,23.8,12.90,0.0,97,23.8,000,24.2,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1013.20,10-14-2019,07:00:00,988.77,28.53,6.00,23.3,0.90,0.0,96,21.6,000,24.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1013.67,10-14-2019,07:00:00,978.74,27.26,10.00,22.5,6.10,0.0,90,23.9,000,24.3,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1013.98,10-14-2019,07:00:00,986.06,28.96,8.00,23.5,0.30,0.0,97,23.2,000,24.1,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1013.03,10-14-2019,07:00:00,979.01,28.43,6.00,23.2,0.20,0.0,97,23.3,000,23.8,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1012.88,10-14-2019,07:00:00,994.18,30.50,6.00,24.4,0.00,0.0,96,24.4,000,25.1,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1014.04,10-14-2019,07:00:00,990.88,27.51,10.00,22.7,8.50,0.0,92,23.6,000,24.0,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1014.32,10-14-2019,07:00:00,983.91,27.41,8.00,22.6,0.00,0.0,96,22.7,000,23.2,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1014.07,10-14-2019,07:00:00,977.88,26.01,7.00,21.7,0.30,0.0,95,22.5,000,22.5,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1013.75,10-14-2019,07:00:00,983.61,28.53,2.00,23.3,1.30,0.0,96,23.5,000,24.0,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1012.59,10-14-2019,07:00:00,1005.22,31.00,8.00,24.6,10.30,0.0,93,25.2,000,25.8,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1013.69,10-14-2019,07:00:00,993.57,27.29,3.00,22.5,0.00,5.6,84,25.2,040,25.5,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1014.21,10-14-2019,07:00:00,985.14,28.45,2.50,23.2,0.40,0.0,93,24.1,000,24.4,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1014.11,10-14-2019,07:00:00,993.68,25.93,15.00,21.7,0.00,5.6,82,23.2,070,25.0,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1014.31,10-14-2019,07:00:00,992.15,25.68,12.00,21.5,0.00,0.0,92,21.0,000,22.9,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1013.94,10-14-2019,07:00:00,994.14,25.27,10.00,21.3,0.00,0.0,85,22.4,000,24.0,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1014.10,10-14-2019,07:00:00,997.12,24.45,8.00,20.7,0.00,0.0,79,21.7,000,24.7,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1014.55,10-14-2019,07:00:00,996.79,25.60,6.00,21.5,0.00,0.0,91,20.1,000,23.0,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1013.06,10-14-2019,07:00:00,986.84,25.43,9.00,21.4,0.00,0.0,88,22.6,000,23.5,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1013.54,10-14-2019,07:00:00,1007.70,33.04,6.00,25.7,0.00,0.0,98,24.8,000,26.0,0.00
