WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,LandVisibility,VaporPressure,WindDirection,Rainfall,DewPoint,StationPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-25-2019,04:00:00,1007.27,92,24.0,6.00,27.51,000,0.20,22.7,976.14,23.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,53.7,07-25-2019,04:00:00,1004.91,98,17.6,5.00,19.69,300,0.00,17.3,843.39,20.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,07-25-2019,04:00:00,1005.77,92,24.6,10.00,28.29,000,1.00,23.1,962.06,20.30
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-25-2019,04:00:00,1006.04,96,23.6,10.00,28.09,000,1.60,23.0,960.26,21.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-25-2019,04:00:00,1007.13,98,23.2,6.00,27.91,000,0.00,22.9,969.19,18.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,07-25-2019,04:00:00,1006.08,93,24.0,10.00,27.76,000,0.00,22.8,960.81,2.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,07-25-2019,04:00:00,1007.02,95,24.6,6.00,29.33,000,0.00,23.7,980.17,6.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,07-25-2019,04:00:00,1006.94,88,25.0,10.00,27.70,100,0.00,22.8,985.09,1.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-25-2019,04:00:00,1008.10,97,23.8,4.00,28.69,000,0.40,23.4,983.77,11.70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-25-2019,04:00:00,1006.78,92,24.9,10.00,29.08,000,0.00,23.6,972.15,17.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-25-2019,04:00:00,1006.81,88,25.5,10.00,28.59,000,0.00,23.3,979.22,29.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-25-2019,04:00:00,1006.65,92,25.0,10.00,29.00,000,0.00,23.5,972.98,6.90
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,07-25-2019,04:00:00,1006.60,95,25.0,10.00,30.05,000,0.20,24.1,988.01,16.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-25-2019,04:00:00,1006.69,96,24.8,10.00,29.95,000,0.00,24.1,983.75,21.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-25-2019,04:00:00,1006.94,97,24.0,7.00,28.78,000,0.00,23.4,976.83,4.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-25-2019,04:00:00,1007.03,96,24.7,6.00,29.77,000,0.00,24.0,971.36,13.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,07-25-2019,04:00:00,1005.77,90,24.8,12.00,28.13,000,0.00,23.0,975.94,0.70
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-25-2019,04:00:00,1007.05,88,26.0,8.00,29.50,000,0.01,23.8,999.73,4.30
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,07-25-2019,04:00:00,1006.35,92,27.0,10.00,32.77,000,0.00,25.6,986.48,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,07-25-2019,04:00:00,1006.59,69,26.5,10.00,23.96,290,0.00,20.4,977.94,1.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,07-25-2019,04:00:00,1006.29,86,26.7,10.00,29.99,000,0.00,24.1,986.13,2.90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,07-25-2019,04:00:00,1007.31,90,25.2,10.00,28.83,250,1.00,23.4,985.47,5.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,07-25-2019,04:00:00,1006.54,90,25.5,10.00,29.38,280,0.00,23.7,986.98,7.30
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,07-25-2019,04:00:00,1007.89,96,24.5,6.00,29.41,000,30.50,23.8,991.00,68.50
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-25-2019,04:00:00,1007.85,97,24.0,9.00,28.78,000,8.60,23.4,990.26,35.30
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,07-25-2019,04:00:00,1005.73,89,26.0,10.00,30.03,000,0.00,24.1,979.92,4.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,7.4,07-25-2019,04:00:00,1006.59,78,27.4,10.00,28.35,210,0.00,23.2,1000.82,2.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,07-25-2019,04:00:00,1006.17,79,27.5,12.00,29.06,000,0.00,23.6,1000.00,3.70
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-25-2019,04:00:00,1007.76,92,25.5,8.00,29.91,000,0.50,24.0,991.23,4.50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,07-25-2019,04:00:00,1006.80,96,24.0,8.00,28.53,170,0.00,23.3,984.27,29.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.6,07-25-2019,04:00:00,1007.92,77,27.0,10.00,27.36,260,0.00,22.6,993.53,2.20
