WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,WindSpeed,LandVisibility,AirTemperature,WindDirection
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,07-25-2019,13:00:00,998.05,23.4,1.00,65,1010.20,28.70,3.7,11.00,30.6,190
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,12.20,07-25-2019,13:00:00,1009.50,23.7,12.20,67,1010.21,29.33,13.0,10.00,30.5,240
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-25-2019,13:00:00,1007.98,24.4,0.40,64,1010.38,30.57,18.5,10.00,32.1,210
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,07-25-2019,13:00:00,1009.73,25.2,10.30,75,1010.24,32.01,14.8,9.00,30.0,260
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-25-2019,13:00:00,1004.69,23.6,0.20,66,1009.79,29.09,9.3,11.00,30.8,230
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.40,07-25-2019,13:00:00,1010.36,24.1,38.10,76,1010.77,30.10,0.0,9.00,28.9,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.20,07-25-2019,13:00:00,1007.97,25.8,23.70,96,1010.76,33.19,11.1,8.00,26.5,280
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-25-2019,13:00:00,1009.95,21.3,0.00,53,1010.73,25.37,3.7,.00,32.0,320
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-25-2019,13:00:00,1010.50,24.4,23.10,72,1010.96,30.59,5.6,8.00,30.0,210
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.20,07-25-2019,13:00:00,1010.40,25.5,1.20,87,1011.08,32.60,5.6,9.00,27.9,310
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-25-2019,13:00:00,1009.12,25.0,0.00,73,1010.64,31.68,0.0,7.00,30.4,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-25-2019,13:00:00,1010.55,24.9,0.00,66,1011.45,31.44,7.4,10.00,32.1,240
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-25-2019,13:00:00,1010.90,25.0,0.20,66,1011.58,31.65,0.0,10.00,32.2,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-25-2019,13:00:00,1010.44,25.5,0.00,66,1011.23,32.63,5.6,10.00,32.8,200
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-25-2019,13:00:00,1011.28,24.6,14.20,69,1011.91,30.90,0.0,10.00,31.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-25-2019,13:00:00,1010.82,24.5,6.50,67,1011.22,30.77,0.0,10.00,31.5,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-25-2019,13:00:00,1008.70,23.2,0.20,61,1012.87,28.35,5.6,8.00,31.7,240
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-25-2019,13:00:00,1009.90,23.8,18.80,65,1011.50,29.40,0.0,12.00,31.1,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-25-2019,13:00:00,1008.06,24.4,9.60,66,1011.50,30.49,0.0,12.00,31.5,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-25-2019,13:00:00,1009.88,24.1,4.10,69,1011.22,30.09,0.0,10.00,30.6,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-25-2019,13:00:00,1010.73,23.3,0.00,64,1011.60,28.65,9.3,10.00,31.0,240
