WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,StationPressure,RelativeHumidity,Rainfall24Hr,Rainfall,WindDirection,VaporPressure,MaximumTemperature,DewPoint,WindSpeed,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,08-08-2019,19:00:00,29.0,971.32,83,2.10,0.00,000,33.41,31.7,25.9,0.0,1001.78
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-08-2019,19:00:00,21.5,841.01,89,0.70,0.00,250,22.82,25.3,19.6,11.1,999.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,08-08-2019,19:00:00,31.7,956.81,62,0.00,0.00,000,29.19,33.5,23.6,0.0,999.25
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-08-2019,19:00:00,31.5,955.02,69,0.00,0.00,000,31.93,34.0,25.1,0.0,999.35
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,08-08-2019,19:00:00,29.7,963.24,79,0.00,0.00,000,33.12,33.5,25.8,0.0,1000.14
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,08-08-2019,19:00:00,30.0,956.27,71,0.00,0.00,020,30.31,32.0,24.3,16.7,1000.43
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,08-08-2019,19:00:00,31.8,974.20,75,0.00,0.00,000,35.26,35.0,26.8,0.0,1000.26
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,14.00,08-08-2019,19:00:00,30.1,980.14,73,3.30,0.00,310,31.07,33.6,24.7,1.9,1001.51
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-08-2019,19:00:00,26.6,979.30,95,10.90,1.00,000,33.10,30.8,25.7,0.0,1003.29
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-08-2019,19:00:00,31.1,967.07,66,0.01,0.00,000,29.96,33.5,24.1,0.0,1000.80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-08-2019,19:00:00,31.6,975.24,60,0.00,0.00,000,27.87,34.9,22.9,0.0,1002.17
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,08-08-2019,19:00:00,31.4,967.82,63,0.01,0.00,000,29.15,33.6,23.6,0.0,1000.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,08-08-2019,19:00:00,31.0,982.30,73,0.00,0.00,270,32.93,34.0,25.7,5.6,1000.41
