WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,DewPoint,StationPressure,WindSpeed,VaporPressure,Rainfall,AirTemperature,LandVisibility,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-17-2019,16:00:00,1008.14,000,23.5,977.82,0.0,28.89,0.00,32.4,15.00,0.01,59
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-17-2019,16:00:00,1010.07,130,17.0,848.42,7.4,19.38,0.00,19.0,8.00,0.00,88
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-17-2019,16:00:00,1009.18,160,20.8,966.31,5.6,24.55,0.00,31.7,12.00,0.00,53
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-17-2019,16:00:00,1009.65,100,21.7,964.88,5.6,25.96,0.00,31.6,15.00,0.00,56
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-17-2019,16:00:00,1010.73,000,24.2,973.39,0.0,30.13,0.00,29.2,12.00,0.00,74
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-17-2019,16:00:00,1009.35,080,22.2,964.95,5.6,26.73,0.00,31.0,9.00,0.00,60
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-17-2019,16:00:00,1011.20,090,24.8,984.52,5.6,31.28,5.50,27.8,12.00,5.50,84
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-17-2019,16:00:00,1009.94,090,22.2,988.50,7.4,26.78,0.00,31.6,15.00,2.10,58
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-17-2019,16:00:00,1008.10,000,22.7,984.66,0.0,27.52,0.00,35.1,10.00,0.00,49
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-17-2019,16:00:00,1010.15,290,23.1,976.06,3.7,28.34,0.00,30.7,10.00,0.00,64
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-17-2019,16:00:00,1009.52,000,21.8,982.57,0.0,26.04,0.00,33.5,10.00,0.00,50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-17-2019,16:00:00,1010.34,000,23.5,976.90,0.0,28.95,2.20,28.3,10.00,8.80,75
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-17-2019,16:00:00,1008.96,210,21.9,990.92,7.4,26.27,0.00,34.9,15.00,0.00,47
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-17-2019,16:00:00,1009.92,000,23.7,987.47,0.0,29.26,0.00,32.3,10.00,1.60,61
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-17-2019,16:00:00,1010.05,080,22.8,980.58,7.4,27.68,0.00,31.5,12.00,2.40,60
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-17-2019,16:00:00,1009.73,000,22.2,974.77,0.0,26.69,0.00,31.7,8.00,3.00,57
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-17-2019,16:00:00,1009.48,190,21.7,980.24,3.7,25.91,0.00,32.0,15.00,0.00,54
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-17-2019,16:00:00,1007.96,000,21.4,1000.83,0.0,25.41,0.00,34.6,10.00,2.70,46
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-17-2019,16:00:00,1010.31,080,22.8,990.76,9.3,27.67,0.00,33.2,12.00,0.00,54
48353,LOEI,เลย,เลย,17.45000,101.73333,10-17-2019,16:00:00,1010.27,170,21.6,981.91,3.7,25.82,0.10,30.8,15.00,0.10,58
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-17-2019,16:00:00,1010.43,080,21.5,990.58,7.4,25.60,0.00,32.7,12.00,8.00,52
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-17-2019,16:00:00,1010.83,040,20.4,989.31,5.6,23.98,0.00,30.8,15.00,0.00,54
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-17-2019,16:00:00,1010.28,140,20.9,991.04,7.4,24.63,0.00,31.6,15.00,0.00,53
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-17-2019,16:00:00,1011.30,070,19.1,994.75,9.3,22.12,0.00,31.8,14.00,0.00,47
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-17-2019,16:00:00,1011.51,120,20.5,994.28,3.7,24.17,0.00,31.2,12.00,0.00,53
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-17-2019,16:00:00,1009.97,040,22.1,984.48,3.7,26.65,0.00,31.1,12.00,0.01,59
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-17-2019,16:00:00,1009.79,160,24.7,1004.12,3.7,31.09,0.00,34.3,10.00,0.00,57
