WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,VaporPressure,Rainfall,DewPoint,AirTemperature,Rainfall24Hr,WindSpeed,LandVisibility,MeanSeaLevelPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,96,09-01-2019,04:00:00,973.24,28.88,0.00,23.5,24.2,46.60,0.0,5.00,1004.26,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,09-01-2019,04:00:00,841.60,20.28,0.00,17.7,17.9,39.20,9.3,.10,1002.60,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,93,09-01-2019,04:00:00,960.23,27.08,1.90,22.4,23.6,9.20,7.4,9.00,1004.01,140
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,09-01-2019,04:00:00,958.51,28.01,4.00,23.0,23.7,43.10,0.0,10.00,1004.19,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,09-01-2019,04:00:00,967.33,28.94,0.00,23.5,23.5,28.80,0.0,5.00,1005.17,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,96,09-01-2019,04:00:00,958.08,27.07,0.50,22.4,23.0,27.30,14.8,7.00,1003.38,120
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,97,09-01-2019,04:00:00,978.81,29.49,0.00,23.8,24.4,7.80,0.0,6.00,1005.65,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,95,09-01-2019,04:00:00,983.10,28.97,0.00,23.5,24.4,21.30,0.0,10.00,1004.95,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,96,09-01-2019,04:00:00,980.69,27.66,0.00,22.8,23.5,38.50,0.0,5.00,1004.96,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,92,09-01-2019,04:00:00,969.81,27.85,0.00,22.9,24.2,6.50,0.0,10.00,1004.44,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,95,09-01-2019,04:00:00,977.48,27.24,0.00,22.5,23.4,26.50,0.0,10.00,1005.22,000
