WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,StationPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,DewPoint,Rainfall,MaximumTemperature,WindSpeed
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,10-04-2019,19:00:00,000,998.39,1007.62,30.3,1.00,85,36.50,27.4,1.00,35.0,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.00,10-04-2019,19:00:00,020,987.96,1009.80,25.7,6.00,85,27.90,22.9,0.00,34.7,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,10-04-2019,19:00:00,000,992.41,1010.02,26.0,0.00,84,28.18,23.1,0.00,33.8,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,10-04-2019,19:00:00,270,993.00,1008.90,26.3,0.00,86,29.25,23.7,0.00,33.3,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,10-04-2019,19:00:00,000,990.12,1009.17,25.0,40.10,93,29.52,23.8,0.00,34.0,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,10-04-2019,19:00:00,000,957.85,1009.28,25.1,0.00,83,26.35,22.0,0.00,31.1,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.00,10-04-2019,19:00:00,080,1003.58,1007.53,28.0,0.00,70,26.54,22.1,0.00,34.1,9.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.00,10-04-2019,19:00:00,000,914.64,1009.85,22.0,0.00,91,24.03,20.5,0.00,28.0,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,10-04-2019,19:00:00,000,993.45,1009.58,25.0,8.10,96,30.32,24.3,0.40,33.2,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,10-04-2019,19:00:00,000,1003.88,1007.87,30.9,0.00,74,33.01,25.7,0.00,34.9,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,6.00,10-04-2019,19:00:00,000,998.66,1009.27,29.5,0.00,75,30.72,24.5,0.00,35.1,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,10-04-2019,19:00:00,150,1006.59,1008.50,30.2,0.00,70,30.14,24.2,0.00,35.5,7.4
